org.apache.commons.math.complex.Complex:1179	2.0 0.0 1.0
org.apache.commons.math.util.FastMath:1362	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1373	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1375	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1376	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1378	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1452	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1453	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1454	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1455	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1456	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1457	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1459	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1460	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1461	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1462	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1464	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1465	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1466	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1467	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1469	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1470	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1471	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1472	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1474	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1475	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1476	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1477	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1479	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.FastMath:1484	1.0 14.0 0.18257418583505536
org.apache.commons.math.util.MathUtils:2337	2.0 59.0 0.18107149208503706
org.apache.commons.math.util.MathUtils:2334	2.0 60.0 0.1796053020267749
org.apache.commons.math.complex.Complex:132	1.0 15.0 0.17677669529663687
org.apache.commons.math.complex.Complex:133	1.0 15.0 0.17677669529663687
org.apache.commons.math.complex.Complex:129	1.0 16.0 0.17149858514250882
org.apache.commons.math.complex.Complex:327	1.0 16.0 0.17149858514250882
org.apache.commons.math.util.FastMath:1292	1.0 16.0 0.17149858514250882
org.apache.commons.math.util.FastMath:1294	1.0 16.0 0.17149858514250882
org.apache.commons.math.util.FastMath:1314	1.0 16.0 0.17149858514250882
org.apache.commons.math.complex.Complex:323	1.0 17.0 0.16666666666666666
org.apache.commons.math.complex.Complex:324	1.0 17.0 0.16666666666666666
org.apache.commons.math.util.FastMath:1269	1.0 17.0 0.16666666666666666
org.apache.commons.math.util.FastMath:1272	1.0 17.0 0.16666666666666666
org.apache.commons.math.util.FastMath:1283	1.0 17.0 0.16666666666666666
org.apache.commons.math.complex.Complex:162	1.0 18.0 0.16222142113076254
org.apache.commons.math.util.FastMath:1266	1.0 18.0 0.16222142113076254
org.apache.commons.math.complex.Complex:322	1.0 19.0 0.15811388300841897
org.apache.commons.math.util.MathUtils:85	2.0 80.0 0.15617376188860607
org.apache.commons.math.complex.Complex:364	2.0 81.0 0.15523010514126656
org.apache.commons.math.complex.Complex:355	2.0 82.0 0.1543033499620919
org.apache.commons.math.complex.Complex:746	1.0 20.0 0.1543033499620919
org.apache.commons.math.util.FastMath:2977	1.0 20.0 0.1543033499620919
org.apache.commons.math.complex.Complex:428	1.0 21.0 0.15075567228888181
org.apache.commons.math.complex.Complex:493	1.0 21.0 0.15075567228888181
org.apache.commons.math.util.FastMath:2973	1.0 21.0 0.15075567228888181
org.apache.commons.math.complex.Complex:157	1.0 22.0 0.14744195615489714
org.apache.commons.math.complex.Complex:158	1.0 22.0 0.14744195615489714
org.apache.commons.math.complex.Complex:488	1.0 24.0 0.1414213562373095
org.apache.commons.math.complex.Complex:489	1.0 24.0 0.1414213562373095
org.apache.commons.math.complex.Complex:421	1.0 26.0 0.13608276348795434
org.apache.commons.math.complex.Complex:122	1.0 28.0 0.13130643285972254
org.apache.commons.math.complex.Complex:58	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:61	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:64	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:66	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:68	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:98	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:99	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:100	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:102	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:103	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:105	2.0 130.0 0.12309149097933272
org.apache.commons.math.complex.Complex:119	1.0 33.0 0.12126781251816648
org.apache.commons.math.complex.Complex:319	1.0 33.0 0.12126781251816648
org.apache.commons.math.complex.Complex:116	1.0 34.0 0.11952286093343936
org.apache.commons.math.complex.Complex:417	1.0 34.0 0.11952286093343936
org.apache.commons.math.complex.Complex:418	1.0 34.0 0.11952286093343936
org.apache.commons.math.util.FastMath:302	1.0 34.0 0.11952286093343936
org.apache.commons.math.util.FastMath:3410	1.0 40.0 0.11043152607484653
org.apache.commons.math.complex.Complex:388	1.0 43.0 0.10660035817780521
org.apache.commons.math.util.FastMath:80	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:85	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:90	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:95	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:98	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:101	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:110	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:130	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:143	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:153	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:156	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:159	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:162	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:165	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:168	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:171	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:192	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:200	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:203	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:233	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:234	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:235	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:238	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:239	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:242	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:243	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:244	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:245	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:247	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:249	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:250	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:251	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:256	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:257	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:258	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:259	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:263	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:264	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:265	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:269	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:270	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1012	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1013	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1014	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1015	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1016	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1017	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1019	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1020	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1021	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1022	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1024	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1025	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1027	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1028	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1029	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1032	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1033	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1034	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1037	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1046	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1047	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1048	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1049	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1050	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1055	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1062	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1063	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1065	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1066	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1067	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1068	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1069	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1070	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1071	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1072	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1074	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1082	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1083	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1086	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1087	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1095	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1096	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1098	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1099	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1120	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1121	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1123	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1128	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1129	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1131	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1132	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1136	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1138	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1140	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1143	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1145	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1147	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1155	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1156	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1157	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1160	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1161	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1162	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1164	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1165	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1168	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1169	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1171	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1172	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1173	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1174	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1175	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1176	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1179	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1180	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1181	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1183	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1184	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1185	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1186	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1187	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1188	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1191	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1192	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1193	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1195	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1196	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1197	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1198	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1199	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1200	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1201	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1210	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1211	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1212	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1221	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1222	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1224	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1226	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1227	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1228	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1229	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1232	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1233	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1235	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1238	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1239	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1240	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1242	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1245	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1743	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1744	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1745	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1746	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1748	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1751	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1752	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1753	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1754	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1755	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1756	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1757	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1758	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1761	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1767	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1768	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1770	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1771	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1772	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1773	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1774	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1775	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1776	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1779	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1780	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1781	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1783	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1793	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1794	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1795	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1796	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1797	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1798	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1800	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1801	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1802	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1804	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1805	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1808	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1809	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1811	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1812	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1813	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1816	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1817	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1820	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1821	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1822	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1825	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1836	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1837	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1838	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1839	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1840	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1841	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1843	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1844	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1845	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1847	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1848	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1851	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1852	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1854	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1855	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1856	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1859	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1860	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1863	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1864	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1865	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1868	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1874	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1877	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1878	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1880	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1881	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1882	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1884	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1885	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1886	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1890	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1891	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1892	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1893	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1894	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1895	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1897	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1899	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1900	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1901	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1902	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1905	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1906	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1907	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1910	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1911	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1912	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1913	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1914	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1915	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1916	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1918	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1919	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1920	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1921	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1922	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1923	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1924	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1925	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1928	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1929	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1930	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1931	1.0 73.0 0.08219949365267865
