org.joda.time.IllegalFieldValueException:314	6.0 0.0 0.8660254037844387
org.joda.time.base.AbstractPartial:203	8.0 96.0 0.2773500981126146
org.joda.time.MonthDay:395	8.0 99.0 0.2734343708098653
org.joda.time.MonthDay:79	8.0 103.0 0.2684624220856097
org.joda.time.MonthDay:84	8.0 103.0 0.2684624220856097
org.joda.time.format.DateTimeFormat:555	8.0 117.0 0.25298221281347033
org.joda.time.format.DateTimeFormat:557	8.0 117.0 0.25298221281347033
org.joda.time.MonthDay:780	2.0 6.0 0.25
org.joda.time.MonthDay:781	2.0 6.0 0.25
org.joda.time.MonthDay:782	2.0 6.0 0.25
org.joda.time.MonthDay:783	2.0 6.0 0.25
org.joda.time.chrono.BasicChronology:575	8.0 123.0 0.24712082528608617
org.joda.time.chrono.BasicChronology:576	8.0 123.0 0.24712082528608617
org.joda.time.chrono.BasicChronology:577	8.0 123.0 0.24712082528608617
org.joda.time.field.FieldUtils:218	6.0 73.0 0.23866718525271902
org.joda.time.base.BasePartial:237	8.0 135.0 0.23652495839563303
org.joda.time.base.AbstractPartial:267	2.0 7.0 0.23570226039551587
org.joda.time.format.ISODateTimeFormat:328	2.0 7.0 0.23570226039551587
org.joda.time.format.ISODateTimeFormat:329	2.0 7.0 0.23570226039551587
org.joda.time.chrono.BasicDayOfMonthDateTimeField:82	8.0 143.0 0.2301741350593744
org.joda.time.chrono.BasicDayOfMonthDateTimeField:83	8.0 143.0 0.2301741350593744
org.joda.time.chrono.BasicDayOfMonthDateTimeField:84	8.0 143.0 0.2301741350593744
org.joda.time.format.ISODateTimeFormat:595	8.0 144.0 0.22941573387056174
org.joda.time.format.ISODateTimeFormat:596	8.0 144.0 0.22941573387056174
org.joda.time.format.ISODateTimeFormat:598	8.0 144.0 0.22941573387056174
org.joda.time.format.ISODateTimeFormat:323	2.0 8.0 0.22360679774997896
org.joda.time.format.ISODateTimeFormat:324	2.0 8.0 0.22360679774997896
org.joda.time.format.ISODateTimeFormat:325	2.0 8.0 0.22360679774997896
org.joda.time.format.ISODateTimeFormat:326	2.0 8.0 0.22360679774997896
org.joda.time.chrono.BasicDayOfMonthDateTimeField:79	8.0 153.0 0.22291128503014113
org.joda.time.chrono.BasicDayOfMonthDateTimeField:80	8.0 153.0 0.22291128503014113
org.joda.time.chrono.BasicDayOfMonthDateTimeField:81	8.0 153.0 0.22291128503014113
org.joda.time.IllegalFieldValueException:53	6.0 93.0 0.21320071635561044
org.joda.time.field.FieldUtils:49	4.0 40.0 0.21320071635561041
org.joda.time.field.FieldUtils:52	4.0 40.0 0.21320071635561041
org.joda.time.format.DateTimeFormat:490	8.0 178.0 0.20739033894608505
org.joda.time.format.DateTimeFormat:491	8.0 178.0 0.20739033894608505
org.joda.time.format.DateTimeFormat:486	8.0 178.0 0.20739033894608505
org.joda.time.format.DateTimeFormat:488	8.0 178.0 0.20739033894608505
org.joda.time.chrono.BasicChronology:565	8.0 183.0 0.20465780403866032
org.joda.time.IllegalFieldValueException:50	6.0 109.0 0.1978141420187361
org.joda.time.format.DateTimeFormat:479	8.0 200.0 0.19611613513818404
org.joda.time.field.BaseDateTimeField:317	2.0 11.0 0.19611613513818404
org.joda.time.field.BaseDateTimeField:319	2.0 11.0 0.19611613513818404
org.joda.time.field.BaseDateTimeField:323	2.0 11.0 0.19611613513818404
org.joda.time.field.BaseDateTimeField:324	2.0 11.0 0.19611613513818404
org.joda.time.IllegalFieldValueException:108	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:109	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:110	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:111	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:112	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:113	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:114	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:115	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:116	6.0 113.0 0.19446111706564934
org.joda.time.IllegalFieldValueException:117	6.0 113.0 0.19446111706564934
org.joda.time.format.DateTimeFormat:551	8.0 218.0 0.18814417367671946
org.joda.time.chrono.BasicDayOfMonthDateTimeField:59	8.0 219.0 0.18772930178557284
org.joda.time.format.DateTimeFormat:613	8.0 219.0 0.18772930178557284
org.joda.time.format.DateTimeFormat:614	8.0 219.0 0.18772930178557284
org.joda.time.format.DateTimeFormat:549	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:550	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:596	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:598	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:600	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:601	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:603	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:611	8.0 220.0 0.1873171623163388
org.joda.time.format.DateTimeFormat:616	8.0 220.0 0.1873171623163388
org.joda.time.IllegalFieldValueException:41	6.0 123.0 0.1867718419094071
org.joda.time.IllegalFieldValueException:44	6.0 123.0 0.1867718419094071
org.joda.time.IllegalFieldValueException:59	6.0 123.0 0.1867718419094071
org.joda.time.IllegalFieldValueException:63	6.0 123.0 0.1867718419094071
org.joda.time.format.DateTimeFormat:588	8.0 225.0 0.1852964218448318
org.joda.time.format.DateTimeFormat:589	8.0 225.0 0.1852964218448318
org.joda.time.format.DateTimeFormat:593	8.0 225.0 0.1852964218448318
org.joda.time.MonthDay:520	2.0 13.0 0.18257418583505536
org.joda.time.chrono.BasicMonthOfYearDateTimeField:215	2.0 13.0 0.18257418583505536
org.joda.time.chrono.BasicMonthOfYearDateTimeField:216	2.0 13.0 0.18257418583505536
org.joda.time.format.ISODateTimeFormat:322	2.0 13.0 0.18257418583505536
org.joda.time.format.DateTimeFormat:586	8.0 234.0 0.18181818181818182
org.joda.time.format.DateTimeFormat:587	8.0 234.0 0.18181818181818182
org.joda.time.format.DateTimeFormatter:300	8.0 240.0 0.1796053020267749
org.joda.time.MonthDay:612	1.0 3.0 0.17677669529663687
org.joda.time.MonthDay:672	1.0 3.0 0.17677669529663687
org.joda.time.format.DateTimeFormat:683	8.0 248.0 0.17677669529663687
org.joda.time.format.DateTimeFormat:685	8.0 248.0 0.17677669529663687
org.joda.time.format.DateTimeFormat:687	8.0 248.0 0.17677669529663687
org.joda.time.format.DateTimeFormat:688	8.0 248.0 0.17677669529663687
org.joda.time.format.DateTimeFormat:170	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:674	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:677	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:678	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:679	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:680	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:681	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormat:682	8.0 249.0 0.17643243655649235
org.joda.time.format.DateTimeFormatterBuilder:2577	8.0 258.0 0.173421993904824
org.joda.time.format.DateTimeFormatterBuilder:2578	8.0 258.0 0.173421993904824
org.joda.time.format.DateTimeFormat:563	8.0 259.0 0.17309692896316617
org.joda.time.format.DateTimeFormat:583	8.0 259.0 0.17309692896316617
org.joda.time.format.DateTimeFormat:585	8.0 259.0 0.17309692896316617
org.joda.time.format.DateTimeFormat:400	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:401	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:403	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:404	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:405	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:406	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:408	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:409	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:412	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:414	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:574	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:576	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:577	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:579	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:580	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:621	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormat:622	8.0 260.0 0.17277368511627203
org.joda.time.format.DateTimeFormatter:320	8.0 262.0 0.17213259316477408
org.joda.time.format.DateTimeFormatter:323	8.0 262.0 0.17213259316477408
org.joda.time.format.DateTimeFormat:147	8.0 263.0 0.1718147118350231
org.joda.time.format.DateTimeFormat:149	8.0 263.0 0.1718147118350231
org.joda.time.chrono.BasicMonthOfYearDateTimeField:139	2.0 15.0 0.17149858514250882
org.joda.time.format.ISODateTimeFormat:239	2.0 15.0 0.17149858514250882
org.joda.time.field.BaseDateTimeField:313	2.0 16.0 0.16666666666666666
org.joda.time.field.BaseDateTimeField:314	2.0 16.0 0.16666666666666666
org.joda.time.chrono.BasicMonthOfYearDateTimeField:334	8.0 290.0 0.1638463841038081
org.joda.time.chrono.BasicMonthOfYearDateTimeField:339	8.0 292.0 0.16329931618554522
org.joda.time.format.ISODateTimeFormat:613	8.0 292.0 0.16329931618554522
org.joda.time.format.ISODateTimeFormat:614	8.0 292.0 0.16329931618554522
org.joda.time.format.ISODateTimeFormat:636	8.0 292.0 0.16329931618554522
org.joda.time.format.DateTimeFormatterBuilder:1133	8.0 292.0 0.16329931618554522
org.joda.time.format.ISODateTimeFormat:1643	8.0 298.0 0.16169041669088866
org.joda.time.format.ISODateTimeFormat:1644	8.0 298.0 0.16169041669088866
org.joda.time.format.ISODateTimeFormat:1649	8.0 298.0 0.16169041669088866
org.joda.time.format.ISODateTimeFormat:1633	8.0 299.0 0.16142686245425236
org.joda.time.format.ISODateTimeFormat:1634	8.0 299.0 0.16142686245425236
org.joda.time.format.ISODateTimeFormat:1639	8.0 299.0 0.16142686245425236
org.joda.time.format.ISODateTimeFormat:1623	8.0 300.0 0.16116459280507606
org.joda.time.format.ISODateTimeFormat:1624	8.0 300.0 0.16116459280507606
org.joda.time.format.ISODateTimeFormat:1629	8.0 300.0 0.16116459280507606
org.joda.time.format.DateTimeFormatterBuilder:747	8.0 301.0 0.16090359734182594
org.joda.time.format.ISODateTimeFormat:1614	8.0 305.0 0.1598721533954863
org.joda.time.format.ISODateTimeFormat:1615	8.0 305.0 0.1598721533954863
org.joda.time.format.ISODateTimeFormat:1619	8.0 305.0 0.1598721533954863
org.joda.time.format.DateTimeFormatterBuilder:727	8.0 306.0 0.15961737689352443
org.joda.time.format.ISODateTimeFormat:549	2.0 18.0 0.15811388300841897
org.joda.time.format.ISODateTimeFormat:550	2.0 18.0 0.15811388300841897
org.joda.time.format.ISODateTimeFormat:552	2.0 18.0 0.15811388300841897
org.joda.time.format.DateTimeFormatterBuilder:1261	8.0 314.0 0.15762208124782012
org.joda.time.format.DateTimeFormatterBuilder:370	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:373	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:379	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:757	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:769	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:1232	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:1233	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:1234	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:1237	8.0 315.0 0.15737789507292674
org.joda.time.format.DateTimeFormatterBuilder:1367	8.0 348.0 0.14990633779917228
org.joda.time.format.DateTimeFormatterBuilder:406	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:273	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:276	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:279	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:280	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:287	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:289	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:290	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:294	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:296	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:307	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:308	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:309	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:319	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:322	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:1112	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2684	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2752	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2753	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2754	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2755	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2756	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2757	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2758	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2759	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2760	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2763	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2764	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2765	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:2768	8.0 350.0 0.14948701855038718
org.joda.time.format.DateTimeFormatterBuilder:152	8.0 351.0 0.1492786741724152
org.joda.time.format.DateTimeFormatterBuilder:153	8.0 351.0 0.1492786741724152
org.joda.time.format.DateTimeFormatterBuilder:154	8.0 351.0 0.1492786741724152
org.joda.time.format.DateTimeFormatterBuilder:1363	8.0 353.0 0.14886458551295736
org.joda.time.format.DateTimeFormatterBuilder:1364	8.0 353.0 0.14886458551295736
org.joda.time.format.ISODateTimeFormat:293	2.0 21.0 0.14744195615489714
org.joda.time.format.ISODateTimeFormat:294	2.0 21.0 0.14744195615489714
org.joda.time.format.ISODateTimeFormat:341	2.0 21.0 0.14744195615489714
org.joda.time.MonthDay:362	2.0 25.0 0.13608276348795434
org.joda.time.MonthDay:363	2.0 25.0 0.13608276348795434
org.joda.time.base.BasePartial:184	8.0 446.0 0.1327446623199944
org.joda.time.base.BasePartial:185	8.0 446.0 0.1327446623199944
org.joda.time.base.BasePartial:180	8.0 447.0 0.13259870882635919
org.joda.time.base.BasePartial:181	8.0 447.0 0.13259870882635919
org.joda.time.base.BasePartial:182	8.0 447.0 0.13259870882635919
org.joda.time.base.BasePartial:183	8.0 447.0 0.13259870882635919
org.joda.time.format.DateTimeFormatter:127	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:128	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:129	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:130	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:131	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:132	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:133	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:134	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:135	8.0 465.0 0.13005121775247103
org.joda.time.format.DateTimeFormatter:136	8.0 465.0 0.13005121775247103
org.joda.time.DateTimeFieldType:378	6.0 289.0 0.12350804543889274
org.joda.time.format.ISODateTimeFormat:475	2.0 31.0 0.12309149097933272
org.joda.time.base.BasePartial:249	8.0 530.0 0.12194215216993846
org.joda.time.field.BaseDateTimeField:818	8.0 583.0 0.11634594543263002
org.joda.time.field.BaseDateTimeField:804	8.0 584.0 0.11624763874381928
org.joda.time.field.BaseDateTimeField:307	2.0 35.0 0.11624763874381928
org.joda.time.field.BaseDateTimeField:308	2.0 35.0 0.11624763874381928
org.joda.time.field.BaseDateTimeField:309	2.0 35.0 0.11624763874381928
org.joda.time.chrono.BaseChronology:213	8.0 586.0 0.11605177063713189
org.joda.time.chrono.BaseChronology:199	8.0 587.0 0.11595420713048969
org.joda.time.chrono.BaseChronology:200	8.0 587.0 0.11595420713048969
org.joda.time.chrono.BaseChronology:201	8.0 587.0 0.11595420713048969
org.joda.time.chrono.BaseChronology:202	8.0 587.0 0.11595420713048969
org.joda.time.chrono.BaseChronology:207	8.0 587.0 0.11595420713048969
org.joda.time.field.BaseDateTimeField:758	8.0 588.0 0.11585688927269845
org.joda.time.field.BaseDateTimeField:772	8.0 588.0 0.11585688927269845
org.joda.time.chrono.BaseChronology:192	8.0 588.0 0.11585688927269845
org.joda.time.chrono.BaseChronology:183	8.0 590.0 0.11566298639324804
org.joda.time.chrono.BaseChronology:184	8.0 590.0 0.11566298639324804
org.joda.time.chrono.BaseChronology:185	8.0 590.0 0.11566298639324804
org.joda.time.chrono.BaseChronology:186	8.0 590.0 0.11566298639324804
org.joda.time.chrono.BaseChronology:187	8.0 590.0 0.11566298639324804
org.joda.time.base.AbstractPartial:105	8.0 624.0 0.1125087900926024
org.joda.time.chrono.BuddhistChronology:84	8.0 628.0 0.11215443081840887
org.joda.time.chrono.CopticChronology:89	8.0 638.0 0.11128297681493145
org.joda.time.format.ISODateTimeFormat:1604	8.0 671.0 0.10854507082585142
org.joda.time.format.ISODateTimeFormat:1605	8.0 671.0 0.10854507082585142
org.joda.time.format.ISODateTimeFormat:1610	8.0 671.0 0.10854507082585142
org.joda.time.format.ISODateTimeFormat:1594	8.0 676.0 0.10814761408717503
org.joda.time.format.ISODateTimeFormat:1595	8.0 676.0 0.10814761408717503
org.joda.time.format.ISODateTimeFormat:1600	8.0 676.0 0.10814761408717503
org.joda.time.format.ISODateTimeFormat:1585	8.0 695.0 0.10667614941253299
org.joda.time.format.ISODateTimeFormat:1586	8.0 695.0 0.10667614941253299
org.joda.time.format.ISODateTimeFormat:1590	8.0 695.0 0.10667614941253299
org.joda.time.format.DateTimeFormatterBuilder:779	8.0 720.0 0.10482848367219183
org.joda.time.DateTimeFieldType:498	8.0 723.0 0.1046131561931883
org.joda.time.format.DateTimeFormatterBuilder:737	8.0 738.0 0.10355607461569954
org.joda.time.format.DateTimeFormatterBuilder:791	8.0 762.0 0.10192943828752511
org.joda.time.DateTimeFieldType:496	8.0 778.0 0.10088665446106365
org.joda.time.format.DateTimeFormatterBuilder:448	8.0 781.0 0.10069467207118482
org.joda.time.format.DateTimeFormatterBuilder:451	8.0 781.0 0.10069467207118482
org.joda.time.format.DateTimeFormatterBuilder:454	8.0 781.0 0.10069467207118482
org.joda.time.format.DateTimeFormatterBuilder:457	8.0 781.0 0.10069467207118482
org.joda.time.format.DateTimeFormatterBuilder:460	8.0 781.0 0.10069467207118482
org.joda.time.format.DateTimeFormatterBuilder:2718	8.0 787.0 0.10031397251510384
org.joda.time.format.DateTimeFormatterBuilder:2727	8.0 787.0 0.10031397251510384
org.joda.time.format.DateTimeFormatterBuilder:2736	8.0 787.0 0.10031397251510384
org.joda.time.format.DateTimeFormatterBuilder:2737	8.0 787.0 0.10031397251510384
org.joda.time.format.DateTimeFormatterBuilder:2738	8.0 787.0 0.10031397251510384
org.joda.time.format.DateTimeFormatterBuilder:2741	8.0 787.0 0.10031397251510384
org.joda.time.format.DateTimeFormatterBuilder:209	8.0 804.0 0.09925833339709302
org.joda.time.format.DateTimeFormatterBuilder:212	8.0 804.0 0.09925833339709302
org.joda.time.format.DateTimeFormatter:172	8.0 807.0 0.09907548092361398
org.joda.time.field.BaseDateTimeField:298	2.0 49.0 0.09901475429766744
org.joda.time.field.BaseDateTimeField:304	2.0 49.0 0.09901475429766744
org.joda.time.field.BaseDateTimeField:306	2.0 49.0 0.09901475429766744
org.joda.time.format.DateTimeFormatter:154	8.0 814.0 0.098652724733398
org.joda.time.format.DateTimeFormatterBuilder:345	8.0 814.0 0.098652724733398
org.joda.time.format.DateTimeFormatterBuilder:346	8.0 814.0 0.098652724733398
org.joda.time.format.DateTimeFormatterBuilder:347	8.0 814.0 0.098652724733398
org.joda.time.format.DateTimeFormatterBuilder:348	8.0 814.0 0.098652724733398
org.joda.time.format.DateTimeFormatterBuilder:1141	8.0 842.0 0.09701425001453319
org.joda.time.format.DateTimeFormatterBuilder:1131	8.0 844.0 0.09690031662230184
org.joda.time.format.DateTimeFormatterBuilder:1104	8.0 846.0 0.09678678369916545
org.joda.time.format.DateTimeFormatterBuilder:1105	8.0 846.0 0.09678678369916545
org.joda.time.format.DateTimeFormatterBuilder:1107	8.0 846.0 0.09678678369916545
org.joda.time.format.DateTimeFormatterBuilder:1108	8.0 846.0 0.09678678369916545
org.joda.time.format.DateTimeFormatterBuilder:1109	8.0 846.0 0.09678678369916545
org.joda.time.format.DateTimeFormatterBuilder:408	8.0 906.0 0.0935560539449976
org.joda.time.format.DateTimeFormatterBuilder:396	8.0 909.0 0.09340289249886088
org.joda.time.format.DateTimeFormatterBuilder:399	8.0 909.0 0.09340289249886088
org.joda.time.format.DateTimeFormatterBuilder:402	8.0 909.0 0.09340289249886088
org.joda.time.format.DateTimeFormatterBuilder:405	8.0 909.0 0.09340289249886088
org.joda.time.chrono.BuddhistChronology:65	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:71	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:74	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:104	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:107	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:108	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:110	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:112	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:113	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:114	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:116	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:128	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:129	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:204	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:206	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:207	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:211	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:212	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:216	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:217	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:220	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:221	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:224	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:226	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:229	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:231	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:234	8.0 914.0 0.09314928656652446
org.joda.time.chrono.BuddhistChronology:236	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipDateTimeField:82	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:53	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:54	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:64	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:65	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:66	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:67	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:68	8.0 914.0 0.09314928656652446
org.joda.time.field.SkipUndoDateTimeField:74	8.0 914.0 0.09314928656652446
