org.joda.time.tz.DateTimeZoneBuilder:552	3.0 8.0 0.5222329678670935
org.joda.time.format.DateTimeFormatterBuilder:2086	3.0 323.0 0.0959294219086619
org.joda.time.format.ISODateTimeFormat:1450	3.0 324.0 0.09578262852211514
org.joda.time.format.ISODateTimeFormat:1451	3.0 324.0 0.09578262852211514
org.joda.time.format.ISODateTimeFormat:1458	3.0 324.0 0.09578262852211514
org.joda.time.format.ISODateTimeFormat:1659	3.0 324.0 0.09578262852211514
org.joda.time.format.ISODateTimeFormat:1660	3.0 324.0 0.09578262852211514
org.joda.time.format.ISODateTimeFormat:1667	3.0 324.0 0.09578262852211514
org.joda.time.format.DateTimeFormatterBuilder:1879	3.0 333.0 0.0944911182523068
org.joda.time.format.DateTimeFormatterBuilder:1880	3.0 333.0 0.0944911182523068
org.joda.time.format.DateTimeFormatterBuilder:1884	3.0 333.0 0.0944911182523068
org.joda.time.format.DateTimeFormatterBuilder:1892	3.0 333.0 0.0944911182523068
org.joda.time.format.DateTimeFormatterBuilder:1894	3.0 333.0 0.0944911182523068
org.joda.time.field.PreciseDurationDateTimeField:127	3.0 349.0 0.09231861823449955
org.joda.time.field.PreciseDurationDateTimeField:126	3.0 352.0 0.09192771195538434
org.joda.time.format.ISODateTimeFormat:854	3.0 366.0 0.09016696346674323
org.joda.time.format.DateTimeFormatterBuilder:2517	3.0 367.0 0.09004503377814962
org.joda.time.format.ISODateTimeFormat:1326	3.0 371.0 0.08956221510397983
org.joda.time.format.ISODateTimeFormat:1327	3.0 371.0 0.08956221510397983
org.joda.time.format.ISODateTimeFormat:1333	3.0 371.0 0.08956221510397983
org.joda.time.format.DateTimeFormatterBuilder:1151	3.0 378.0 0.08873565094161139
org.joda.time.format.DateTimeFormatterBuilder:1152	3.0 378.0 0.08873565094161139
org.joda.time.format.FormatUtils:68	3.0 378.0 0.08873565094161139
org.joda.time.format.FormatUtils:74	3.0 378.0 0.08873565094161139
org.joda.time.format.FormatUtils:75	3.0 378.0 0.08873565094161139
org.joda.time.format.FormatUtils:77	3.0 378.0 0.08873565094161139
org.joda.time.format.FormatUtils:78	3.0 378.0 0.08873565094161139
org.joda.time.format.DateTimeFormatterBuilder:2510	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:2511	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:2515	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:2520	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:2521	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:2522	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:2524	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:1408	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:1409	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:1412	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatterBuilder:1413	3.0 382.0 0.08827348295047495
org.joda.time.format.DateTimeFormatter:580	3.0 385.0 0.08793155726408239
org.joda.time.format.DateTimeFormatter:581	3.0 385.0 0.08793155726408239
org.joda.time.format.DateTimeFormatter:582	3.0 385.0 0.08793155726408239
org.joda.time.format.DateTimeFormatter:457	3.0 386.0 0.08781846196678006
org.joda.time.format.DateTimeFormatter:458	3.0 386.0 0.08781846196678006
org.joda.time.format.DateTimeFormatter:459	3.0 386.0 0.08781846196678006
org.joda.time.format.DateTimeFormatter:460	3.0 386.0 0.08781846196678006
org.joda.time.format.DateTimeFormatter:616	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:617	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:620	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:621	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:622	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:623	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:629	3.0 392.0 0.08714893406611901
org.joda.time.format.DateTimeFormatter:630	3.0 392.0 0.08714893406611901
org.joda.time.DateTimeFieldType:503	3.0 399.0 0.08638684255813601
org.joda.time.format.FormatUtils:80	3.0 400.0 0.08627959628145762
org.joda.time.format.FormatUtils:87	3.0 400.0 0.08627959628145762
org.joda.time.format.FormatUtils:90	3.0 400.0 0.08627959628145762
org.joda.time.format.ISODateTimeFormat:1621	3.0 442.0 0.08210708272559601
org.joda.time.format.ISODateTimeFormat:1622	3.0 442.0 0.08210708272559601
org.joda.time.format.ISODateTimeFormat:1626	3.0 442.0 0.08210708272559601
org.joda.time.format.DateTimeFormatterBuilder:2504	3.0 479.0 0.07889275245573255
org.joda.time.format.ISODateTimeFormat:1671	3.0 495.0 0.07761505257063328
org.joda.time.format.ISODateTimeFormat:1672	3.0 495.0 0.07761505257063328
org.joda.time.format.ISODateTimeFormat:1676	3.0 495.0 0.07761505257063328
org.joda.time.format.DateTimeFormatterBuilder:2072	3.0 497.0 0.07745966692414834
org.joda.time.format.FormatUtils:67	3.0 498.0 0.0773823232534137
org.joda.time.format.DateTimeFormatter:655	3.0 508.0 0.07662141663581955
org.joda.time.format.DateTimeFormatter:656	3.0 508.0 0.07662141663581955
org.joda.time.format.DateTimeFormatter:659	3.0 508.0 0.07662141663581955
org.joda.time.format.FormatUtils:64	3.0 518.0 0.0758825236114042
org.joda.time.format.DateTimeFormatterBuilder:2070	3.0 519.0 0.07580980435789034
org.joda.time.format.DateTimeFormatterBuilder:2071	3.0 519.0 0.07580980435789034
org.joda.time.format.DateTimeFormatterBuilder:2074	3.0 519.0 0.07580980435789034
org.joda.time.format.DateTimeFormatterBuilder:2077	3.0 519.0 0.07580980435789034
org.joda.time.format.DateTimeFormatterBuilder:2207	3.0 519.0 0.07580980435789034
org.joda.time.format.FormatUtils:63	3.0 519.0 0.07580980435789034
org.joda.time.format.FormatUtils:66	3.0 519.0 0.07580980435789034
org.joda.time.DateTime:443	2.0 233.0 0.07532435771547094
org.joda.time.DateTimeUtils:167	3.0 529.0 0.07509392614826384
org.joda.time.DateTimeUtils:168	3.0 529.0 0.07509392614826384
org.joda.time.DateTimeUtils:171	3.0 529.0 0.07509392614826384
org.joda.time.format.DateTimeFormatterBuilder:532	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:535	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:538	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:541	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:559	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1828	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1829	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1831	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1834	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1835	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1836	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1839	3.0 530.0 0.0750234484920533
org.joda.time.format.DateTimeFormatterBuilder:1997	3.0 530.0 0.0750234484920533
org.joda.time.DateTime:441	2.0 235.0 0.07500586006173493
org.joda.time.format.DateTimeFormatterBuilder:1024	3.0 543.0 0.07412493166611012
org.joda.time.format.DateTimeFormatterBuilder:2054	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2055	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2056	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2057	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2058	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2061	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2065	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2066	3.0 547.0 0.07385489458759964
org.joda.time.format.DateTimeFormatterBuilder:2067	3.0 547.0 0.07385489458759964
org.joda.time.DateTimeUtils:164	3.0 555.0 0.07332355751067665
org.joda.time.format.ISODateTimeFormat:1649	3.0 568.0 0.0724840703557789
org.joda.time.format.ISODateTimeFormat:1650	3.0 568.0 0.0724840703557789
org.joda.time.format.ISODateTimeFormat:1655	3.0 568.0 0.0724840703557789
org.joda.time.DateTimeUtils:149	3.0 568.0 0.0724840703557789
org.joda.time.format.ISODateTimeFormat:1639	3.0 571.0 0.07229440390678198
org.joda.time.format.ISODateTimeFormat:1640	3.0 571.0 0.07229440390678198
org.joda.time.format.ISODateTimeFormat:1645	3.0 571.0 0.07229440390678198
org.joda.time.format.ISODateTimeFormat:1630	3.0 573.0 0.07216878364870322
org.joda.time.format.ISODateTimeFormat:1631	3.0 573.0 0.07216878364870322
org.joda.time.format.ISODateTimeFormat:1635	3.0 573.0 0.07216878364870322
org.joda.time.format.DateTimeFormatterBuilder:647	3.0 589.0 0.07118684968143743
org.joda.time.DateTimeUtils:146	3.0 596.0 0.07076967744316075
org.joda.time.format.FormatUtils:50	3.0 609.0 0.0700140042014005
org.joda.time.format.FormatUtils:62	3.0 609.0 0.0700140042014005
org.joda.time.chrono.BasicGJChronology:188	3.0 617.0 0.06956083436402524
org.joda.time.format.DateTimeFormatterBuilder:667	3.0 637.0 0.06846531968814576
org.joda.time.format.ISODateTimeFormat:1572	3.0 639.0 0.06835859270246632
org.joda.time.format.ISODateTimeFormat:1573	3.0 639.0 0.06835859270246632
org.joda.time.format.ISODateTimeFormat:1578	3.0 639.0 0.06835859270246632
org.joda.time.format.ISODateTimeFormat:1562	3.0 644.0 0.06809394365351062
org.joda.time.format.ISODateTimeFormat:1563	3.0 644.0 0.06809394365351062
org.joda.time.format.ISODateTimeFormat:1568	3.0 644.0 0.06809394365351062
org.joda.time.DateTimeFieldType:505	3.0 651.0 0.06772854614785963
org.joda.time.format.DateTimeFormatterBuilder:687	3.0 652.0 0.06767682521924123
org.joda.time.format.ISODateTimeFormat:1553	3.0 663.0 0.06711560552140243
org.joda.time.format.ISODateTimeFormat:1554	3.0 663.0 0.06711560552140243
org.joda.time.format.ISODateTimeFormat:1558	3.0 663.0 0.06711560552140243
org.joda.time.format.DateTimeFormatter:915	3.0 667.0 0.06691496051182058
org.joda.time.format.DateTimeFormatter:916	3.0 667.0 0.06691496051182058
org.joda.time.format.DateTimeFormatter:919	3.0 667.0 0.06691496051182058
org.joda.time.format.DateTimeFormatter:922	3.0 667.0 0.06691496051182058
org.joda.time.format.DateTimeFormatterBuilder:779	3.0 677.0 0.06642111641550714
org.joda.time.format.DateTimeFormatterBuilder:737	3.0 695.0 0.06555908990628968
org.joda.time.DateTimeFieldType:479	3.0 697.0 0.06546536707079773
org.joda.time.chrono.BasicGJChronology:140	3.0 707.0 0.06500270850261593
org.joda.time.DateTimeZone:881	3.0 711.0 0.06482037235521644
org.joda.time.format.DateTimeFormatterBuilder:791	3.0 719.0 0.06446025638903101
org.joda.time.DateTimeFieldType:501	3.0 723.0 0.0642824346533225
org.joda.time.chrono.BasicGJChronology:121	3.0 732.0 0.06388765649999399
org.joda.time.DateTimeFieldType:477	3.0 737.0 0.06367145399670132
org.joda.time.format.DateTimeFormatterBuilder:448	3.0 738.0 0.06362847629757777
org.joda.time.format.DateTimeFormatterBuilder:451	3.0 738.0 0.06362847629757777
org.joda.time.format.DateTimeFormatterBuilder:454	3.0 738.0 0.06362847629757777
org.joda.time.format.DateTimeFormatterBuilder:457	3.0 738.0 0.06362847629757777
org.joda.time.format.DateTimeFormatterBuilder:460	3.0 738.0 0.06362847629757777
org.joda.time.DateTimeFieldType:473	3.0 747.0 0.0632455532033676
org.joda.time.DateTimeFieldType:497	3.0 750.0 0.06311944030978031
org.joda.time.format.DateTimeFormatterBuilder:2614	3.0 755.0 0.06291091829850325
org.joda.time.format.DateTimeFormatterBuilder:2623	3.0 755.0 0.06291091829850325
org.joda.time.format.DateTimeFormatterBuilder:2632	3.0 755.0 0.06291091829850325
org.joda.time.format.DateTimeFormatterBuilder:2633	3.0 755.0 0.06291091829850325
org.joda.time.format.DateTimeFormatterBuilder:2634	3.0 755.0 0.06291091829850325
org.joda.time.format.DateTimeFormatterBuilder:2637	3.0 755.0 0.06291091829850325
org.joda.time.tz.DateTimeZoneBuilder:551	3.0 759.0 0.06274558051381586
org.joda.time.tz.DateTimeZoneBuilder:709	3.0 759.0 0.06274558051381586
org.joda.time.tz.DateTimeZoneBuilder:710	3.0 759.0 0.06274558051381586
org.joda.time.tz.DateTimeZoneBuilder:711	3.0 759.0 0.06274558051381586
org.joda.time.tz.DateTimeZoneBuilder:725	3.0 759.0 0.06274558051381586
org.joda.time.tz.DateTimeZoneBuilder:726	3.0 759.0 0.06274558051381586
org.joda.time.format.DateTimeFormatterBuilder:209	3.0 772.0 0.062217101683825514
org.joda.time.format.DateTimeFormatterBuilder:212	3.0 772.0 0.062217101683825514
org.joda.time.format.DateTimeFormatterBuilder:345	3.0 773.0 0.06217700042172587
org.joda.time.format.DateTimeFormatterBuilder:346	3.0 773.0 0.06217700042172587
org.joda.time.format.DateTimeFormatterBuilder:347	3.0 773.0 0.06217700042172587
org.joda.time.format.DateTimeFormatterBuilder:348	3.0 773.0 0.06217700042172587
org.joda.time.format.DateTimeFormatter:171	3.0 775.0 0.062097029970083095
org.joda.time.format.FormatUtils:31	3.0 781.0 0.06185895741317419
org.joda.time.format.DateTimeFormatter:153	3.0 782.0 0.06181954424739327
org.joda.time.format.DateTimeFormatterBuilder:1112	3.0 809.0 0.06078306738548308
org.joda.time.format.DateTimeFormatterBuilder:1102	3.0 811.0 0.06070834938872647
org.joda.time.tz.DateTimeZoneBuilder:1187	3.0 813.0 0.06063390625908325
org.joda.time.tz.DateTimeZoneBuilder:1543	3.0 813.0 0.06063390625908325
org.joda.time.format.DateTimeFormatterBuilder:1075	3.0 813.0 0.06063390625908325
org.joda.time.format.DateTimeFormatterBuilder:1076	3.0 813.0 0.06063390625908325
org.joda.time.format.DateTimeFormatterBuilder:1078	3.0 813.0 0.06063390625908325
org.joda.time.format.DateTimeFormatterBuilder:1079	3.0 813.0 0.06063390625908325
org.joda.time.format.DateTimeFormatterBuilder:1080	3.0 813.0 0.06063390625908325
org.joda.time.tz.DateTimeZoneBuilder:1304	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1305	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1306	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1311	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1319	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1322	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1330	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:1332	3.0 814.0 0.06059678724350827
org.joda.time.tz.DateTimeZoneBuilder:575	3.0 818.0 0.06044898998137665
org.joda.time.tz.DateTimeZoneBuilder:576	3.0 818.0 0.06044898998137665
org.joda.time.tz.DateTimeZoneBuilder:577	3.0 818.0 0.06044898998137665
org.joda.time.tz.DateTimeZoneBuilder:578	3.0 818.0 0.06044898998137665
org.joda.time.chrono.BasicMonthOfYearDateTimeField:114	3.0 820.0 0.06037549574145732
org.joda.time.chrono.BasicMonthOfYearDateTimeField:115	3.0 820.0 0.06037549574145732
org.joda.time.chrono.BasicMonthOfYearDateTimeField:98	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:103	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:104	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:112	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:113	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:136	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:137	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:138	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:144	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:146	3.0 825.0 0.060192926542884606
org.joda.time.chrono.BasicMonthOfYearDateTimeField:92	3.0 829.0 0.06004805767690767
org.joda.time.tz.DateTimeZoneBuilder:1199	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1200	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1201	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1206	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1208	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1218	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1221	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1223	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1233	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1235	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1579	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1580	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:1583	3.0 837.0 0.05976143046671969
org.joda.time.tz.DateTimeZoneBuilder:573	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:574	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:717	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:718	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:719	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:720	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:729	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:731	3.0 838.0 0.05972588991616819
org.joda.time.tz.DateTimeZoneBuilder:549	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:558	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:560	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:561	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:563	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:564	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:565	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:567	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:583	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:672	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:682	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:683	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:706	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:713	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:761	3.0 839.0 0.059690412698950424
org.joda.time.tz.DateTimeZoneBuilder:776	3.0 839.0 0.059690412698950424
org.joda.time.format.DateTimeFormatterBuilder:408	3.0 863.0 0.058857482389721286
org.joda.time.chrono.BasicYearDateTimeField:61	3.0 864.0 0.058823529411764705
org.joda.time.chrono.BasicYearDateTimeField:62	3.0 864.0 0.058823529411764705
org.joda.time.chrono.BasicYearDateTimeField:63	3.0 864.0 0.058823529411764705
org.joda.time.format.DateTimeFormatterBuilder:396	3.0 866.0 0.05875579936119559
org.joda.time.format.DateTimeFormatterBuilder:399	3.0 866.0 0.05875579936119559
org.joda.time.format.DateTimeFormatterBuilder:402	3.0 866.0 0.05875579936119559
org.joda.time.format.DateTimeFormatterBuilder:405	3.0 866.0 0.05875579936119559
org.joda.time.field.BaseDateTimeField:253	3.0 867.0 0.058722021951470346
org.joda.time.chrono.BasicYearDateTimeField:58	3.0 869.0 0.05865464152543313
org.joda.time.chrono.AssembledChronology:133	3.0 876.0 0.0584206237836986
org.joda.time.chrono.BasicGJChronology:180	3.0 887.0 0.05805847497871377
org.joda.time.format.DateTimeFormatterBuilder:1145	3.0 888.0 0.058025885318565944
org.joda.time.format.DateTimeFormatterBuilder:1169	3.0 888.0 0.058025885318565944
org.joda.time.format.DateTimeFormatterBuilder:1259	3.0 892.0 0.05789607333198487
org.joda.time.chrono.BasicChronology:535	3.0 894.0 0.05783149319662402
org.joda.time.chrono.BasicChronology:544	3.0 894.0 0.05783149319662402
org.joda.time.format.DateTimeFormatterBuilder:359	3.0 895.0 0.05779928406396873
org.joda.time.format.DateTimeFormatterBuilder:1140	3.0 895.0 0.05779928406396873
org.joda.time.format.DateTimeFormatterBuilder:1141	3.0 895.0 0.05779928406396873
org.joda.time.format.DateTimeFormatterBuilder:1142	3.0 895.0 0.05779928406396873
org.joda.time.format.DateTimeFormatterBuilder:2476	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2477	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2478	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2479	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2480	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2481	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2482	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2484	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2491	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2492	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2493	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2494	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2495	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2496	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2497	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2499	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2611	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2612	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2613	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2616	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2620	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2621	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2622	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:2625	3.0 896.0 0.05776712868787001
org.joda.time.format.DateTimeFormatterBuilder:1401	3.0 898.0 0.057702978608461526
org.joda.time.format.DateTimeFormatterBuilder:1396	3.0 899.0 0.057670983608159435
org.joda.time.format.DateTimeFormatterBuilder:1397	3.0 899.0 0.057670983608159435
org.joda.time.format.DateTimeFormatterBuilder:1398	3.0 899.0 0.057670983608159435
