com.google.javascript.jscomp.TypeInference:1042	1.0 16.0 0.17149858514250882
com.google.javascript.jscomp.TypedScopeCreator:2075	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2077	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2078	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2080	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.TypedScopeCreator:2083	2.0 2428.0 0.02868876552746235
com.google.javascript.rhino.jstype.JSTypeRegistry:226	2.0 2430.0 0.028676966733820218
com.google.javascript.jscomp.TypedScopeCreator:930	2.0 2431.0 0.028671072793416005
com.google.javascript.jscomp.TypedScopeCreator:925	2.0 2433.0 0.02865929580676452
com.google.javascript.jscomp.TypedScopeCreator:926	2.0 2433.0 0.02865929580676452
com.google.javascript.jscomp.TypedScopeCreator:929	2.0 2433.0 0.02865929580676452
com.google.javascript.jscomp.FunctionTypeBuilder:580	2.0 2439.0 0.02862405173218095
com.google.javascript.jscomp.FunctionTypeBuilder:506	2.0 2443.0 0.02860062779067008
com.google.javascript.jscomp.FunctionTypeBuilder:507	2.0 2443.0 0.02860062779067008
com.google.javascript.jscomp.FunctionTypeBuilder:534	2.0 2443.0 0.02860062779067008
com.google.javascript.jscomp.parsing.JsDocInfoParser:711	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:712	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:713	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:714	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:717	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:718	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:719	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:723	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.parsing.JsDocInfoParser:727	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.TypedScopeCreator:1345	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.NodeUtil:3126	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.TypedScopeCreator:841	2.0 2454.0 0.02853650727676748
com.google.javascript.jscomp.NodeUtil:3163	2.0 2458.0 0.028513297425610054
com.google.javascript.rhino.jstype.FunctionType:244	2.0 2459.0 0.028507503806241983
com.google.javascript.jscomp.InferJSDocInfo:164	2.0 2463.0 0.028484364594794254
com.google.javascript.jscomp.TypeCheck:1409	2.0 2464.0 0.0284785885905587
com.google.javascript.jscomp.TypeCheck:1410	2.0 2464.0 0.0284785885905587
com.google.javascript.jscomp.TypeCheck:1411	2.0 2464.0 0.0284785885905587
com.google.javascript.jscomp.TypeCheck:1457	2.0 2464.0 0.0284785885905587
com.google.javascript.rhino.jstype.UnionType:91	2.0 2465.0 0.028472816098639553
com.google.javascript.jscomp.TypeCheck:404	2.0 2471.0 0.028438254706861697
com.google.javascript.jscomp.TypeCheck:405	2.0 2471.0 0.028438254706861697
com.google.javascript.jscomp.TypeCheck:407	2.0 2471.0 0.028438254706861697
com.google.javascript.jscomp.TypeCheck:410	2.0 2471.0 0.028438254706861697
com.google.javascript.jscomp.TypeCheck:411	2.0 2471.0 0.028438254706861697
com.google.javascript.jscomp.NodeUtil:3098	2.0 2474.0 0.028421021140160225
com.google.javascript.jscomp.TypeCheck:1619	2.0 2476.0 0.028409549486356805
com.google.javascript.jscomp.FunctionTypeBuilder:693	2.0 2477.0 0.0284038188661298
com.google.javascript.rhino.jstype.JSTypeRegistry:1450	2.0 2477.0 0.0284038188661298
com.google.javascript.jscomp.TypedScopeCreator:2023	2.0 2491.0 0.028323952577472493
com.google.javascript.jscomp.TypedScopeCreator:2024	2.0 2491.0 0.028323952577472493
com.google.javascript.jscomp.TypedScopeCreator:382	2.0 2492.0 0.02831827358942995
com.google.javascript.jscomp.TypeInference:1012	1.0 623.0 0.02830692585361489
com.google.javascript.jscomp.TypedScopeCreator:1230	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1266	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1267	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1277	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1279	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1284	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1285	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1289	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1298	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:1306	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:398	2.0 2495.0 0.02830125709900641
com.google.javascript.rhino.jstype.Property:139	2.0 2495.0 0.02830125709900641
com.google.javascript.rhino.jstype.Property:140	2.0 2495.0 0.02830125709900641
com.google.javascript.jscomp.TypedScopeCreator:505	2.0 2496.0 0.028295591748714637
com.google.javascript.jscomp.TypedScopeCreator:808	2.0 2496.0 0.028295591748714637
com.google.javascript.jscomp.TypeInference:1033	1.0 624.0 0.0282842712474619
com.google.javascript.jscomp.TypedScopeCreator:541	2.0 2501.0 0.02826731594296241
com.google.javascript.jscomp.TypedScopeCreator:1144	2.0 2502.0 0.028261670947211076
com.google.javascript.jscomp.TypeInference:581	2.0 2510.0 0.028216632399155017
com.google.javascript.jscomp.TypedScopeCreator:396	2.0 2511.0 0.028211017707546523
com.google.javascript.jscomp.NodeUtil:3122	2.0 2514.0 0.028194193721730047
com.google.javascript.jscomp.TypedScopeCreator:1918	2.0 2521.0 0.028155054514749173
com.google.javascript.jscomp.TypedScopeCreator:1919	2.0 2521.0 0.028155054514749173
com.google.javascript.jscomp.TypedScopeCreator:1920	2.0 2521.0 0.028155054514749173
com.google.javascript.rhino.jstype.Property:119	2.0 2528.0 0.028116077855776665
com.google.javascript.jscomp.parsing.JsDocInfoParser:1037	2.0 2529.0 0.028110522965303447
com.google.javascript.rhino.jstype.Property:51	2.0 2532.0 0.02809387802771537
com.google.javascript.jscomp.TypedScopeCreator:1541	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1542	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1543	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1544	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1545	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1561	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1562	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1572	2.0 2549.0 0.028000112000672
com.google.javascript.jscomp.TypedScopeCreator:1599	2.0 2549.0 0.028000112000672
com.google.javascript.rhino.jstype.PropertyMap:127	2.0 2550.0 0.027994625547792716
com.google.javascript.jscomp.CodingConventions:426	1.0 645.0 0.027820744203732862
com.google.javascript.jscomp.parsing.JsDocInfoParser:1039	2.0 2584.0 0.02780998390775747
com.google.javascript.jscomp.TypedScopeCreator:532	2.0 2584.0 0.02780998390775747
com.google.javascript.rhino.JSDocInfo:1070	2.0 2584.0 0.02780998390775747
com.google.javascript.jscomp.NodeUtil:3150	2.0 2586.0 0.02779923608748833
com.google.javascript.rhino.jstype.JSTypeRegistry:1578	2.0 2588.0 0.02778850071883642
com.google.javascript.rhino.jstype.JSTypeRegistry:1599	2.0 2588.0 0.02778850071883642
com.google.javascript.rhino.JSTypeExpression:104	2.0 2588.0 0.02778850071883642
com.google.javascript.rhino.JSTypeExpression:105	2.0 2588.0 0.02778850071883642
com.google.javascript.rhino.JSTypeExpression:106	2.0 2588.0 0.02778850071883642
com.google.javascript.jscomp.TypedScopeCreator:385	2.0 2589.0 0.027783137696356902
com.google.javascript.jscomp.TypeCheck:301	2.0 2591.0 0.027772420960106178
com.google.javascript.jscomp.TypeCheck:337	2.0 2591.0 0.027772420960106178
com.google.javascript.jscomp.TypeCheck:393	2.0 2591.0 0.027772420960106178
com.google.javascript.jscomp.TypeCheck:394	2.0 2591.0 0.027772420960106178
com.google.javascript.jscomp.NodeUtil:3125	2.0 2596.0 0.02774568328089315
com.google.javascript.rhino.jstype.PropertyMap:131	2.0 2598.0 0.027735009811261455
com.google.javascript.rhino.jstype.PropertyMap:132	2.0 2598.0 0.027735009811261455
com.google.javascript.jscomp.TypedScopeCreator:1908	2.0 2598.0 0.027735009811261455
com.google.javascript.jscomp.TypedScopeCreator:373	2.0 2600.0 0.027724348650071385
com.google.javascript.jscomp.TypedScopeCreator:374	2.0 2600.0 0.027724348650071385
com.google.javascript.jscomp.TypedScopeCreator:375	2.0 2600.0 0.027724348650071385
com.google.javascript.jscomp.TypedScopeCreator:378	2.0 2600.0 0.027724348650071385
com.google.javascript.jscomp.TypedScopeCreator:1907	2.0 2600.0 0.027724348650071385
com.google.javascript.jscomp.TypedScopeCreator:556	2.0 2606.0 0.027692438781085564
com.google.javascript.jscomp.TypedScopeCreator:538	2.0 2609.0 0.027676525109367547
com.google.javascript.jscomp.TypedScopeCreator:539	2.0 2609.0 0.027676525109367547
com.google.javascript.rhino.JSDocInfo:1067	2.0 2616.0 0.027639499641139105
com.google.javascript.jscomp.NodeUtil:3166	2.0 2624.0 0.027597366233044082
com.google.javascript.rhino.jstype.PropertyMap:136	2.0 2627.0 0.027581615808723165
com.google.javascript.rhino.jstype.PropertyMap:144	2.0 2627.0 0.027581615808723165
com.google.javascript.rhino.Node:2414	2.0 2633.0 0.027550195693178802
com.google.javascript.jscomp.FunctionTypeBuilder:344	2.0 2638.0 0.027524094128159017
com.google.javascript.jscomp.TypedScopeCreator:584	2.0 2642.0 0.027503266206804603
com.google.javascript.jscomp.TypedScopeCreator:585	2.0 2642.0 0.027503266206804603
com.google.javascript.rhino.jstype.PropertyMap:129	2.0 2644.0 0.02749286996141075
com.google.javascript.rhino.jstype.PropertyMap:130	2.0 2644.0 0.02749286996141075
com.google.javascript.jscomp.TypedScopeCreator:1245	2.0 2646.0 0.027482485496465633
com.google.javascript.jscomp.TypedScopeCreator:1931	2.0 2650.0 0.027461751819054487
com.google.javascript.jscomp.TypedScopeCreator:1930	2.0 2651.0 0.027456575727816533
com.google.javascript.rhino.jstype.PropertyMap:118	2.0 2654.0 0.027441064997422587
com.google.javascript.rhino.jstype.PropertyMap:119	2.0 2654.0 0.027441064997422587
com.google.javascript.jscomp.TypedScopeCreator:395	2.0 2655.0 0.02743590059255942
