org.apache.commons.math.stat.descriptive.SummaryStatistics:647	3.0 5.0 0.43301270189221935
org.apache.commons.math.stat.descriptive.SummaryStatistics:607	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.SummaryStatistics:608	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.moment.GeometricMean:145	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:131	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:132	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:133	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:134	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:135	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:138	1.0 2.0 0.23570226039551587
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:84	3.0 30.0 0.21320071635561044
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:85	3.0 30.0 0.21320071635561044
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:86	3.0 30.0 0.21320071635561044
org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic:59	2.0 13.0 0.21081851067789195
org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic:62	2.0 13.0 0.21081851067789195
org.apache.commons.math.stat.descriptive.SummaryStatistics:150	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:151	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:152	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:153	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:154	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:155	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:158	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:161	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:164	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:167	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.SummaryStatistics:168	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Max:76	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Max:77	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Max:79	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Max:80	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Min:76	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Min:77	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Min:79	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.rank.Min:80	3.0 31.0 0.21004201260420147
org.apache.commons.math.stat.descriptive.moment.FirstMoment:102	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:103	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:105	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:106	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:107	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:108	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:109	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.FirstMoment:110	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.SecondMoment:80	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.SecondMoment:81	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.SecondMoment:83	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.SecondMoment:84	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.moment.SecondMoment:85	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.summary.Sum:76	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.summary.Sum:77	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.summary.Sum:78	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:75	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:76	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:77	3.0 32.0 0.20701966780270628
org.apache.commons.math.stat.descriptive.SummaryStatistics:606	1.0 3.0 0.20412414523193154
org.apache.commons.math.util.FastMath:1160	3.0 34.0 0.2013468165642073
org.apache.commons.math.util.FastMath:1161	3.0 34.0 0.2013468165642073
org.apache.commons.math.util.FastMath:1162	3.0 34.0 0.2013468165642073
org.apache.commons.math.util.FastMath:1163	3.0 34.0 0.2013468165642073
org.apache.commons.math.util.FastMath:1164	3.0 34.0 0.2013468165642073
org.apache.commons.math.util.FastMath:375	3.0 36.0 0.19611613513818402
org.apache.commons.math.util.FastMath:1269	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1270	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1271	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1272	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1273	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1274	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1275	3.0 37.0 0.19364916731037085
org.apache.commons.math.util.FastMath:1096	3.0 38.0 0.19127301391900148
org.apache.commons.math.util.FastMath:1155	3.0 38.0 0.19127301391900148
org.apache.commons.math.stat.descriptive.SummaryStatistics:67	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:70	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:73	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:76	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:79	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:82	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:85	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:88	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:91	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:94	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:97	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:100	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:103	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:106	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:109	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:112	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:115	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:118	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:123	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.SummaryStatistics:124	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Variance:111	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Variance:112	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Variance:113	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Variance:114	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1202	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1213	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1215	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1216	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1218	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1292	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1293	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1294	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1295	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1296	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1297	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1299	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1300	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1301	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1302	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1304	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1305	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1306	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1307	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1309	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1310	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1311	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1312	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1314	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1315	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1316	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1317	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1319	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1324	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:3791	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:3796	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:3804	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:3807	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:3809	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.GeometricMean:84	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.GeometricMean:85	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.GeometricMean:86	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Mean:89	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Mean:90	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Mean:91	3.0 39.0 0.1889822365046136
org.apache.commons.math.stat.descriptive.moment.Mean:92	3.0 39.0 0.1889822365046136
org.apache.commons.math.util.FastMath:1106	3.0 40.0 0.1867718419094071
org.apache.commons.math.util.FastMath:1109	3.0 40.0 0.1867718419094071
org.apache.commons.math.util.FastMath:1123	3.0 40.0 0.1867718419094071
org.apache.commons.math.util.FastMath:1132	3.0 40.0 0.1867718419094071
org.apache.commons.math.util.FastMath:1134	3.0 40.0 0.1867718419094071
org.apache.commons.math.util.FastMath:1154	3.0 40.0 0.1867718419094071
org.apache.commons.math.util.FastMath:1178	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1181	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1182	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1184	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1185	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1186	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1190	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1191	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1193	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1194	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1195	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1197	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:1112	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMath:80	3.0 41.0 0.1846372364689991
org.apache.commons.math.util.FastMathLiteralArrays:6174	3.0 41.0 0.1846372364689991
org.apache.commons.math.stat.descriptive.moment.GeometricMean:114	1.0 4.0 0.18257418583505536
org.apache.commons.math.util.FastMathLiteralArrays:29	3.0 44.0 0.1786474002526241
org.apache.commons.math.util.FastMathLiteralArrays:1535	3.0 44.0 0.1786474002526241
org.apache.commons.math.util.FastMathLiteralArrays:3043	3.0 44.0 0.1786474002526241
org.apache.commons.math.util.FastMathLiteralArrays:4074	3.0 44.0 0.1786474002526241
org.apache.commons.math.util.FastMathLiteralArrays:5103	3.0 44.0 0.1786474002526241
org.apache.commons.math.util.FastMath:104	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:106	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:115	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:128	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:141	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:179	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:198	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:218	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:237	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:256	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:277	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:285	3.0 48.0 0.17149858514250885
org.apache.commons.math.util.FastMath:288	3.0 48.0 0.17149858514250885
org.apache.commons.math.stat.descriptive.summary.Sum:120	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.summary.Sum:121	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.summary.Sum:122	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.summary.Sum:123	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.summary.Sum:124	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.summary.Sum:127	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:157	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:158	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:159	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:162	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:165	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:166	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:167	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Mean:169	2.0 21.0 0.17025130615174972
org.apache.commons.math.stat.descriptive.moment.Variance:75	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.Variance:84	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.Variance:91	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:39	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:64	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:65	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:66	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:67	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic:35	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Max:56	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Max:57	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Max:58	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Max:59	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Min:56	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Min:57	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Min:58	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.rank.Min:59	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.FirstMoment:79	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.FirstMoment:80	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.FirstMoment:81	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.FirstMoment:82	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.FirstMoment:83	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.FirstMoment:84	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.SecondMoment:60	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.SecondMoment:61	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.moment.SecondMoment:62	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.Sum:56	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.Sum:57	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.Sum:58	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.Sum:59	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:55	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:56	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:57	3.0 49.0 0.16984155512168936
org.apache.commons.math.stat.descriptive.summary.SumOfSquares:58	3.0 49.0 0.16984155512168936
org.apache.commons.math.util.FastMath:160	3.0 51.0 0.16666666666666666
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic:137	2.0 22.0 0.16666666666666666
org.apache.commons.math.stat.descriptive.moment.Variance:180	1.0 6.0 0.1543033499620919
org.apache.commons.math.stat.descriptive.moment.Mean:79	2.0 26.0 0.1543033499620919
org.apache.commons.math.stat.descriptive.moment.Mean:80	2.0 26.0 0.1543033499620919
org.apache.commons.math.stat.descriptive.moment.Mean:81	2.0 26.0 0.1543033499620919
org.apache.commons.math.stat.descriptive.moment.Mean:82	2.0 26.0 0.1543033499620919
org.apache.commons.math.stat.descriptive.SummaryStatistics:286	1.0 8.0 0.13608276348795434
org.apache.commons.math.stat.descriptive.moment.GeometricMean:111	1.0 8.0 0.13608276348795434
org.apache.commons.math.stat.descriptive.summary.SumOfLogs:100	1.0 8.0 0.13608276348795434
org.apache.commons.math.stat.descriptive.moment.Variance:227	1.0 11.0 0.11785113019775793
org.apache.commons.math.stat.descriptive.moment.Variance:230	1.0 11.0 0.11785113019775793
org.apache.commons.math.stat.descriptive.moment.Variance:204	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:205	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:207	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:256	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:258	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:259	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:260	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:262	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:263	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:264	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:265	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:268	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:402	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:404	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:405	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:407	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:408	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:409	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:410	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:411	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:412	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:413	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:414	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:416	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:417	1.0 14.0 0.10540925533894598
org.apache.commons.math.stat.descriptive.moment.Variance:424	1.0 14.0 0.10540925533894598
org.apache.commons.math.util.FastMath:864	1.0 15.0 0.10206207261596577
org.apache.commons.math.util.FastMath:866	1.0 15.0 0.10206207261596577
org.apache.commons.math.util.FastMath:874	1.0 15.0 0.10206207261596577
org.apache.commons.math.util.FastMath:875	1.0 15.0 0.10206207261596577
org.apache.commons.math.stat.descriptive.moment.FirstMoment:117	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.FirstMoment:118	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.FirstMoment:119	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.FirstMoment:120	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.FirstMoment:121	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.SecondMoment:92	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.SecondMoment:93	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.SecondMoment:94	1.0 19.0 0.09128709291752768
org.apache.commons.math.stat.descriptive.moment.Mean:129	1.0 21.0 0.08703882797784893
org.apache.commons.math.stat.descriptive.SummaryStatistics:205	1.0 22.0 0.08512565307587486
org.apache.commons.math.stat.descriptive.moment.GeometricMean:65	1.0 24.0 0.08164965809277261
org.apache.commons.math.stat.descriptive.moment.GeometricMean:66	1.0 24.0 0.08164965809277261
org.apache.commons.math.stat.descriptive.moment.GeometricMean:67	1.0 24.0 0.08164965809277261
org.apache.commons.math.stat.descriptive.SummaryStatistics:239	1.0 25.0 0.08006407690254357
org.apache.commons.math.util.FastMath:922	1.0 25.0 0.08006407690254357
org.apache.commons.math.stat.descriptive.moment.Variance:179	1.0 26.0 0.07856742013183861
org.apache.commons.math.util.FastMath:807	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:826	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:882	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:883	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:884	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:890	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:899	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:900	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:901	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:902	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:903	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:910	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:911	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:917	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:919	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:925	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:931	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:3754	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:3766	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:3784	1.0 34.0 0.06900655593423542
org.apache.commons.math.util.FastMath:3785	1.0 34.0 0.06900655593423542
