org.apache.commons.lang3.StringEscapeUtils:556	1.0 1.0 0.7071067811865475
org.apache.commons.lang3.text.translate.CharSequenceTranslator:110	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.CharSequenceTranslator:111	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:34	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:35	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:138	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:139	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:147	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:148	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:349	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:350	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:358	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:359	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:370	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:371	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:377	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:378	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:386	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:387	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:395	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:396	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:408	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:409	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:417	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:418	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:419	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:420	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.EntityArrays:422	1.0 24.0 0.2
org.apache.commons.lang3.text.translate.LookupTranslator:40	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:41	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:42	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:43	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:44	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:45	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:46	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:47	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:48	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:49	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:51	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:52	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:56	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:57	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.LookupTranslator:58	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.OctalUnescaper:34	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.OctalUnescaper:36	1.0 25.0 0.19611613513818404
org.apache.commons.lang3.text.translate.UnicodeEscaper:85	1.0 26.0 0.19245008972987526
org.apache.commons.lang3.text.translate.UnicodeEscaper:51	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.UnicodeEscaper:52	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.UnicodeEscaper:53	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.UnicodeEscaper:54	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.UnicodeEscaper:55	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:56	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:57	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:60	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:62	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:35	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.UnicodeUnescaper:30	1.0 27.0 0.1889822365046136
org.apache.commons.lang3.text.translate.CharSequenceTranslator:94	1.0 30.0 0.1796053020267749
org.apache.commons.lang3.text.translate.CharSequenceTranslator:95	1.0 30.0 0.1796053020267749
org.apache.commons.lang3.text.translate.CodePointTranslator:29	1.0 31.0 0.17677669529663687
org.apache.commons.lang3.text.translate.CharSequenceTranslator:54	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.text.translate.CharSequenceTranslator:58	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.text.translate.CharSequenceTranslator:59	1.0 35.0 0.16666666666666666
org.apache.commons.lang3.text.translate.CharSequenceTranslator:76	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.text.translate.CharSequenceTranslator:79	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.text.translate.CharSequenceTranslator:82	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.text.translate.CharSequenceTranslator:83	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.text.translate.CharSequenceTranslator:84	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.text.translate.CharSequenceTranslator:85	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.text.translate.CharSequenceTranslator:86	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.ArrayUtils:49	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:53	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:57	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:61	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:65	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:69	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:73	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:77	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:81	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:85	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:89	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:93	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:97	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:101	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:105	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:109	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:113	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:117	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.ArrayUtils:121	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.text.translate.CharSequenceTranslator:32	1.0 39.0 0.15811388300841897
org.apache.commons.lang3.StringUtils:159	1.0 94.0 0.10259783520851541
org.apache.commons.lang3.StringEscapeUtils:314	0.0 1.0 0.0
org.apache.commons.lang3.StringEscapeUtils:315	0.0 1.0 0.0
org.apache.commons.lang3.StringEscapeUtils:341	0.0 3.0 0.0
org.apache.commons.lang3.StringEscapeUtils:383	0.0 1.0 0.0
org.apache.commons.lang3.StringEscapeUtils:370	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:433	0.0 5.0 0.0
org.apache.commons.lang3.StringEscapeUtils:468	0.0 8.0 0.0
org.apache.commons.lang3.StringEscapeUtils:506	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:527	0.0 3.0 0.0
org.apache.commons.lang3.StringEscapeUtils:582	0.0 1.0 0.0
org.apache.commons.lang3.StringEscapeUtils:163	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:164	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:165	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:279	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:283	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:284	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:285	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:289	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:291	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:293	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:295	0.0 2.0 0.0
org.apache.commons.lang3.StringEscapeUtils:297	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:195	0.0 31.0 0.0
org.apache.commons.lang3.StringUtils:1748	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1758	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:4343	0.0 5.0 0.0
org.apache.commons.lang3.StringUtils:4375	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4378	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4379	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4380	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4381	0.0 6.0 0.0
org.apache.commons.lang3.StringUtils:4383	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4384	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4385	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4386	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4387	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4388	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4389	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4390	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4391	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4394	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:4396	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:4397	0.0 8.0 0.0
org.apache.commons.lang3.StringUtils:1481	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1484	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1485	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1486	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1487	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1488	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1489	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1490	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1491	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1492	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1502	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:1507	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:170	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:171	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5447	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5448	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5450	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5470	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5471	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5473	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5496	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5497	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5499	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5519	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5520	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5522	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5547	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5548	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5550	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5578	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5579	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5581	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5615	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5616	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5619	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5621	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5622	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5623	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5624	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5625	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5627	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5628	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:5631	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3140	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3811	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3812	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3814	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3853	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3856	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3857	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3862	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3863	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3867	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3869	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3870	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3871	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3873	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3874	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3877	0.0 3.0 0.0
org.apache.commons.lang3.StringUtils:3864	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3166	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3167	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3169	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3424	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3427	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3428	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3429	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3431	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3432	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3433	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3434	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3436	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3437	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3440	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3326	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3327	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3329	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3671	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3674	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3675	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3678	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3679	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3680	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3681	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3683	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3685	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3294	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3295	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3297	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3573	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3576	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3577	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3580	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3581	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3582	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3583	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3585	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3587	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3230	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3231	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3233	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3524	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3527	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3528	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3531	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3532	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3533	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3534	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3536	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3538	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3198	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3199	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3201	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3475	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3478	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3479	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3482	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3483	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3484	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3485	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3487	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3489	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3358	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3359	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3361	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3769	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3772	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3773	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3776	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3777	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3778	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3779	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3781	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3783	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3390	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3391	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3393	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3720	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3723	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3724	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3727	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3728	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3729	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3730	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3732	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3734	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3262	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3263	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3265	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3622	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3625	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3626	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3629	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3630	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3631	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3632	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3634	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3636	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3897	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3898	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3900	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3901	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3903	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3904	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3905	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3909	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3910	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3911	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3914	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3915	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3916	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3917	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3918	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3920	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3922	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3941	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3942	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3944	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3945	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3947	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3948	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3949	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3953	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3954	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3955	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3958	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3959	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3960	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3962	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3963	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3964	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3966	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3967	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:3985	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3986	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:3988	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:4006	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:4007	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:4009	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:2437	0.0 1.0 0.0
org.apache.commons.lang3.StringUtils:2528	0.0 2.0 0.0
org.apache.commons.lang3.StringUtils:2938	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2939	0.0 4.0 0.0
org.apache.commons.lang3.StringUtils:2941	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2942	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2943	0.0 4.0 0.0
org.apache.commons.lang3.StringUtils:2945	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2946	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2947	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2948	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2949	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2950	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2952	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2953	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2954	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2955	0.0 7.0 0.0
org.apache.commons.lang3.StringUtils:2956	0.0 7.0 0.0
