org.apache.commons.math3.optimization.direct.CMAESOptimizer:482	1.0 0.0 1.0
org.apache.commons.math3.optimization.direct.CMAESOptimizer:358	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:359	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:360	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:362	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:363	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:364	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:365	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:366	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:367	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:369	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:374	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:376	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:377	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:378	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:380	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:381	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:382	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:383	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:384	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:390	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:396	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:398	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:401	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:404	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:406	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:407	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:408	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:409	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:410	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:411	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:412	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:413	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:418	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:419	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:420	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:421	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:422	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:423	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:424	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:427	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:428	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:435	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:440	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:441	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:442	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:443	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:444	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:450	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:451	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:455	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:456	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:457	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:461	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:466	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:470	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:471	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:474	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:478	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:481	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:484	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:489	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:490	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:491	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:498	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:574	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:582	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:586	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:587	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:588	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:589	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:591	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:592	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:595	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:596	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:597	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:598	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:601	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:602	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:603	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:604	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:605	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:606	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:607	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:608	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:609	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:611	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:612	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:615	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:617	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:618	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:623	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:624	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:626	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:627	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:628	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:631	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:633	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:634	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:635	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:636	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:637	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:639	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:640	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:641	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:642	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:643	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:644	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:645	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:646	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:648	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:659	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:662	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:663	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:666	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:667	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:668	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:671	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:717	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:718	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:719	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:721	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:724	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:725	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:726	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:728	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:730	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:733	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:736	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:737	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:739	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:740	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:741	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:742	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:743	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:744	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:745	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:746	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:748	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:750	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:753	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:754	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:755	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:757	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:758	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:769	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:780	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:781	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:789	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:792	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:794	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:795	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:796	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:797	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:798	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:808	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:813	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:814	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:815	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:817	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:826	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:827	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:829	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:830	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:839	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:840	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:841	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:843	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:844	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:845	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:846	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:848	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1049	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1050	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1051	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1052	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1055	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1064	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1065	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1066	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1067	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1070	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1078	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1079	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1080	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1081	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1082	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1085	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1094	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1095	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1096	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1097	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1100	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1109	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1110	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1111	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1112	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1115	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1124	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1125	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1126	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1127	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1130	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1139	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1140	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1141	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1142	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1145	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1153	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1154	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1155	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1156	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1157	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1159	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1161	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1170	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1171	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1172	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1173	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1175	1.0 13.0 0.2672612419124244
