org.jfree.data.time.TimeSeries:880	1.0 1.0 0.7071067811865475
org.jfree.data.time.TimeSeries:176	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:177	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:178	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:179	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:102	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:103	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:111	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:112	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:115	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:116	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:117	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:118	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:119	1.0 29.0 0.18257418583505536
org.jfree.data.general.Series:120	1.0 29.0 0.18257418583505536
org.jfree.data.time.RegularTimePeriod:161	1.0 29.0 0.18257418583505536
org.jfree.data.time.TimeSeries:513	0 25.0 0.0
org.jfree.data.time.TimeSeries:514	0 25.0 0.0
org.jfree.data.time.TimeSeries:739	0 25.0 0.0
org.jfree.data.time.TimeSeries:740	0 25.0 0.0
org.jfree.data.time.TimeSeries:742	0 25.0 0.0
org.jfree.data.time.TimeSeries:746	0 25.0 0.0
org.jfree.data.time.TimeSeries:559	0 18.0 0.0
org.jfree.data.time.TimeSeries:560	0 18.0 0.0
org.jfree.data.time.TimeSeries:572	0 18.0 0.0
org.jfree.data.time.TimeSeries:573	0 18.0 0.0
org.jfree.data.time.TimeSeries:574	0 18.0 0.0
org.jfree.data.time.TimeSeries:326	0 2.0 0.0
org.jfree.data.time.TimeSeries:444	0 4.0 0.0
org.jfree.data.time.TimeSeries:517	0.0 3.0 0.0
org.jfree.data.time.TimeSeries:518	0.0 3.0 0.0
org.jfree.data.time.TimeSeries:519	0 3.0 0.0
org.jfree.data.time.TimeSeries:520	0 3.0 0.0
org.jfree.data.time.TimeSeries:961	0 9.0 0.0
org.jfree.data.time.TimeSeries:962	0 3.0 0.0
org.jfree.data.time.TimeSeries:964	0 9.0 0.0
org.jfree.data.time.TimeSeries:965	0 4.0 0.0
org.jfree.data.time.TimeSeries:189	0 7.0 0.0
org.jfree.data.time.TimeSeries:215	0 7.0 0.0
org.jfree.data.time.TimeSeries:260	0 9.0 0.0
org.jfree.data.time.TimeSeries:293	0 9.0 0.0
org.jfree.data.time.TimeSeries:967	0 7.0 0.0
org.jfree.data.time.TimeSeries:968	0 7.0 0.0
org.jfree.data.time.TimeSeries:974	0 7.0 0.0
org.jfree.data.time.TimeSeries:980	0 7.0 0.0
org.jfree.data.time.TimeSeries:984	0 7.0 0.0
org.jfree.data.time.TimeSeries:988	0 7.0 0.0
org.jfree.data.time.TimeSeries:992	0 7.0 0.0
org.jfree.data.time.TimeSeries:993	0 7.0 0.0
org.jfree.data.time.TimeSeries:996	0 7.0 0.0
org.jfree.data.time.TimeSeries:997	0 5.0 0.0
org.jfree.data.time.TimeSeries:1001	0 7.0 0.0
org.jfree.data.time.TimeSeries:428	0 8.0 0.0
org.jfree.data.time.TimeSeries:431	0 8.0 0.0
org.jfree.data.time.TimeSeries:433	0 8.0 0.0
org.jfree.data.time.TimeSeries:457	0 4.0 0.0
org.jfree.data.time.TimeSeries:458	0 4.0 0.0
org.jfree.data.time.TimeSeries:459	0 2.0 0.0
org.jfree.data.time.TimeSeries:476	0 5.0 0.0
org.jfree.data.time.TimeSeries:477	0 5.0 0.0
org.jfree.data.time.TimeSeries:612	0 1.0 0.0
org.jfree.data.time.TimeSeries:613	0 1.0 0.0
org.jfree.data.time.TimeSeries:614	0 1.0 0.0
org.jfree.data.time.TimeSeries:615	0 1.0 0.0
org.jfree.data.time.TimeSeries:616	0 1.0 0.0
org.jfree.data.time.TimeSeries:617	0 1.0 0.0
org.jfree.data.time.TimeSeries:618	0 1.0 0.0
org.jfree.data.time.TimeSeries:625	0 1.0 0.0
org.jfree.data.time.TimeSeries:858	0 2.0 0.0
org.jfree.data.time.TimeSeries:882	0 4.0 0.0
org.jfree.data.time.TimeSeries:884	0 4.0 0.0
org.jfree.data.time.TimeSeries:885	0 4.0 0.0
org.jfree.data.time.TimeSeries:886	0 4.0 0.0
org.jfree.data.time.TimeSeries:887	0 4.0 0.0
org.jfree.data.time.TimeSeries:889	0 4.0 0.0
org.jfree.data.time.TimeSeries:891	0 4.0 0.0
org.jfree.data.time.TimeSeries:895	0 4.0 0.0
org.jfree.data.time.TimeSeries:898	0 4.0 0.0
org.jfree.data.time.TimeSeries:675	0 2.0 0.0
org.jfree.data.time.TimeSeries:693	0 3.0 0.0
org.jfree.data.time.TimeSeries:696	0 3.0 0.0
org.jfree.data.time.TimeSeries:698	0 3.0 0.0
org.jfree.data.time.TimeSeries:699	0 3.0 0.0
org.jfree.data.time.TimeSeries:700	0 3.0 0.0
org.jfree.data.time.TimeSeries:701	0 3.0 0.0
org.jfree.data.time.TimeSeries:703	0 3.0 0.0
org.jfree.data.time.TimeSeries:704	0 3.0 0.0
org.jfree.data.time.TimeSeries:705	0 3.0 0.0
org.jfree.data.time.TimeSeries:708	0 3.0 0.0
org.jfree.data.time.TimeSeries:709	0 3.0 0.0
org.jfree.data.time.TimeSeries:723	0 3.0 0.0
org.jfree.data.time.TimeSeries:998	0 1.0 0.0
org.jfree.data.time.TimeSeries:462	0 3.0 0.0
org.jfree.data.time.TimeSeries:832	0 2.0 0.0
org.jfree.data.time.TimeSeries:835	0 2.0 0.0
org.jfree.data.time.TimeSeries:836	0 2.0 0.0
org.jfree.data.time.TimeSeries:838	0 2.0 0.0
org.jfree.data.time.TimeSeries:839	0 2.0 0.0
org.jfree.data.time.TimeSeries:429	0 2.0 0.0
org.jfree.data.time.TimeSeries:818	0 1.0 0.0
org.jfree.data.time.TimeSeries:819	0 1.0 0.0
org.jfree.data.time.TimeSeries:820	0 1.0 0.0
org.jfree.data.time.TimeSeries:821	0 1.0 0.0
org.jfree.data.time.TimeSeries:823	0 1.0 0.0
org.jfree.data.time.TimeSeries:275	0 3.0 0.0
org.jfree.data.time.TimeSeries:278	0 3.0 0.0
org.jfree.data.time.TimeSeries:279	0 3.0 0.0
org.jfree.data.time.TimeSeries:280	0 3.0 0.0
org.jfree.data.time.TimeSeries:283	0 3.0 0.0
org.jfree.data.time.TimeSeries:309	0 3.0 0.0
org.jfree.data.time.TimeSeries:312	0 3.0 0.0
org.jfree.data.time.TimeSeries:313	0 3.0 0.0
org.jfree.data.time.TimeSeries:314	0 3.0 0.0
org.jfree.data.time.TimeSeries:985	0 1.0 0.0
org.jfree.data.time.TimeSeries:989	0 1.0 0.0
org.jfree.data.time.TimeSeries:994	0 1.0 0.0
org.jfree.data.time.TimeSeries:916	0 1.0 0.0
org.jfree.data.time.TimeSeries:919	0 1.0 0.0
org.jfree.data.time.TimeSeries:922	0 1.0 0.0
org.jfree.data.time.TimeSeries:926	0 1.0 0.0
org.jfree.data.time.TimeSeries:927	0 1.0 0.0
org.jfree.data.time.TimeSeries:928	0 1.0 0.0
org.jfree.data.time.TimeSeries:929	0 1.0 0.0
org.jfree.data.time.TimeSeries:930	0 1.0 0.0
org.jfree.data.time.TimeSeries:931	0 1.0 0.0
org.jfree.data.time.TimeSeries:934	0 1.0 0.0
org.jfree.data.time.TimeSeries:935	0 1.0 0.0
org.jfree.data.time.TimeSeries:936	0 1.0 0.0
org.jfree.data.time.TimeSeries:937	0 1.0 0.0
org.jfree.data.time.TimeSeries:939	0 1.0 0.0
org.jfree.data.time.TimeSeries:940	0 1.0 0.0
org.jfree.data.time.TimeSeries:942	0 1.0 0.0
org.jfree.data.time.TimeSeries:943	0 1.0 0.0
org.jfree.data.time.TimeSeries:944	0 1.0 0.0
org.jfree.data.time.TimeSeries:945	0 1.0 0.0
org.jfree.data.time.TimeSeries:948	0 1.0 0.0
org.jfree.data.time.TimeSeries:877	0 1.0 0.0
org.jfree.data.time.TimeSeries:281	0 1.0 0.0
org.jfree.data.time.TimeSeries:711	0 1.0 0.0
org.jfree.data.time.TimeSeries:714	0 1.0 0.0
org.jfree.data.time.TimeSeries:715	0 1.0 0.0
org.jfree.data.time.TimeSeries:718	0 1.0 0.0
org.jfree.data.time.TimeSeries:721	0 1.0 0.0
org.jfree.data.time.TimeSeries:648	0 1.0 0.0
org.jfree.data.time.TimeSeries:650	0 1.0 0.0
org.jfree.data.time.TimeSeries:651	0 1.0 0.0
org.jfree.data.time.TimeSeries:652	0 1.0 0.0
org.jfree.data.time.TimeSeries:654	0 1.0 0.0
org.jfree.data.time.TimeSeries:655	0 1.0 0.0
org.jfree.data.time.TimeSeries:658	0 1.0 0.0
org.jfree.data.time.TimeSeries:353	0 1.0 0.0
org.jfree.data.time.TimeSeries:354	0 1.0 0.0
org.jfree.data.time.TimeSeries:358	0 1.0 0.0
org.jfree.data.time.TimeSeries:743	0 1.0 0.0
org.jfree.data.time.TimeSeries:744	0 1.0 0.0
org.jfree.data.time.TimeSeries:747	0 1.0 0.0
org.jfree.data.time.TimeSeries:765	0 1.0 0.0
org.jfree.data.time.TimeSeries:767	0 1.0 0.0
org.jfree.data.time.TimeSeries:770	0 1.0 0.0
org.jfree.data.time.TimeSeries:773	0 1.0 0.0
org.jfree.data.time.TimeSeries:783	0 1.0 0.0
org.jfree.data.time.TimeSeries:787	0 1.0 0.0
org.jfree.data.time.TimeSeries:788	0 1.0 0.0
org.jfree.data.time.TimeSeries:790	0 1.0 0.0
org.jfree.data.time.TimeSeries:791	0 1.0 0.0
org.jfree.data.time.TimeSeries:793	0 1.0 0.0
org.jfree.data.time.TimeSeries:794	0 1.0 0.0
org.jfree.data.time.TimeSeries:796	0 1.0 0.0
org.jfree.data.time.TimeSeries:1010	0 1.0 0.0
org.jfree.data.time.TimeSeries:1011	0 1.0 0.0
org.jfree.data.time.TimeSeries:1013	0 1.0 0.0
org.jfree.data.time.TimeSeries:1014	0 1.0 0.0
org.jfree.data.time.TimeSeries:1018	0 1.0 0.0
org.jfree.data.time.TimeSeries:1019	0 1.0 0.0
org.jfree.data.time.TimeSeries:1020	0 1.0 0.0
org.jfree.data.time.TimeSeries:1021	0 1.0 0.0
org.jfree.data.time.TimeSeries:1023	0 1.0 0.0
org.jfree.data.time.TimeSeries:1024	0 1.0 0.0
org.jfree.data.time.TimeSeries:1025	0 1.0 0.0
org.jfree.data.time.TimeSeries:1027	0 1.0 0.0
org.jfree.data.time.TimeSeries:1028	0 1.0 0.0
org.jfree.data.time.TimeSeries:1029	0 1.0 0.0
org.jfree.data.time.TimeSeries:1031	0 1.0 0.0
org.jfree.data.time.TimeSeries:1032	0 1.0 0.0
org.jfree.data.time.TimeSeries:1033	0 1.0 0.0
org.jfree.data.time.Day:112	0 4.0 0.0
org.jfree.data.time.Day:113	0 4.0 0.0
org.jfree.data.time.Day:132	0 4.0 0.0
org.jfree.data.time.Day:133	0 4.0 0.0
org.jfree.data.time.Day:136	0 4.0 0.0
org.jfree.data.time.Day:137	0 4.0 0.0
org.jfree.data.time.Day:138	0 4.0 0.0
org.jfree.data.time.Day:148	0 4.0 0.0
org.jfree.data.time.Day:149	0 4.0 0.0
org.jfree.data.time.Day:157	0 4.0 0.0
org.jfree.data.time.Day:158	0 4.0 0.0
org.jfree.data.time.Day:161	0 4.0 0.0
org.jfree.data.time.Day:164	0 4.0 0.0
org.jfree.data.time.Day:165	0 4.0 0.0
org.jfree.data.time.Day:166	0 4.0 0.0
org.jfree.data.time.Day:167	0 4.0 0.0
org.jfree.data.time.Day:168	0 4.0 0.0
org.jfree.data.time.Day:169	0 4.0 0.0
org.jfree.data.time.Day:170	0 4.0 0.0
org.jfree.data.time.Day:171	0 4.0 0.0
org.jfree.data.time.Day:183	0 8.0 0.0
org.jfree.data.time.Day:250	0 8.0 0.0
org.jfree.data.time.Day:251	0 8.0 0.0
org.jfree.data.time.Day:252	0 8.0 0.0
org.jfree.data.time.Day:284	0 4.0 0.0
org.jfree.data.time.Day:285	0 4.0 0.0
org.jfree.data.time.Day:286	0 4.0 0.0
org.jfree.data.time.Day:287	0 4.0 0.0
org.jfree.data.time.Day:302	0 7.0 0.0
org.jfree.data.time.Day:317	0 8.0 0.0
org.jfree.data.time.Day:318	0 8.0 0.0
org.jfree.data.time.Day:319	0 8.0 0.0
org.jfree.data.time.Day:320	0 8.0 0.0
org.jfree.data.time.Day:321	0 8.0 0.0
org.jfree.data.time.Day:322	0 8.0 0.0
org.jfree.data.time.Day:324	0 8.0 0.0
org.jfree.data.time.Day:339	0 8.0 0.0
org.jfree.data.time.Day:340	0 8.0 0.0
org.jfree.data.time.Day:341	0 8.0 0.0
org.jfree.data.time.Day:342	0 8.0 0.0
org.jfree.data.time.Day:343	0 8.0 0.0
org.jfree.data.time.Day:344	0 8.0 0.0
org.jfree.data.time.Day:346	0 8.0 0.0
org.jfree.data.time.Day:404	0 8.0 0.0
org.jfree.data.time.Day:405	0 8.0 0.0
org.jfree.data.time.Day:406	0 8.0 0.0
org.jfree.data.time.Day:407	0 8.0 0.0
org.jfree.data.time.Day:423	0 8.0 0.0
org.jfree.data.time.Day:122	0 4.0 0.0
org.jfree.data.time.Day:123	0 4.0 0.0
org.jfree.data.time.Day:124	0 4.0 0.0
org.jfree.data.time.Day:125	0 4.0 0.0
org.jfree.data.time.Day:224	0 1.0 0.0
org.jfree.data.time.Day:238	0 1.0 0.0
org.jfree.data.time.Day:262	0 1.0 0.0
org.jfree.data.time.Day:263	0 1.0 0.0
org.jfree.data.time.Day:264	0 1.0 0.0
org.jfree.data.time.Day:265	0 1.0 0.0
org.jfree.data.time.Day:361	0 3.0 0.0
org.jfree.data.time.Day:364	0 2.0 0.0
org.jfree.data.time.Day:367	0 2.0 0.0
org.jfree.data.time.Day:368	0 2.0 0.0
org.jfree.data.time.Day:371	0 2.0 0.0
org.jfree.data.time.Day:362	0 1.0 0.0
org.jfree.data.time.Day:385	0 1.0 0.0
org.jfree.data.time.Year:136	0 20.0 0.0
org.jfree.data.time.Year:218	0 20.0 0.0
org.jfree.data.time.Year:317	0 20.0 0.0
org.jfree.data.time.Year:318	0 20.0 0.0
org.jfree.data.time.Year:319	0 20.0 0.0
org.jfree.data.time.Year:271	0 4.0 0.0
org.jfree.data.time.Year:272	0 4.0 0.0
org.jfree.data.time.Year:273	0 4.0 0.0
org.jfree.data.time.Year:274	0 4.0 0.0
org.jfree.data.time.Year:123	0 1.0 0.0
org.jfree.data.time.Year:124	0 1.0 0.0
org.jfree.data.time.Year:125	0 1.0 0.0
org.jfree.data.time.Year:126	0 1.0 0.0
org.jfree.data.time.Year:127	0 1.0 0.0
org.jfree.data.time.Year:128	0 1.0 0.0
org.jfree.data.time.Year:150	0 1.0 0.0
org.jfree.data.time.Year:164	0 1.0 0.0
org.jfree.data.general.Series:295	0 11.0 0.0
org.jfree.data.general.Series:296	0 11.0 0.0
org.jfree.data.general.Series:130	0 12.0 0.0
org.jfree.data.general.Series:256	0 9.0 0.0
org.jfree.data.general.Series:259	0 9.0 0.0
org.jfree.data.general.Series:262	0 9.0 0.0
org.jfree.data.general.Series:263	0 9.0 0.0
org.jfree.data.general.Series:264	0 4.0 0.0
org.jfree.data.general.Series:305	0 3.0 0.0
org.jfree.data.general.Series:306	0 3.0 0.0
org.jfree.data.general.Series:328	0 4.0 0.0
org.jfree.data.general.Series:329	0 4.0 0.0
org.jfree.data.general.Series:158	0 7.0 0.0
org.jfree.data.general.Series:266	0 7.0 0.0
org.jfree.data.general.Series:269	0 7.0 0.0
org.jfree.data.general.Series:142	0 2.0 0.0
org.jfree.data.general.Series:145	0 2.0 0.0
org.jfree.data.general.Series:146	0 2.0 0.0
org.jfree.data.general.Series:147	0 2.0 0.0
org.jfree.data.general.Series:148	0 2.0 0.0
org.jfree.data.general.Series:241	0 4.0 0.0
org.jfree.data.general.Series:242	0 4.0 0.0
org.jfree.data.general.Series:243	0 4.0 0.0
org.jfree.data.general.Series:244	0 4.0 0.0
org.jfree.data.general.Series:279	0 1.0 0.0
org.jfree.data.general.Series:280	0 1.0 0.0
org.jfree.data.general.Series:282	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:254	0 2.0 0.0
org.jfree.data.time.RegularTimePeriod:255	0 2.0 0.0
org.jfree.data.time.RegularTimePeriod:256	0 2.0 0.0
org.jfree.data.time.RegularTimePeriod:268	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:269	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:270	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:85	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:87	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:88	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:89	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:94	0 1.0 0.0
org.jfree.data.time.RegularTimePeriod:95	0 1.0 0.0
org.jfree.data.time.TimeSeriesDataItem:107	0 22.0 0.0
org.jfree.data.time.TimeSeriesDataItem:108	0 22.0 0.0
org.jfree.data.time.TimeSeriesDataItem:125	0 6.0 0.0
org.jfree.data.time.TimeSeriesDataItem:203	0.0 13.0 0.0
org.jfree.data.time.TimeSeriesDataItem:204	0.0 13.0 0.0
org.jfree.data.time.TimeSeriesDataItem:205	0.0 13.0 0.0
org.jfree.data.time.TimeSeriesDataItem:206	0.0 13.0 0.0
org.jfree.data.time.TimeSeriesDataItem:215	0.0 13.0 0.0
org.jfree.data.time.TimeSeriesDataItem:145	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:148	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:151	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:152	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:153	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:161	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:162	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:166	0 4.0 0.0
org.jfree.data.time.TimeSeriesDataItem:170	0 5.0 0.0
org.jfree.data.time.TimeSeriesDataItem:134	0 4.0 0.0
org.jfree.data.time.TimeSeriesDataItem:135	0 4.0 0.0
org.jfree.data.time.TimeSeriesDataItem:226	0 6.0 0.0
org.jfree.data.time.TimeSeriesDataItem:228	0 6.0 0.0
org.jfree.data.time.TimeSeriesDataItem:232	0 6.0 0.0
org.jfree.data.time.TimeSeriesDataItem:233	0 6.0 0.0
org.jfree.data.time.TimeSeriesDataItem:163	0 1.0 0.0
org.jfree.data.time.TimeSeriesDataItem:180	0 1.0 0.0
org.jfree.data.time.TimeSeriesDataItem:181	0 1.0 0.0
org.jfree.data.time.TimeSeriesDataItem:182	0 1.0 0.0
org.jfree.chart.util.ObjectUtilities:80	0 28.0 0.0
org.jfree.chart.util.ObjectUtilities:125	0 25.0 0.0
org.jfree.chart.util.ObjectUtilities:126	0 24.0 0.0
org.jfree.chart.util.ObjectUtilities:128	0 19.0 0.0
org.jfree.chart.util.ObjectUtilities:129	0 19.0 0.0
org.jfree.chart.util.ObjectUtilities:162	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:165	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:166	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:167	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:171	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:173	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:174	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:203	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:209	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:211	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:212	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:213	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:222	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:255	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:258	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:259	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:261	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:262	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:439	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:440	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:442	0 5.0 0.0
org.jfree.chart.util.ObjectUtilities:443	0 5.0 0.0
org.jfree.data.time.FixedMillisecond:82	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:83	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:90	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:91	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:92	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:185	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:186	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:187	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:188	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:192	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:196	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:199	0 1.0 0.0
org.jfree.data.time.FixedMillisecond:215	0 1.0 0.0
org.jfree.data.time.Month:103	0 3.0 0.0
org.jfree.data.time.Month:104	0 3.0 0.0
org.jfree.data.time.Month:107	0 3.0 0.0
org.jfree.data.time.Month:108	0 3.0 0.0
org.jfree.data.time.Month:109	0 3.0 0.0
org.jfree.data.time.Month:110	0 3.0 0.0
org.jfree.data.time.Month:168	0 3.0 0.0
org.jfree.data.time.Month:177	0 3.0 0.0
org.jfree.data.time.Month:217	0 3.0 0.0
org.jfree.data.time.Month:218	0 3.0 0.0
org.jfree.data.time.Month:219	0 3.0 0.0
org.jfree.data.time.Month:269	0 3.0 0.0
org.jfree.data.time.Month:342	0 3.0 0.0
org.jfree.data.time.Month:343	0 3.0 0.0
org.jfree.data.time.Month:344	0 3.0 0.0
org.jfree.data.time.Month:345	0 3.0 0.0
org.jfree.data.time.Month:346	0 3.0 0.0
org.jfree.data.time.Month:348	0 3.0 0.0
org.jfree.data.time.Month:364	0 3.0 0.0
org.jfree.data.time.Month:380	0 3.0 0.0
org.jfree.data.time.Month:381	0 3.0 0.0
org.jfree.data.time.Month:384	0 3.0 0.0
org.jfree.data.time.Month:399	0 3.0 0.0
org.jfree.data.time.Month:400	0 3.0 0.0
org.jfree.data.time.Month:401	0 3.0 0.0
org.jfree.data.time.Month:404	0 3.0 0.0
