org.joda.time.base.AbstractDuration:80	1.0 1.0 0.5
org.joda.time.field.PreciseDurationField:54	2.0 1588.0 0.03546634510659543
org.joda.time.field.PreciseDurationField:63	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:99	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:100	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:101	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:102	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:103	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:156	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:160	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:164	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:168	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:172	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:176	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:180	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:184	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:188	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:192	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:196	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:200	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:204	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:208	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:212	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:216	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:220	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:224	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:228	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:232	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:236	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:240	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:244	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:248	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:252	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:256	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:260	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:264	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:268	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:272	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:276	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:280	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:284	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:288	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:292	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:308	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:319	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:320	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:323	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:327	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:328	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:329	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:330	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:331	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:332	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:333	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:334	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:335	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:336	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:337	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:338	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:343	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:344	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:345	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:346	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:347	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:348	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:349	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:350	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:351	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:352	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:353	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:354	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:355	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:356	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:357	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:358	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:359	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:360	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:361	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:362	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:363	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:364	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:365	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:369	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:370	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:385	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:386	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:436	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:437	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:445	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:446	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:448	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:449	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:451	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:452	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:454	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:455	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:457	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:458	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:460	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:461	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:463	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:464	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:466	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:467	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:469	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:470	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:472	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:473	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:475	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:476	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:478	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:485	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:486	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:488	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:489	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:491	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:492	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:494	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:495	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:497	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:498	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:500	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:501	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:503	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:504	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:506	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:507	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:509	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:510	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:512	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:513	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:515	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:516	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:518	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:519	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:521	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:522	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:524	2.0 1588.0 0.03546634510659543
org.joda.time.chrono.AssembledChronology:525	2.0 1588.0 0.03546634510659543
