com.google.javascript.jscomp.DisambiguateProperties:491	2.0 19.0 0.3086066999241838
com.google.javascript.jscomp.DisambiguateProperties:839	2.0 61.0 0.1781741612749496
com.google.javascript.jscomp.CodeGenerator:795	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:796	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.CodeGenerator:797	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.graph.StandardUnionFind:80	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.graph.StandardUnionFind:84	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.graph.StandardUnionFind:145	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.graph.StandardUnionFind:147	2.0 62.0 0.17677669529663687
com.google.javascript.jscomp.DisambiguateProperties:551	2.0 63.0 0.17541160386140586
com.google.javascript.jscomp.DisambiguateProperties:552	2.0 63.0 0.17541160386140586
com.google.javascript.jscomp.CodeGenerator:791	2.0 63.0 0.17541160386140586
com.google.javascript.jscomp.CodeGenerator:792	2.0 63.0 0.17541160386140586
com.google.javascript.jscomp.CodeGenerator:805	2.0 63.0 0.17541160386140586
com.google.javascript.jscomp.DisambiguateProperties:270	2.0 65.0 0.17277368511627203
com.google.javascript.jscomp.TypedScopeCreator:1567	2.0 65.0 0.17277368511627203
com.google.javascript.jscomp.TypedScopeCreator:1568	2.0 65.0 0.17277368511627203
com.google.javascript.jscomp.DisambiguateProperties:303	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:307	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:312	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:381	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:387	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:436	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:444	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:748	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:150	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:269	2.0 67.0 0.17025130615174972
com.google.javascript.jscomp.DisambiguateProperties:83	2.0 68.0 0.1690308509457033
com.google.javascript.jscomp.TypedScopeCreator:1560	2.0 74.0 0.16222142113076254
com.google.javascript.jscomp.TypedScopeCreator:1561	2.0 74.0 0.16222142113076254
com.google.javascript.jscomp.parsing.IRFactory:556	2.0 82.0 0.1543033499620919
com.google.javascript.jscomp.parsing.IRFactory:552	2.0 97.0 0.1421338109037403
com.google.javascript.jscomp.TypeValidator:327	2.0 102.0 0.1386750490563073
com.google.javascript.jscomp.TypeCheck:582	2.0 102.0 0.1386750490563073
com.google.javascript.rhino.jstype.NoObjectType:120	2.0 124.0 0.1259881576697424
com.google.javascript.jscomp.DisambiguateProperties:591	1.0 39.0 0.11180339887498948
com.google.javascript.jscomp.DisambiguateProperties:606	1.0 42.0 0.10783277320343841
com.google.javascript.jscomp.DisambiguateProperties:582	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:583	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:584	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:607	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:628	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:197	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:198	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:201	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:205	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:209	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:211	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:212	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:213	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:221	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.DisambiguateProperties:226	1.0 47.0 0.10206207261596577
com.google.javascript.jscomp.TypeCheck:1097	2.0 224.0 0.09407208683835973
com.google.javascript.jscomp.DisambiguateProperties:564	1.0 56.0 0.0936585811581694
com.google.javascript.jscomp.DisambiguateProperties:566	1.0 59.0 0.09128709291752768
com.google.javascript.jscomp.DisambiguateProperties:567	1.0 59.0 0.09128709291752768
com.google.javascript.jscomp.DisambiguateProperties:609	1.0 62.0 0.0890870806374748
com.google.javascript.jscomp.DisambiguateProperties:562	1.0 63.0 0.08838834764831843
com.google.javascript.jscomp.DisambiguateProperties:563	1.0 63.0 0.08838834764831843
com.google.javascript.jscomp.DisambiguateProperties:608	1.0 66.0 0.08638684255813601
com.google.javascript.jscomp.DisambiguateProperties:575	1.0 67.0 0.08574929257125441
com.google.javascript.jscomp.DisambiguateProperties:579	1.0 67.0 0.08574929257125441
com.google.javascript.jscomp.DisambiguateProperties:617	1.0 67.0 0.08574929257125441
com.google.javascript.jscomp.DisambiguateProperties:621	1.0 67.0 0.08574929257125441
com.google.javascript.jscomp.CodeGenerator:489	2.0 280.0 0.0842151921066519
com.google.javascript.jscomp.CodeGenerator:492	2.0 280.0 0.0842151921066519
com.google.javascript.jscomp.CodeGenerator:493	2.0 280.0 0.0842151921066519
com.google.javascript.jscomp.CodeGenerator:494	2.0 280.0 0.0842151921066519
com.google.javascript.jscomp.CodeGenerator:495	2.0 280.0 0.0842151921066519
com.google.javascript.jscomp.CodeGenerator:496	2.0 280.0 0.0842151921066519
com.google.javascript.jscomp.TypedScopeCreator:689	2.0 281.0 0.08406627034183972
com.google.javascript.jscomp.TypedScopeCreator:690	2.0 281.0 0.08406627034183972
com.google.javascript.jscomp.TypedScopeCreator:691	2.0 281.0 0.08406627034183972
com.google.javascript.jscomp.NodeUtil:3176	2.0 292.0 0.08247860988423225
com.google.javascript.jscomp.NodeUtil:3174	2.0 294.0 0.08219949365267865
com.google.javascript.jscomp.NodeUtil:3175	2.0 294.0 0.08219949365267865
com.google.javascript.jscomp.NodeUtil:2129	2.0 297.0 0.08178608201095307
com.google.javascript.jscomp.NodeUtil:2128	2.0 298.0 0.08164965809277261
com.google.javascript.jscomp.NodeUtil:2152	2.0 298.0 0.08164965809277261
com.google.javascript.jscomp.TypedScopeCreator:676	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:677	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:678	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:679	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:680	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:681	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:687	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:688	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.TypedScopeCreator:695	2.0 308.0 0.08032193289024989
com.google.javascript.jscomp.NodeUtil:2114	2.0 319.0 0.07893370379638584
com.google.javascript.jscomp.NodeUtil:2118	2.0 319.0 0.07893370379638584
com.google.javascript.jscomp.NodeUtil:3172	2.0 319.0 0.07893370379638584
com.google.javascript.jscomp.NodeUtil:3173	2.0 319.0 0.07893370379638584
com.google.javascript.jscomp.CodeGenerator:687	2.0 333.0 0.07726674092862558
com.google.javascript.jscomp.CodeGenerator:688	2.0 333.0 0.07726674092862558
com.google.javascript.jscomp.CodeGenerator:691	2.0 333.0 0.07726674092862558
com.google.javascript.jscomp.CodeGenerator:708	2.0 333.0 0.07726674092862558
com.google.javascript.jscomp.CodeGenerator:709	2.0 333.0 0.07726674092862558
com.google.javascript.jscomp.CodeGenerator:680	2.0 376.0 0.07273929674533079
com.google.javascript.jscomp.CodeGenerator:684	2.0 376.0 0.07273929674533079
com.google.javascript.jscomp.parsing.IRFactory:698	2.0 463.0 0.06558258357839529
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:234	2.0 463.0 0.06558258357839529
com.google.javascript.jscomp.TypedScopeCreator:1551	2.0 516.0 0.062136976600120006
com.google.javascript.jscomp.CodeGenerator:634	2.0 528.0 0.06142951168339512
com.google.javascript.jscomp.CodeGenerator:635	2.0 528.0 0.06142951168339512
com.google.javascript.jscomp.CodeGenerator:640	2.0 528.0 0.06142951168339512
com.google.javascript.jscomp.CodeGenerator:644	2.0 528.0 0.06142951168339512
com.google.javascript.jscomp.CodeGenerator:647	2.0 528.0 0.06142951168339512
com.google.javascript.jscomp.CodeGenerator:648	2.0 528.0 0.06142951168339512
com.google.javascript.jscomp.NodeUtil:2103	2.0 602.0 0.0575435337648436
com.google.javascript.jscomp.CodeGenerator:1006	2.0 619.0 0.05675043538391658
com.google.javascript.jscomp.CodeGenerator:662	2.0 622.0 0.05661385170722978
com.google.javascript.jscomp.CodeGenerator:664	2.0 622.0 0.05661385170722978
com.google.javascript.jscomp.CodeGenerator:665	2.0 622.0 0.05661385170722978
com.google.javascript.jscomp.CodeGenerator:1063	2.0 631.0 0.05620994273193427
com.google.javascript.jscomp.CodeGenerator:1064	2.0 631.0 0.05620994273193427
com.google.javascript.jscomp.CodeGenerator:1150	2.0 631.0 0.05620994273193427
com.google.javascript.jscomp.CodeGenerator:1161	2.0 631.0 0.05620994273193427
com.google.javascript.jscomp.CodeGenerator:1162	2.0 631.0 0.05620994273193427
com.google.javascript.jscomp.CodeGenerator:992	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:993	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:994	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:995	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:997	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:1022	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:1023	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:1024	2.0 649.0 0.055427399547369326
com.google.javascript.jscomp.CodeGenerator:987	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:988	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:989	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:999	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:1002	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:1005	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:1014	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:1027	2.0 650.0 0.05538487756217113
com.google.javascript.jscomp.CodeGenerator:1060	2.0 661.0 0.054923503638108974
com.google.javascript.jscomp.CodeGenerator:1061	2.0 661.0 0.054923503638108974
com.google.javascript.jscomp.CodeGenerator:1062	2.0 661.0 0.054923503638108974
com.google.javascript.jscomp.CodeGenerator:1172	2.0 661.0 0.054923503638108974
com.google.javascript.jscomp.CodeGenerator:1173	2.0 661.0 0.054923503638108974
com.google.javascript.jscomp.TypedScopeCreator:654	2.0 682.0 0.05407380704358752
com.google.javascript.jscomp.TypedScopeCreator:609	2.0 782.0 0.050507627227610534
com.google.javascript.jscomp.TypedScopeCreator:601	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:602	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:620	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:621	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:622	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:644	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:645	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:646	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:647	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:648	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:653	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:657	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:660	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:662	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:675	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.TypedScopeCreator:700	2.0 790.0 0.050251890762960605
com.google.javascript.jscomp.parsing.IRFactory:968	2.0 791.0 0.05022019609518254
com.google.javascript.jscomp.AstValidator:230	2.0 826.0 0.04914731871829905
com.google.javascript.jscomp.AstValidator:639	2.0 835.0 0.04888237167378443
com.google.javascript.jscomp.AstValidator:640	2.0 835.0 0.04888237167378443
com.google.javascript.jscomp.AstValidator:643	2.0 835.0 0.04888237167378443
com.google.javascript.jscomp.AstValidator:646	2.0 835.0 0.04888237167378443
com.google.javascript.jscomp.CodeGenerator:674	2.0 867.0 0.04797390928809167
com.google.javascript.jscomp.CodeGenerator:675	2.0 867.0 0.04797390928809167
com.google.javascript.jscomp.CodeGenerator:678	2.0 867.0 0.04797390928809167
com.google.javascript.jscomp.CodeGenerator:679	2.0 867.0 0.04797390928809167
com.google.javascript.jscomp.CodeGenerator:712	2.0 867.0 0.04797390928809167
com.google.javascript.jscomp.CodeGenerator:713	2.0 867.0 0.04797390928809167
com.google.javascript.jscomp.AstValidator:751	2.0 957.0 0.045667337727754304
com.google.javascript.jscomp.NodeUtil:2248	2.0 966.0 0.045454545454545456
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:248	2.0 981.0 0.04510640748198447
com.google.javascript.jscomp.NodeUtil:2648	2.0 985.0 0.04501491366063437
com.google.javascript.jscomp.NodeUtil:2651	2.0 985.0 0.04501491366063437
com.google.javascript.jscomp.NodeUtil:2652	2.0 985.0 0.04501491366063437
com.google.javascript.jscomp.NodeUtil:2653	2.0 985.0 0.04501491366063437
com.google.javascript.jscomp.NodeUtil:2657	2.0 985.0 0.04501491366063437
com.google.javascript.jscomp.NodeUtil:1247	2.0 988.0 0.044946657497549475
com.google.javascript.jscomp.NodeUtil:2678	2.0 1028.0 0.044065264923923174
com.google.javascript.jscomp.TypedScopeCreator:588	2.0 1045.0 0.04370605993752646
com.google.javascript.jscomp.TypedScopeCreator:589	2.0 1045.0 0.04370605993752646
com.google.javascript.jscomp.NodeUtil:2750	2.0 1092.0 0.04275691248090128
com.google.javascript.jscomp.NodeUtil:2744	2.0 1096.0 0.04267895997763199
com.google.javascript.jscomp.NodeUtil:2740	2.0 1098.0 0.04264014327112208
com.google.javascript.jscomp.NodeUtil:2736	2.0 1103.0 0.0425435629811517
com.google.javascript.rhino.jstype.ObjectType:332	2.0 1128.0 0.04207031619116713
com.google.javascript.jscomp.TypedScopeCreator:245	2.0 1144.0 0.04177559931443568
com.google.javascript.jscomp.TypedScopeCreator:1791	2.0 1144.0 0.04177559931443568
com.google.javascript.jscomp.TypedScopeCreator:1792	2.0 1144.0 0.04177559931443568
com.google.javascript.jscomp.TypedScopeCreator:1793	2.0 1144.0 0.04177559931443568
com.google.javascript.jscomp.TypedScopeCreator:1797	2.0 1144.0 0.04177559931443568
com.google.javascript.jscomp.TypedScopeCreator:1809	2.0 1144.0 0.04177559931443568
com.google.javascript.jscomp.CodeGenerator:698	1.0 294.0 0.04116934847963091
com.google.javascript.jscomp.parsing.IRFactory:1080	2.0 1422.0 0.03747658444979307
com.google.javascript.jscomp.parsing.IRFactory:1081	2.0 1422.0 0.03747658444979307
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:260	2.0 1422.0 0.03747658444979307
com.google.javascript.rhino.TokenStream:200	1.0 359.0 0.037267799624996496
com.google.javascript.jscomp.TypedScopeCreator:1377	2.0 1506.0 0.03641785203646149
com.google.javascript.jscomp.TypedScopeCreator:1348	2.0 1514.0 0.0363216356146074
com.google.javascript.rhino.IR:447	2.0 1547.0 0.03593265345403678
com.google.javascript.jscomp.TypedScopeCreator:1333	2.0 1552.0 0.03587480016670876
com.google.javascript.jscomp.Normalize:297	2.0 1588.0 0.03546634510659543
com.google.javascript.jscomp.CodeGenerator:482	2.0 1604.0 0.035289233662029275
com.google.javascript.jscomp.CodeGenerator:483	2.0 1604.0 0.035289233662029275
com.google.javascript.jscomp.CodeGenerator:485	2.0 1604.0 0.035289233662029275
com.google.javascript.jscomp.CodeGenerator:461	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.CodeGenerator:464	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.CodeGenerator:467	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.CodeGenerator:468	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.CodeGenerator:471	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.CodeGenerator:472	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.CodeGenerator:475	2.0 1605.0 0.03527825210468791
com.google.javascript.jscomp.TypeCheck:358	2.0 1611.0 0.03521257736184235
com.google.javascript.jscomp.CodeGenerator:395	2.0 1640.0 0.0349002406379888
com.google.javascript.jscomp.NodeUtil:2206	2.0 1752.0 0.033767600672658715
com.google.javascript.jscomp.NodeUtil:1213	2.0 1773.0 0.03356725433186756
com.google.javascript.rhino.Node:2422	1.0 447.0 0.03340765523905305
com.google.javascript.jscomp.CodeGenerator:242	2.0 1802.0 0.03329635791060134
com.google.javascript.jscomp.CodeGenerator:243	2.0 1802.0 0.03329635791060134
com.google.javascript.jscomp.CodeGenerator:244	2.0 1802.0 0.03329635791060134
com.google.javascript.jscomp.CodeConsumer:251	2.0 1803.0 0.03328713326493031
com.google.javascript.jscomp.CodeConsumer:254	2.0 1803.0 0.03328713326493031
com.google.javascript.jscomp.CodeConsumer:260	2.0 1803.0 0.03328713326493031
com.google.javascript.jscomp.CodeConsumer:263	2.0 1803.0 0.03328713326493031
com.google.javascript.jscomp.CodeConsumer:264	2.0 1803.0 0.03328713326493031
com.google.javascript.jscomp.CodeConsumer:250	2.0 1804.0 0.033277916281986085
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:252	2.0 1908.0 0.03235924008452868
com.google.javascript.jscomp.Normalize:129	2.0 1967.0 0.03187073944080697
com.google.javascript.jscomp.Normalize:150	2.0 1967.0 0.03187073944080697
com.google.javascript.jscomp.Normalize:157	2.0 1967.0 0.03187073944080697
com.google.javascript.jscomp.Normalize:232	2.0 1967.0 0.03187073944080697
com.google.javascript.jscomp.SyntacticScopeCreator:61	2.0 1967.0 0.03187073944080697
com.google.javascript.jscomp.SyntacticScopeCreator:63	2.0 1967.0 0.03187073944080697
com.google.javascript.jscomp.Normalize:123	2.0 1968.0 0.03186264939385831
com.google.javascript.jscomp.AstValidator:654	2.0 1977.0 0.031790115128905165
com.google.javascript.jscomp.AbstractCompiler:272	2.0 1983.0 0.031742033253447585
com.google.javascript.jscomp.AbstractCompiler:273	2.0 1983.0 0.031742033253447585
com.google.javascript.jscomp.Normalize:72	2.0 2007.0 0.0315518645928133
com.google.javascript.jscomp.NodeUtil:3107	2.0 2035.0 0.03133426293025616
com.google.javascript.jscomp.AbstractCompiler:311	2.0 2050.0 0.031219527052723135
com.google.javascript.jscomp.NodeUtil:3367	2.0 2067.0 0.03109100441967209
com.google.javascript.jscomp.NodeUtil:3368	2.0 2067.0 0.03109100441967209
com.google.javascript.jscomp.NodeUtil:3370	2.0 2067.0 0.03109100441967209
com.google.javascript.jscomp.NodeUtil:3102	2.0 2072.0 0.031053504702226845
com.google.javascript.jscomp.CodeGenerator:120	2.0 2088.0 0.030934411244487297
com.google.javascript.jscomp.CodeGenerator:124	2.0 2088.0 0.030934411244487297
com.google.javascript.jscomp.CodeGenerator:128	2.0 2088.0 0.030934411244487297
com.google.javascript.jscomp.CodeGenerator:130	2.0 2088.0 0.030934411244487297
com.google.javascript.jscomp.CodeGenerator:136	2.0 2088.0 0.030934411244487297
com.google.javascript.jscomp.CodeGenerator:138	2.0 2088.0 0.030934411244487297
com.google.javascript.jscomp.AbstractCompiler:195	2.0 2092.0 0.03090485136077065
com.google.javascript.jscomp.AstValidator:740	1.0 524.0 0.030860669992418384
com.google.javascript.jscomp.CodeGenerator:218	2.0 2105.0 0.030809363772410978
com.google.javascript.jscomp.CodeGenerator:221	2.0 2105.0 0.030809363772410978
com.google.javascript.jscomp.CodeGenerator:210	2.0 2109.0 0.030780160577438577
com.google.javascript.jscomp.CodeGenerator:211	2.0 2109.0 0.030780160577438577
com.google.javascript.jscomp.CodeGenerator:212	2.0 2109.0 0.030780160577438577
com.google.javascript.jscomp.CodeGenerator:213	2.0 2109.0 0.030780160577438577
com.google.javascript.jscomp.CodeGenerator:775	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:776	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:780	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:782	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:784	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:785	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:786	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:787	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.CodeGenerator:788	2.0 2122.0 0.030685820596610777
com.google.javascript.jscomp.NodeUtil:1529	2.0 2287.0 0.029559160898273956
com.google.javascript.rhino.Node:2406	2.0 2315.0 0.029380012818502388
com.google.javascript.jscomp.TypedScopeCreator:240	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.TypedScopeCreator:241	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.TypedScopeCreator:242	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.TypedScopeCreator:243	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.TypedScopeCreator:244	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.TypedScopeCreator:249	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.TypedScopeCreator:527	2.0 2347.0 0.029179207302160566
com.google.javascript.jscomp.CodeGenerator:304	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:307	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:308	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:309	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:313	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:314	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:316	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:317	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:318	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:320	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeConsumer:168	2.0 2369.0 0.02904351801043748
com.google.javascript.jscomp.CodeGenerator:391	2.0 2403.0 0.02883749003642362
com.google.javascript.jscomp.CodeGenerator:230	2.0 2406.0 0.02881952088521175
com.google.javascript.jscomp.CodeGenerator:231	2.0 2406.0 0.02881952088521175
com.google.javascript.jscomp.CodeGenerator:232	2.0 2406.0 0.02881952088521175
com.google.javascript.jscomp.CodeGenerator:233	2.0 2406.0 0.02881952088521175
com.google.javascript.jscomp.TypeCheck:748	2.0 2428.0 0.02868876552746235
com.google.javascript.jscomp.CodeGenerator:195	2.0 2434.0 0.02865341275306264
com.google.javascript.jscomp.CodeGenerator:196	2.0 2434.0 0.02865341275306264
com.google.javascript.jscomp.CodeGenerator:197	2.0 2434.0 0.02865341275306264
com.google.javascript.rhino.Node:2322	2.0 2445.0 0.028588937363943936
com.google.javascript.jscomp.InferJSDocInfo:164	2.0 2448.0 0.02857142857142857
com.google.javascript.jscomp.NodeUtil:3332	2.0 2449.0 0.028565599452002117
com.google.javascript.rhino.jstype.JSType:300	2.0 2453.0 0.028542318600985498
com.google.javascript.rhino.jstype.JSType:303	2.0 2453.0 0.028542318600985498
com.google.javascript.rhino.jstype.JSType:306	2.0 2453.0 0.028542318600985498
com.google.javascript.jscomp.TypeCheck:401	2.0 2456.0 0.028524895269256473
com.google.javascript.jscomp.TypeCheck:404	2.0 2456.0 0.028524895269256473
com.google.javascript.jscomp.TypeCheck:405	2.0 2456.0 0.028524895269256473
com.google.javascript.jscomp.TypeCheck:407	2.0 2456.0 0.028524895269256473
com.google.javascript.jscomp.TypeCheck:1619	2.0 2461.0 0.028495927154472734
com.google.javascript.jscomp.FunctionTypeBuilder:683	2.0 2462.0 0.028490144114909487
