org.apache.commons.math3.fraction.Fraction:597	1.0 1.0 0.7071067811865475
org.apache.commons.math3.fraction.Fraction:268	0.0 17.0 0.0
org.apache.commons.math3.fraction.Fraction:99	0.0 51.0 0.0
org.apache.commons.math3.fraction.Fraction:100	0.0 51.0 0.0
org.apache.commons.math3.fraction.Fraction:121	0.0 54.0 0.0
org.apache.commons.math3.fraction.Fraction:122	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:177	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:178	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:179	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:180	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:181	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:187	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:188	0.0 22.0 0.0
org.apache.commons.math3.fraction.Fraction:189	0.0 22.0 0.0
org.apache.commons.math3.fraction.Fraction:190	0.0 22.0 0.0
org.apache.commons.math3.fraction.Fraction:193	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:194	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:195	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:196	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:198	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:199	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:201	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:202	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:204	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:205	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:206	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:207	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:208	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:209	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:213	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:214	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:215	0.0 27.0 0.0
org.apache.commons.math3.fraction.Fraction:216	0.0 27.0 0.0
org.apache.commons.math3.fraction.Fraction:217	0.0 27.0 0.0
org.apache.commons.math3.fraction.Fraction:218	0.0 27.0 0.0
org.apache.commons.math3.fraction.Fraction:219	0.0 27.0 0.0
org.apache.commons.math3.fraction.Fraction:220	0.0 27.0 0.0
org.apache.commons.math3.fraction.Fraction:222	0.0 51.0 0.0
org.apache.commons.math3.fraction.Fraction:224	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:226	0.0 51.0 0.0
org.apache.commons.math3.fraction.Fraction:230	0.0 50.0 0.0
org.apache.commons.math3.fraction.Fraction:231	0.0 49.0 0.0
org.apache.commons.math3.fraction.Fraction:232	0.0 49.0 0.0
org.apache.commons.math3.fraction.Fraction:238	0.0 50.0 0.0
org.apache.commons.math3.fraction.Fraction:264	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:227	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:141	0.0 2.0 0.0
org.apache.commons.math3.fraction.Fraction:142	0.0 2.0 0.0
org.apache.commons.math3.fraction.Fraction:234	0.0 2.0 0.0
org.apache.commons.math3.fraction.Fraction:235	0.0 2.0 0.0
org.apache.commons.math3.fraction.Fraction:182	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:210	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:307	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:308	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:309	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:353	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:388	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:398	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:292	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:293	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:295	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:297	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:406	0.0 25.0 0.0
org.apache.commons.math3.fraction.Fraction:409	0.0 25.0 0.0
org.apache.commons.math3.fraction.Fraction:258	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:417	0.0 25.0 0.0
org.apache.commons.math3.fraction.Fraction:407	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:431	0.0 47.0 0.0
org.apache.commons.math3.fraction.Fraction:440	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:477	0.0 62.0 0.0
org.apache.commons.math3.fraction.Fraction:478	0.0 2.0 0.0
org.apache.commons.math3.fraction.Fraction:481	0.0 62.0 0.0
org.apache.commons.math3.fraction.Fraction:484	0.0 59.0 0.0
org.apache.commons.math3.fraction.Fraction:489	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:490	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:492	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:493	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:494	0.0 56.0 0.0
org.apache.commons.math3.fraction.Fraction:502	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:504	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:506	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:509	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:510	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:513	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:514	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:515	0.0 2.0 0.0
org.apache.commons.math3.fraction.Fraction:518	0.0 8.0 0.0
org.apache.commons.math3.fraction.Fraction:534	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:537	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:538	0.0 30.0 0.0
org.apache.commons.math3.fraction.Fraction:542	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:543	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:544	0.0 52.0 0.0
org.apache.commons.math3.fraction.Fraction:569	0.0 24.0 0.0
org.apache.commons.math3.fraction.Fraction:570	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:572	0.0 24.0 0.0
org.apache.commons.math3.fraction.Fraction:573	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:576	0.0 24.0 0.0
org.apache.commons.math3.fraction.Fraction:585	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:612	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:616	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:620	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:623	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:633	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:634	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:635	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:636	0.0 53.0 0.0
org.apache.commons.math3.fraction.Fraction:535	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:454	0.0 28.0 0.0
org.apache.commons.math3.fraction.Fraction:463	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:336	0.0 115.0 0.0
org.apache.commons.math3.fraction.Fraction:339	0.0 115.0 0.0
org.apache.commons.math3.fraction.Fraction:340	0.0 115.0 0.0
org.apache.commons.math3.fraction.Fraction:343	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:378	0.0 6.0 0.0
org.apache.commons.math3.fraction.Fraction:613	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:617	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:621	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:624	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:629	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:630	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:650	0.0 3.0 0.0
org.apache.commons.math3.fraction.Fraction:651	0.0 3.0 0.0
org.apache.commons.math3.fraction.Fraction:652	0.0 3.0 0.0
org.apache.commons.math3.fraction.Fraction:653	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:656	0.0 1.0 0.0
org.apache.commons.math3.fraction.Fraction:658	0.0 3.0 0.0
org.apache.commons.math3.fraction.Fraction:246	0.0 159.0 0.0
org.apache.commons.math3.fraction.Fraction:247	0.0 159.0 0.0
org.apache.commons.math3.fraction.Fraction:37	0.0 121.0 0.0
org.apache.commons.math3.fraction.Fraction:663	0.0 91.0 0.0
org.apache.commons.math3.fraction.Fraction:482	0.0 57.0 0.0
org.apache.commons.math3.fraction.Fraction:485	0.0 29.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:60	0.0 40.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:61	0.0 40.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:62	0.0 1.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:64	0.0 40.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:608	0.0 63.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:609	0.0 63.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:610	0.0 3.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:612	0.0 63.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:680	0.0 27.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:681	0.0 27.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:682	0.0 1.0 0.0
org.apache.commons.math3.util.ArithmeticUtils:684	0.0 27.0 0.0
org.apache.commons.math3.util.FastMath:2927	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3241	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3245	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3249	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3250	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3254	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3258	0.0 60.0 0.0
org.apache.commons.math3.util.FastMath:3255	0.0 51.0 0.0
org.apache.commons.math3.util.FastMath:375	0.0 1.0 0.0
org.apache.commons.math3.util.FastMath:3251	0.0 42.0 0.0
org.apache.commons.math3.util.FastMath:3331	0.0 49.0 0.0
org.apache.commons.math3.util.FastMath:3399	0.0 4.0 0.0
org.apache.commons.math3.util.FastMath:3268	0.0 46.0 0.0
org.apache.commons.math3.util.FastMath:3272	0.0 46.0 0.0
org.apache.commons.math3.util.FastMath:3273	0.0 46.0 0.0
org.apache.commons.math3.util.FastMath:3274	0.0 46.0 0.0
org.apache.commons.math3.util.FastMath:3442	0.0 2.0 0.0
org.apache.commons.math3.util.FastMath:3445	0.0 2.0 0.0
org.apache.commons.math3.util.FastMath:3449	0.0 2.0 0.0
org.apache.commons.math3.util.FastMath:3454	0.0 2.0 0.0
org.apache.commons.math3.util.FastMath:3455	0.0 2.0 0.0
org.apache.commons.math3.util.FastMath:3458	0.0 2.0 0.0
org.apache.commons.math3.util.FastMath:2909	0.0 2.0 0.0
org.apache.commons.math3.exception.ConvergenceException:48	0.0 2.0 0.0
org.apache.commons.math3.exception.ConvergenceException:49	0.0 2.0 0.0
org.apache.commons.math3.exception.ConvergenceException:50	0.0 2.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:56	0.0 7.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:57	0.0 7.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:58	0.0 7.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:59	0.0 7.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:43	0.0 3.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:44	0.0 3.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:45	0.0 3.0 0.0
org.apache.commons.math3.exception.MathArithmeticException:46	0.0 3.0 0.0
org.apache.commons.math3.exception.MathIllegalArgumentException:44	0.0 84.0 0.0
org.apache.commons.math3.exception.MathIllegalArgumentException:45	0.0 84.0 0.0
org.apache.commons.math3.exception.MathIllegalArgumentException:46	0.0 84.0 0.0
org.apache.commons.math3.exception.MathIllegalArgumentException:47	0.0 84.0 0.0
org.apache.commons.math3.exception.MathIllegalNumberException:46	0.0 71.0 0.0
org.apache.commons.math3.exception.MathIllegalNumberException:47	0.0 71.0 0.0
org.apache.commons.math3.exception.MathIllegalNumberException:48	0.0 71.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:45	0.0 8.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:46	0.0 8.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:47	0.0 8.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:48	0.0 8.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:69	0.0 7.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:70	0.0 7.0 0.0
org.apache.commons.math3.exception.MathIllegalStateException:74	0.0 7.0 0.0
org.apache.commons.math3.exception.NullArgumentException:50	0.0 13.0 0.0
org.apache.commons.math3.exception.NullArgumentException:51	0.0 13.0 0.0
org.apache.commons.math3.exception.NullArgumentException:41	0.0 9.0 0.0
org.apache.commons.math3.exception.NullArgumentException:42	0.0 9.0 0.0
org.apache.commons.math3.exception.NumberIsTooLargeException:50	0.0 1.0 0.0
org.apache.commons.math3.exception.NumberIsTooLargeException:54	0.0 1.0 0.0
org.apache.commons.math3.exception.NumberIsTooLargeException:67	0.0 1.0 0.0
org.apache.commons.math3.exception.NumberIsTooLargeException:69	0.0 1.0 0.0
org.apache.commons.math3.exception.NumberIsTooLargeException:70	0.0 1.0 0.0
org.apache.commons.math3.exception.NumberIsTooLargeException:71	0.0 1.0 0.0
org.apache.commons.math3.exception.NumberIsTooSmallException:68	0.0 10.0 0.0
org.apache.commons.math3.exception.NumberIsTooSmallException:70	0.0 10.0 0.0
org.apache.commons.math3.exception.NumberIsTooSmallException:71	0.0 10.0 0.0
org.apache.commons.math3.exception.NumberIsTooSmallException:72	0.0 10.0 0.0
org.apache.commons.math3.exception.NumberIsTooSmallException:50	0.0 4.0 0.0
org.apache.commons.math3.exception.NumberIsTooSmallException:54	0.0 4.0 0.0
org.apache.commons.math3.fraction.FractionConversionException:42	0.0 1.0 0.0
org.apache.commons.math3.fraction.FractionConversionException:43	0.0 1.0 0.0
org.apache.commons.math3.fraction.FractionConversionException:53	0.0 1.0 0.0
org.apache.commons.math3.fraction.FractionConversionException:54	0.0 1.0 0.0
