org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:209	1.0 0.0 1.0
org.apache.commons.math.analysis.solvers.BrentSolver:306	0 97.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:307	0 97.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:308	0 97.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:309	0 97.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:232	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:233	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:234	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:235	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:236	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:237	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:259	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:265	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:267	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:268	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:276	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:281	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:246	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:247	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:249	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:253	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:294	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:295	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:297	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:304	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:305	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:311	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:312	0 112.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:225	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:226	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:228	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:229	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:230	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:239	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:180	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:181	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:187	0 117.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:189	0 115.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:199	0 116.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:243	0 89.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:244	0 89.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:279	0 88.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:289	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:290	0 111.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:301	0 73.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:302	0 73.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:192	0 6.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:195	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:271	0 29.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:272	0 29.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:273	0 29.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:274	0 29.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:313	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:256	0 10.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:257	0 10.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:193	0 5.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:108	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:109	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:133	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:54	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:55	0 1.0 0.0
org.apache.commons.math.analysis.solvers.BrentSolver:68	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:226	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:74	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:75	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:78	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:79	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:80	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:81	0 1.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:102	0 2.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:105	0 2.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:109	0 2.0 0.0
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl:110	0 2.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:83	0 5.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:78	0 90.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:79	0 90.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:93	0 85.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:94	0 85.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:108	0 3.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:109	0 3.0 0.0
org.apache.commons.math.ConvergingAlgorithmImpl:73	0 4.0 0.0
org.apache.commons.math.ConvergenceException:45	0 4.0 0.0
org.apache.commons.math.ConvergenceException:46	0 4.0 0.0
org.apache.commons.math.MathException:67	0 25.0 0.0
org.apache.commons.math.MathException:68	0 25.0 0.0
org.apache.commons.math.MathException:69	0 25.0 0.0
org.apache.commons.math.MathException:70	0 25.0 0.0
org.apache.commons.math.MathException:80	0 13.0 0.0
org.apache.commons.math.MathException:81	0 13.0 0.0
org.apache.commons.math.MathException:82	0 13.0 0.0
org.apache.commons.math.MathException:83	0 13.0 0.0
org.apache.commons.math.MathException:153	0 13.0 0.0
org.apache.commons.math.MathException:159	0 13.0 0.0
org.apache.commons.math.MathException:110	0 4.0 0.0
org.apache.commons.math.MathException:117	0 4.0 0.0
org.apache.commons.math.MathException:123	0 4.0 0.0
org.apache.commons.math.MathException:165	0 4.0 0.0
org.apache.commons.math.MaxIterationsExceededException:43	0 2.0 0.0
org.apache.commons.math.MaxIterationsExceededException:44	0 2.0 0.0
org.apache.commons.math.MaxIterationsExceededException:45	0 2.0 0.0
