org.jfree.chart.plot.MultiplePiePlot:166	1.0 0.0 1.0
org.jfree.chart.plot.PiePlot:255	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:258	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:262	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:265	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:269	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:321	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:324	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:327	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:370	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:388	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:394	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:404	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:407	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:410	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:413	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:468	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:504	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:505	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:506	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:509	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:511	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:512	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:513	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:514	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:515	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:517	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:518	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:520	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:521	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:522	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:524	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:525	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:527	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:529	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:530	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:531	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:532	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:533	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:534	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:535	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:536	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:537	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:539	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:540	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:542	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:544	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:545	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:546	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:547	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:548	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:549	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:551	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:552	1.0 32.0 0.17407765595569785
org.jfree.chart.plot.PiePlot:553	1.0 32.0 0.17407765595569785
org.jfree.chart.util.Rotation:59	1.0 32.0 0.17407765595569785
org.jfree.chart.util.Rotation:63	1.0 32.0 0.17407765595569785
org.jfree.chart.util.Rotation:81	1.0 32.0 0.17407765595569785
org.jfree.chart.util.Rotation:82	1.0 32.0 0.17407765595569785
org.jfree.chart.util.Rotation:83	1.0 32.0 0.17407765595569785
org.jfree.chart.util.Rotation:84	1.0 32.0 0.17407765595569785
org.jfree.data.DefaultKeyedValues2D:95	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:96	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:103	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:104	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:105	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:106	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:107	1.0 50.0 0.14002800840280097
org.jfree.data.DefaultKeyedValues2D:108	1.0 50.0 0.14002800840280097
org.jfree.data.category.DefaultCategoryDataset:73	1.0 50.0 0.14002800840280097
org.jfree.data.category.DefaultCategoryDataset:74	1.0 50.0 0.14002800840280097
org.jfree.data.category.DefaultCategoryDataset:75	1.0 50.0 0.14002800840280097
org.jfree.chart.JFreeChart:1506	1.0 77.0 0.11322770341445956
org.jfree.chart.JFreeChart:393	1.0 95.0 0.10206207261596577
org.jfree.chart.JFreeChart:394	1.0 95.0 0.10206207261596577
org.jfree.chart.JFreeChart:395	1.0 95.0 0.10206207261596577
org.jfree.chart.JFreeChart:396	1.0 95.0 0.10206207261596577
org.jfree.chart.JFreeChart:397	1.0 95.0 0.10206207261596577
org.jfree.chart.JFreeChart:398	1.0 95.0 0.10206207261596577
org.jfree.chart.JFreeChart:399	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:112	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:162	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:163	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:177	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:178	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:179	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:180	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:181	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:182	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:183	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:184	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:185	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:186	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:187	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:188	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:229	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:230	1.0 95.0 0.10206207261596577
org.jfree.chart.title.LegendTitle:231	1.0 95.0 0.10206207261596577
org.jfree.chart.block.AbstractBlock:209	1.0 95.0 0.10206207261596577
org.jfree.chart.block.AbstractBlock:212	1.0 95.0 0.10206207261596577
org.jfree.chart.block.AbstractBlock:213	1.0 95.0 0.10206207261596577
org.jfree.chart.block.AbstractBlock:251	1.0 95.0 0.10206207261596577
org.jfree.chart.block.AbstractBlock:254	1.0 95.0 0.10206207261596577
org.jfree.chart.block.AbstractBlock:255	1.0 95.0 0.10206207261596577
org.jfree.chart.block.BlockContainer:95	1.0 95.0 0.10206207261596577
org.jfree.chart.block.BlockContainer:96	1.0 95.0 0.10206207261596577
org.jfree.chart.block.BlockContainer:99	1.0 95.0 0.10206207261596577
org.jfree.chart.block.BlockContainer:100	1.0 95.0 0.10206207261596577
org.jfree.chart.block.BlockContainer:101	1.0 95.0 0.10206207261596577
org.jfree.chart.block.ColumnArrangement:78	1.0 95.0 0.10206207261596577
org.jfree.chart.block.ColumnArrangement:79	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:80	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:81	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:92	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:93	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:94	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:95	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:96	1.0 95.0 0.10206207261596577
org.jfree.chart.block.FlowArrangement:97	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:82	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:84	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:93	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:94	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:97	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:100	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:103	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:104	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:105	1.0 95.0 0.10206207261596577
org.jfree.chart.block.LineBorder:106	1.0 95.0 0.10206207261596577
org.jfree.chart.event.TitleChangeEvent:64	1.0 95.0 0.10206207261596577
org.jfree.chart.event.TitleChangeEvent:65	1.0 95.0 0.10206207261596577
org.jfree.chart.event.TitleChangeEvent:66	1.0 95.0 0.10206207261596577
org.jfree.chart.title.Title:131	1.0 95.0 0.10206207261596577
org.jfree.chart.title.Title:134	1.0 95.0 0.10206207261596577
org.jfree.chart.title.Title:216	1.0 95.0 0.10206207261596577
org.jfree.chart.title.Title:366	1.0 95.0 0.10206207261596577
org.jfree.chart.title.TextTitle:126	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:130	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:160	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:187	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:190	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:211	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:213	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:216	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:219	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:222	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:223	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:224	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:228	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:229	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:230	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:231	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:232	1.0 109.0 0.09534625892455924
org.jfree.chart.title.TextTitle:234	1.0 109.0 0.09534625892455924
org.jfree.chart.JFreeChart:243	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:246	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:250	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:253	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:298	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:301	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:364	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:366	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:371	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:372	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:373	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:376	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:380	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:381	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:382	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:384	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:386	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:387	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:389	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:392	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:403	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:411	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:413	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:414	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:415	1.0 114.0 0.09325048082403138
org.jfree.chart.JFreeChart:417	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:109	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:110	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:111	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:112	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:113	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:114	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:115	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:116	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:117	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:277	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:280	1.0 114.0 0.09325048082403138
org.jfree.chart.block.AbstractBlock:281	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:96	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:175	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:178	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:183	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:187	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:191	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:192	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:193	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:194	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:195	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:196	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:198	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:337	1.0 114.0 0.09325048082403138
org.jfree.chart.title.Title:338	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:71	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:128	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:129	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:132	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:135	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:136	1.0 114.0 0.09325048082403138
org.jfree.chart.block.BlockBorder:137	1.0 114.0 0.09325048082403138
org.jfree.chart.resources.JFreeChartResources:44	1.0 114.0 0.09325048082403138
org.jfree.chart.resources.JFreeChartResources:52	1.0 114.0 0.09325048082403138
org.jfree.chart.resources.JFreeChartResources:56	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:145	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:146	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:147	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:148	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:198	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:199	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:207	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:208	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:216	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:217	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:225	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:226	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:234	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.BasicProjectInfo:235	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Contributor:63	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Contributor:64	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Contributor:65	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Contributor:66	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:82	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:84	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:128	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:129	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:137	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:138	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:146	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:147	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:155	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Library:156	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Licences:52	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Licences:799	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Licences:800	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Licences:802	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.Licences:822	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:67	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:69	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:111	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:112	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:129	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:130	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:147	1.0 114.0 0.09325048082403138
org.jfree.chart.ui.ProjectInfo:148	1.0 114.0 0.09325048082403138
org.jfree.chart.util.HorizontalAlignment:57	1.0 114.0 0.09325048082403138
org.jfree.chart.util.HorizontalAlignment:61	1.0 114.0 0.09325048082403138
org.jfree.chart.util.HorizontalAlignment:65	1.0 114.0 0.09325048082403138
org.jfree.chart.util.HorizontalAlignment:76	1.0 114.0 0.09325048082403138
org.jfree.chart.util.HorizontalAlignment:77	1.0 114.0 0.09325048082403138
org.jfree.chart.util.HorizontalAlignment:78	1.0 114.0 0.09325048082403138
org.jfree.chart.util.VerticalAlignment:57	1.0 114.0 0.09325048082403138
org.jfree.chart.util.VerticalAlignment:61	1.0 114.0 0.09325048082403138
org.jfree.chart.util.VerticalAlignment:65	1.0 114.0 0.09325048082403138
org.jfree.chart.util.VerticalAlignment:76	1.0 114.0 0.09325048082403138
org.jfree.chart.util.VerticalAlignment:77	1.0 114.0 0.09325048082403138
org.jfree.chart.util.VerticalAlignment:78	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.Plot:868	1.0 116.0 0.09245003270420485
org.jfree.chart.plot.Plot:869	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:57	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:61	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:65	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:69	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:80	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:81	1.0 116.0 0.09245003270420485
org.jfree.chart.util.RectangleEdge:82	1.0 116.0 0.09245003270420485
org.jfree.data.general.AbstractDataset:94	1.0 117.0 0.09205746178983235
org.jfree.data.general.AbstractDataset:95	1.0 117.0 0.09205746178983235
org.jfree.data.general.AbstractDataset:96	1.0 117.0 0.09205746178983235
org.jfree.data.general.AbstractDataset:97	1.0 117.0 0.09205746178983235
org.jfree.data.general.DatasetGroup:63	1.0 117.0 0.09205746178983235
org.jfree.data.general.DatasetGroup:64	1.0 117.0 0.09205746178983235
org.jfree.data.general.DatasetGroup:65	1.0 117.0 0.09205746178983235
org.jfree.chart.util.RectangleAnchor:63	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:67	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:71	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:75	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:79	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:83	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:87	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:91	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:95	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:106	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:107	1.0 121.0 0.09053574604251853
org.jfree.chart.util.RectangleAnchor:108	1.0 121.0 0.09053574604251853
org.jfree.chart.plot.Plot:191	1.0 159.0 0.07905694150420949
