org.apache.commons.math.linear.SingularValueDecompositionImpl:143	2.0 1.0 0.8164965809277261
org.apache.commons.math.linear.Array2DRowRealMatrix:502	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:505	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:564	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:565	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:566	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:567	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:568	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:569	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.Array2DRowRealMatrix:572	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.DefaultRealMatrixPreservingVisitor:30	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.DefaultRealMatrixPreservingVisitor:35	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.DefaultRealMatrixPreservingVisitor:44	2.0 8.0 0.4472135954999579
org.apache.commons.math.linear.SingularValueDecompositionImpl:156	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:158	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:159	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:161	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:163	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:164	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:165	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:166	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:177	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:178	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:181	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:184	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:186	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:196	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:88	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:90	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:91	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:92	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:93	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:94	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:95	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:98	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:103	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:104	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:105	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:106	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:107	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:108	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:109	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:110	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:112	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:114	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:115	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:120	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:127	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:188	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:189	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:190	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:191	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:193	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:195	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.BiDiagonalTransformer:196	2.0 9.0 0.42640143271122083
org.apache.commons.math.linear.SingularValueDecompositionImpl:236	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.SingularValueDecompositionImpl:238	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.SingularValueDecompositionImpl:239	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.SingularValueDecompositionImpl:241	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.SingularValueDecompositionImpl:243	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.SingularValueDecompositionImpl:244	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.SingularValueDecompositionImpl:275	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:169	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:171	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:172	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:173	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:174	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:175	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:176	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:179	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:184	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:185	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:186	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:187	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:201	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:202	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.BiDiagonalTransformer:208	2.0 10.0 0.4082482904638631
org.apache.commons.math.linear.MatrixUtils:61	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:530	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:534	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:544	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:548	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:564	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:565	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:566	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:571	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:572	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:573	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:579	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:55	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:56	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:61	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:66	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:67	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:264	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:266	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:268	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:269	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:270	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:274	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:507	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:508	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:509	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:514	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:515	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealMatrix:518	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:96	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:97	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:98	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:181	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:374	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:386	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:390	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:391	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:398	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:402	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.Array2DRowRealMatrix:403	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealVector:34	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.AbstractRealVector:819	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:41	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:101	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:102	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:105	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:108	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:109	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:946	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.ArrayRealVector:951	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:257	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:259	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:260	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:263	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:264	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:265	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:266	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:272	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1732	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1733	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1736	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1737	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1739	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1740	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1741	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1742	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1743	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1744	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1745	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1746	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1747	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1751	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1752	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1755	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1771	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1772	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1773	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1777	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1778	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1779	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1780	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1781	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1782	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1783	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1784	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1786	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1791	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1792	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1793	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1794	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1795	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1796	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1797	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1798	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1800	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1801	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1802	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1803	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1804	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1808	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1809	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1810	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1829	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1830	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1831	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1832	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1833	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1834	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1835	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1836	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1837	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1838	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1839	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1840	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1841	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1842	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1864	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1865	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1866	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1878	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1879	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1880	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1881	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1882	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1883	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1884	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1885	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1886	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1887	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1888	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1889	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1890	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1911	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1912	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.EigenDecompositionImpl:1913	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:94	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:95	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:117	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:118	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:119	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:120	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:121	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:122	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:123	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:124	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:125	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:173	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.RealVectorFormat:182	2.0 11.0 0.3922322702763681
org.apache.commons.math.util.CompositeFormat:30	2.0 11.0 0.3922322702763681
org.apache.commons.math.util.CompositeFormat:53	2.0 11.0 0.3922322702763681
org.apache.commons.math.util.CompositeFormat:54	2.0 11.0 0.3922322702763681
org.apache.commons.math.util.CompositeFormat:55	2.0 11.0 0.3922322702763681
org.apache.commons.math.linear.MatrixUtils:650	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.MatrixUtils:656	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:134	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:135	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:138	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:141	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:142	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:146	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:147	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:151	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:152	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:157	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:159	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:275	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:292	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:294	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:295	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:296	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:297	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:298	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:299	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:300	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:301	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:302	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:303	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:304	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:306	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.Array2DRowRealMatrix:310	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:296	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:297	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:298	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:299	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:300	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:301	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:303	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:304	2.0 13.0 0.3651483716701107
org.apache.commons.math.linear.BiDiagonalTransformer:305	2.0 13.0 0.3651483716701107
