org.jfree.chart.plot.Marker:265	1.0 4.0 0.4472135954999579
org.jfree.chart.util.RectangleAnchor:40	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:44	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:48	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:52	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:56	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:60	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:64	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:68	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:72	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:83	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:84	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleAnchor:85	1.0 165.0 0.07761505257063328
org.jfree.chart.util.RectangleInsets:42	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:79	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:80	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:93	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:94	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:97	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:98	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:99	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:100	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:101	1.0 215.0 0.06804138174397717
org.jfree.chart.util.RectangleInsets:102	1.0 215.0 0.06804138174397717
org.jfree.chart.util.UnitType:58	1.0 219.0 0.06741998624632421
org.jfree.chart.util.UnitType:61	1.0 219.0 0.06741998624632421
org.jfree.chart.util.UnitType:71	1.0 219.0 0.06741998624632421
org.jfree.chart.util.UnitType:72	1.0 219.0 0.06741998624632421
org.jfree.chart.util.UnitType:73	1.0 219.0 0.06741998624632421
org.jfree.chart.text.TextAnchor:60	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:64	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:68	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:72	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:76	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:80	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:84	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:88	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:91	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:95	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:99	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:103	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:107	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:111	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:115	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:126	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:127	1.0 251.0 0.0629940788348712
org.jfree.chart.text.TextAnchor:128	1.0 251.0 0.0629940788348712
org.jfree.chart.plot.Marker:536	0.0 112.0 0.0
org.jfree.chart.plot.Marker:537	0.0 112.0 0.0
org.jfree.chart.plot.Marker:313	0.0 26.0 0.0
org.jfree.chart.plot.Marker:346	0.0 28.0 0.0
org.jfree.chart.plot.Marker:425	0.0 28.0 0.0
org.jfree.chart.plot.Marker:591	0.0 16.0 0.0
org.jfree.chart.plot.Marker:594	0.0 16.0 0.0
org.jfree.chart.plot.Marker:597	0.0 16.0 0.0
org.jfree.chart.plot.Marker:598	0.0 16.0 0.0
org.jfree.chart.plot.Marker:601	0.0 16.0 0.0
org.jfree.chart.plot.Marker:604	0.0 16.0 0.0
org.jfree.chart.plot.Marker:607	0.0 16.0 0.0
org.jfree.chart.plot.Marker:610	0.0 16.0 0.0
org.jfree.chart.plot.Marker:613	0.0 16.0 0.0
org.jfree.chart.plot.Marker:616	0.0 16.0 0.0
org.jfree.chart.plot.Marker:619	0.0 16.0 0.0
org.jfree.chart.plot.Marker:622	0.0 16.0 0.0
org.jfree.chart.plot.Marker:625	0.0 16.0 0.0
org.jfree.chart.plot.Marker:628	0.0 16.0 0.0
org.jfree.chart.plot.Marker:631	0.0 16.0 0.0
org.jfree.chart.plot.Marker:634	0.0 16.0 0.0
org.jfree.chart.plot.Marker:656	0.0 11.0 0.0
org.jfree.chart.plot.Marker:657	0.0 11.0 0.0
org.jfree.chart.plot.Marker:658	0.0 11.0 0.0
org.jfree.chart.plot.Marker:659	0.0 11.0 0.0
org.jfree.chart.plot.Marker:660	0.0 11.0 0.0
org.jfree.chart.plot.Marker:661	0.0 11.0 0.0
org.jfree.chart.plot.Marker:662	0.0 11.0 0.0
org.jfree.chart.plot.Marker:674	0.0 11.0 0.0
org.jfree.chart.plot.Marker:675	0.0 11.0 0.0
org.jfree.chart.plot.Marker:676	0.0 11.0 0.0
org.jfree.chart.plot.Marker:677	0.0 11.0 0.0
org.jfree.chart.plot.Marker:678	0.0 11.0 0.0
org.jfree.chart.plot.Marker:679	0.0 11.0 0.0
org.jfree.chart.plot.Marker:680	0.0 11.0 0.0
org.jfree.chart.plot.Marker:681	0.0 11.0 0.0
org.jfree.chart.plot.Marker:146	0.0 29.0 0.0
org.jfree.chart.plot.Marker:147	0.0 29.0 0.0
org.jfree.chart.plot.Marker:155	0.0 29.0 0.0
org.jfree.chart.plot.Marker:157	0.0 29.0 0.0
org.jfree.chart.plot.Marker:223	0.0 5.0 0.0
org.jfree.chart.plot.Marker:226	0.0 5.0 0.0
org.jfree.chart.plot.Marker:227	0.0 5.0 0.0
org.jfree.chart.plot.Marker:228	0.0 5.0 0.0
org.jfree.chart.plot.Marker:549	0.0 9.0 0.0
org.jfree.chart.plot.Marker:550	0.0 9.0 0.0
org.jfree.chart.plot.Marker:561	0.0 22.0 0.0
org.jfree.chart.plot.Marker:562	0.0 22.0 0.0
org.jfree.chart.plot.Marker:568	0.0 22.0 0.0
org.jfree.chart.plot.Marker:492	0.0 6.0 0.0
org.jfree.chart.plot.Marker:495	0.0 6.0 0.0
org.jfree.chart.plot.Marker:496	0.0 6.0 0.0
org.jfree.chart.plot.Marker:497	0.0 6.0 0.0
org.jfree.chart.plot.Marker:580	0.0 6.0 0.0
org.jfree.chart.plot.Marker:224	0.0 1.0 0.0
org.jfree.chart.plot.Marker:563	0.0 13.0 0.0
org.jfree.chart.plot.Marker:564	0.0 13.0 0.0
org.jfree.chart.plot.Marker:250	0.0 2.0 0.0
org.jfree.chart.plot.Marker:251	0.0 1.0 0.0
org.jfree.chart.plot.Marker:253	0.0 2.0 0.0
org.jfree.chart.plot.Marker:254	0.0 2.0 0.0
org.jfree.chart.plot.Marker:255	0.0 2.0 0.0
org.jfree.chart.plot.Marker:277	0.0 2.0 0.0
org.jfree.chart.plot.Marker:278	0.0 2.0 0.0
org.jfree.chart.plot.Marker:279	0.0 2.0 0.0
org.jfree.chart.plot.Marker:289	0.0 1.0 0.0
org.jfree.chart.plot.Marker:301	0.0 2.0 0.0
org.jfree.chart.plot.Marker:302	0.0 2.0 0.0
org.jfree.chart.plot.Marker:303	0.0 2.0 0.0
org.jfree.chart.plot.Marker:331	0.0 2.0 0.0
org.jfree.chart.plot.Marker:334	0.0 2.0 0.0
org.jfree.chart.plot.Marker:335	0.0 2.0 0.0
org.jfree.chart.plot.Marker:336	0.0 2.0 0.0
org.jfree.chart.plot.Marker:358	0.0 2.0 0.0
org.jfree.chart.plot.Marker:359	0.0 2.0 0.0
org.jfree.chart.plot.Marker:360	0.0 2.0 0.0
org.jfree.chart.plot.Marker:370	0.0 1.0 0.0
org.jfree.chart.plot.Marker:382	0.0 2.0 0.0
org.jfree.chart.plot.Marker:383	0.0 1.0 0.0
org.jfree.chart.plot.Marker:385	0.0 2.0 0.0
org.jfree.chart.plot.Marker:386	0.0 2.0 0.0
org.jfree.chart.plot.Marker:387	0.0 2.0 0.0
org.jfree.chart.plot.Marker:397	0.0 1.0 0.0
org.jfree.chart.plot.Marker:409	0.0 2.0 0.0
org.jfree.chart.plot.Marker:410	0.0 1.0 0.0
org.jfree.chart.plot.Marker:412	0.0 2.0 0.0
org.jfree.chart.plot.Marker:413	0.0 2.0 0.0
org.jfree.chart.plot.Marker:414	0.0 2.0 0.0
org.jfree.chart.plot.Marker:438	0.0 2.0 0.0
org.jfree.chart.plot.Marker:439	0.0 1.0 0.0
org.jfree.chart.plot.Marker:441	0.0 2.0 0.0
org.jfree.chart.plot.Marker:442	0.0 2.0 0.0
org.jfree.chart.plot.Marker:443	0.0 2.0 0.0
org.jfree.chart.plot.Marker:453	0.0 1.0 0.0
org.jfree.chart.plot.Marker:465	0.0 2.0 0.0
org.jfree.chart.plot.Marker:466	0.0 1.0 0.0
org.jfree.chart.plot.Marker:468	0.0 2.0 0.0
org.jfree.chart.plot.Marker:469	0.0 2.0 0.0
org.jfree.chart.plot.Marker:470	0.0 2.0 0.0
org.jfree.chart.plot.Marker:480	0.0 1.0 0.0
org.jfree.chart.plot.Marker:493	0.0 1.0 0.0
org.jfree.chart.plot.Marker:507	0.0 1.0 0.0
org.jfree.chart.plot.Marker:519	0.0 2.0 0.0
org.jfree.chart.plot.Marker:520	0.0 1.0 0.0
org.jfree.chart.plot.Marker:522	0.0 2.0 0.0
org.jfree.chart.plot.Marker:523	0.0 2.0 0.0
org.jfree.chart.plot.Marker:524	0.0 2.0 0.0
org.jfree.chart.plot.Marker:599	0.0 1.0 0.0
org.jfree.chart.plot.Marker:602	0.0 1.0 0.0
org.jfree.chart.plot.Marker:605	0.0 1.0 0.0
org.jfree.chart.plot.Marker:608	0.0 1.0 0.0
org.jfree.chart.plot.Marker:611	0.0 1.0 0.0
org.jfree.chart.plot.Marker:614	0.0 1.0 0.0
org.jfree.chart.plot.Marker:617	0.0 1.0 0.0
org.jfree.chart.plot.Marker:620	0.0 1.0 0.0
org.jfree.chart.plot.Marker:623	0.0 1.0 0.0
org.jfree.chart.plot.Marker:626	0.0 1.0 0.0
org.jfree.chart.plot.Marker:629	0.0 1.0 0.0
org.jfree.chart.plot.Marker:632	0.0 1.0 0.0
org.jfree.chart.plot.Marker:645	0.0 1.0 0.0
org.jfree.chart.plot.ValueMarker:141	0.0 29.0 0.0
org.jfree.chart.plot.ValueMarker:144	0.0 16.0 0.0
org.jfree.chart.plot.ValueMarker:147	0.0 16.0 0.0
org.jfree.chart.plot.ValueMarker:150	0.0 16.0 0.0
org.jfree.chart.plot.ValueMarker:151	0.0 16.0 0.0
org.jfree.chart.plot.ValueMarker:154	0.0 16.0 0.0
org.jfree.chart.plot.ValueMarker:68	0.0 29.0 0.0
org.jfree.chart.plot.ValueMarker:69	0.0 29.0 0.0
org.jfree.chart.plot.ValueMarker:70	0.0 29.0 0.0
org.jfree.chart.plot.ValueMarker:142	0.0 13.0 0.0
org.jfree.chart.plot.ValueMarker:145	0.0 1.0 0.0
org.jfree.chart.plot.ValueMarker:152	0.0 1.0 0.0
org.jfree.chart.plot.ValueMarker:121	0.0 2.0 0.0
org.jfree.chart.plot.ValueMarker:122	0.0 2.0 0.0
org.jfree.chart.plot.ValueMarker:123	0.0 2.0 0.0
org.jfree.chart.util.LengthAdjustmentType:100	0.0 18.0 0.0
org.jfree.chart.util.LengthAdjustmentType:101	0.0 17.0 0.0
org.jfree.chart.util.LengthAdjustmentType:103	0.0 12.0 0.0
org.jfree.chart.util.LengthAdjustmentType:106	0.0 12.0 0.0
org.jfree.chart.util.LengthAdjustmentType:107	0.0 12.0 0.0
org.jfree.chart.util.LengthAdjustmentType:108	0.0 12.0 0.0
org.jfree.chart.util.LengthAdjustmentType:110	0.0 11.0 0.0
org.jfree.chart.util.LengthAdjustmentType:130	0.0 11.0 0.0
org.jfree.chart.util.LengthAdjustmentType:133	0.0 11.0 0.0
org.jfree.chart.util.LengthAdjustmentType:136	0.0 11.0 0.0
org.jfree.chart.util.LengthAdjustmentType:137	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:140	0.0 35.0 0.0
org.jfree.chart.util.RectangleAnchor:141	0.0 35.0 0.0
org.jfree.chart.util.RectangleAnchor:142	0.0 35.0 0.0
org.jfree.chart.util.RectangleAnchor:144	0.0 24.0 0.0
org.jfree.chart.util.RectangleAnchor:147	0.0 13.0 0.0
org.jfree.chart.util.RectangleAnchor:150	0.0 13.0 0.0
org.jfree.chart.util.RectangleAnchor:153	0.0 13.0 0.0
org.jfree.chart.util.RectangleAnchor:154	0.0 13.0 0.0
org.jfree.chart.util.RectangleAnchor:168	0.0 35.0 0.0
org.jfree.chart.util.RectangleAnchor:106	0.0 16.0 0.0
org.jfree.chart.util.RectangleAnchor:109	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:113	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:114	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:118	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:245	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:246	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:247	0.0 8.0 0.0
org.jfree.chart.util.RectangleAnchor:273	0.0 15.0 0.0
org.jfree.chart.util.RectangleAnchor:107	0.0 7.0 0.0
org.jfree.chart.util.RectangleAnchor:115	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:249	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:250	0.0 7.0 0.0
org.jfree.chart.util.RectangleAnchor:252	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:253	0.0 7.0 0.0
org.jfree.chart.util.RectangleAnchor:255	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:256	0.0 7.0 0.0
org.jfree.chart.util.RectangleAnchor:258	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:259	0.0 7.0 0.0
org.jfree.chart.util.RectangleAnchor:261	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:262	0.0 11.0 0.0
org.jfree.chart.util.RectangleAnchor:186	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:187	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:188	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:189	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:194	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:199	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:204	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:205	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:209	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:210	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:234	0.0 2.0 0.0
org.jfree.chart.util.RectangleAnchor:145	0.0 11.0 0.0
org.jfree.chart.util.RectangleInsets:158	0.0 50.0 0.0
org.jfree.chart.util.RectangleInsets:161	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:164	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:165	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:168	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:171	0.0 29.0 0.0
org.jfree.chart.util.RectangleInsets:174	0.0 29.0 0.0
org.jfree.chart.util.RectangleInsets:177	0.0 29.0 0.0
org.jfree.chart.util.RectangleInsets:180	0.0 29.0 0.0
org.jfree.chart.util.RectangleInsets:120	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:129	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:138	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:147	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:312	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:327	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:330	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:331	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:332	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:333	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:334	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:336	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:337	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:338	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:339	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:340	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:342	0.0 44.0 0.0
org.jfree.chart.util.RectangleInsets:358	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:359	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:362	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:373	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:374	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:377	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:388	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:389	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:392	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:403	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:404	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:407	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:418	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:419	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:422	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:433	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:434	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:437	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:448	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:449	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:452	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:463	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:464	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:467	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:478	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:489	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:500	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:512	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:522	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:523	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:524	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:525	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:526	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:527	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:528	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:529	0.0 46.0 0.0
org.jfree.chart.util.RectangleInsets:159	0.0 9.0 0.0
org.jfree.chart.util.RectangleInsets:169	0.0 28.0 0.0
org.jfree.chart.util.UnitType:93	0.0 22.0 0.0
org.jfree.chart.util.UnitType:96	0.0 22.0 0.0
org.jfree.chart.util.UnitType:99	0.0 22.0 0.0
org.jfree.chart.util.UnitType:100	0.0 22.0 0.0
org.jfree.chart.util.UnitType:103	0.0 22.0 0.0
org.jfree.chart.util.UnitType:123	0.0 22.0 0.0
org.jfree.chart.util.UnitType:124	0.0 21.0 0.0
org.jfree.chart.util.UnitType:101	0.0 7.0 0.0
org.jfree.chart.util.UnitType:126	0.0 7.0 0.0
org.jfree.chart.util.UnitType:127	0.0 7.0 0.0
org.jfree.chart.text.TextAnchor:149	0.0 76.0 0.0
org.jfree.chart.text.TextAnchor:150	0.0 72.0 0.0
org.jfree.chart.text.TextAnchor:152	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:156	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:157	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:158	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:161	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:181	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:182	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:185	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:186	0.0 31.0 0.0
org.jfree.chart.text.TextAnchor:188	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:191	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:194	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:195	0.0 31.0 0.0
org.jfree.chart.text.TextAnchor:197	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:200	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:203	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:206	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:209	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:212	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:213	0.0 35.0 0.0
org.jfree.chart.text.TextAnchor:227	0.0 35.0 0.0
org.jfree.chart.event.ChartChangeEvent:71	0.0 251.0 0.0
org.jfree.chart.event.ChartChangeEvent:72	0.0 251.0 0.0
org.jfree.chart.event.ChartChangeEvent:95	0.0 251.0 0.0
org.jfree.chart.event.ChartChangeEvent:96	0.0 251.0 0.0
org.jfree.chart.event.ChartChangeEvent:97	0.0 251.0 0.0
org.jfree.chart.event.ChartChangeEvent:98	0.0 251.0 0.0
org.jfree.chart.event.ChartChangeEvent:115	0.0 75.0 0.0
org.jfree.chart.event.ChartChangeEvent:116	0.0 75.0 0.0
org.jfree.chart.event.ChartChangeEvent:133	0.0 159.0 0.0
org.jfree.chart.event.ChartChangeEvent:134	0.0 159.0 0.0
org.jfree.chart.event.MarkerChangeEvent:67	0.0 22.0 0.0
org.jfree.chart.event.MarkerChangeEvent:68	0.0 22.0 0.0
org.jfree.chart.event.MarkerChangeEvent:69	0.0 22.0 0.0
org.jfree.chart.event.MarkerChangeEvent:79	0.0 13.0 0.0
