org.jfree.chart.renderer.category.MinMaxCategoryRenderer:174	1.0 0.0 1.0
org.jfree.chart.text.TextAnchor:128	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator:75	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator:76	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator:83	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator:84	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator:87	1.0 4.0 0.4472135954999579
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator:88	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:230	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:231	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:232	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:233	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:234	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:236	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:237	1.0 4.0 0.4472135954999579
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:238	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:68	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:71	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:77	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:78	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:86	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:87	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:95	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:96	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:97	1.0 4.0 0.4472135954999579
org.jfree.chart.util.AbstractObjectList:98	1.0 4.0 0.4472135954999579
org.jfree.chart.util.BooleanList:62	1.0 4.0 0.4472135954999579
org.jfree.chart.util.BooleanList:63	1.0 4.0 0.4472135954999579
org.jfree.chart.util.PaintList:61	1.0 4.0 0.4472135954999579
org.jfree.chart.util.PaintList:62	1.0 4.0 0.4472135954999579
org.jfree.chart.util.ShapeList:60	1.0 4.0 0.4472135954999579
org.jfree.chart.util.ShapeList:61	1.0 4.0 0.4472135954999579
org.jfree.chart.util.StrokeList:60	1.0 4.0 0.4472135954999579
org.jfree.chart.util.StrokeList:61	1.0 4.0 0.4472135954999579
org.jfree.chart.util.ObjectList:60	1.0 4.0 0.4472135954999579
org.jfree.chart.util.ObjectList:61	1.0 4.0 0.4472135954999579
org.jfree.chart.event.RendererChangeEvent:63	0 0.0 0
org.jfree.chart.event.RendererChangeEvent:64	0 0.0 0
org.jfree.chart.event.RendererChangeEvent:65	0 0.0 0
org.jfree.chart.renderer.AbstractRenderer:2339	0 0.0 0
org.jfree.chart.renderer.AbstractRenderer:2340	0 0.0 0
org.jfree.chart.renderer.AbstractRenderer:2345	0 0.0 0
org.jfree.chart.renderer.AbstractRenderer:2355	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2358	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2361	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2362	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2365	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2368	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2372	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2375	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2378	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2381	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2384	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2387	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2391	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2395	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2398	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2401	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2405	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2410	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2413	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2416	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2420	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2423	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2427	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2431	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2435	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2439	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2443	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2447	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2451	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2455	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2458	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2462	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2465	0 3.0 0.0
org.jfree.chart.renderer.AbstractRenderer:144	0 4.0 0.0
org.jfree.chart.renderer.AbstractRenderer:147	0 4.0 0.0
org.jfree.chart.renderer.AbstractRenderer:150	0 4.0 0.0
org.jfree.chart.renderer.AbstractRenderer:154	0 4.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2474	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2476	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2477	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2478	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2490	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2492	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2493	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2497	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2498	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2503	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2504	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2508	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2509	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2512	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2513	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2518	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2519	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2524	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2525	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2530	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2531	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2533	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2534	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2538	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2539	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2545	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2546	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2552	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2553	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2559	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2560	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2566	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2567	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2572	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2573	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2576	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2577	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2578	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2590	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2591	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2592	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2593	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2594	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2595	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2596	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2597	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2599	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2612	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2613	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2614	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2615	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2616	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2617	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2618	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2619	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2623	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2625	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:400	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:401	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:402	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:405	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:503	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:504	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:505	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:508	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:614	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:629	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:630	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:631	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:632	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:633	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:634	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:637	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:640	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:938	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:939	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:946	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:947	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:949	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1071	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1086	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1087	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1094	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1095	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1097	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1231	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1232	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1239	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1240	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1242	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1380	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1381	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1382	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1383	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1384	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1385	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1388	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:1391	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2281	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2284	0 1.0 0.0
org.jfree.chart.renderer.AbstractRenderer:2285	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:169	0 0.0 0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:170	0 0.0 0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:171	0 0.0 0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:120	0 4.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:124	0 4.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:128	0 4.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:450	0 4.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:451	0 4.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:522	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:523	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:524	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:525	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:537	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:538	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:539	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:541	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:543	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:545	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:546	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:336	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:337	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:339	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:341	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:343	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:344	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:345	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:346	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:348	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:349	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:350	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:356	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:386	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:387	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:388	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:392	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:418	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:419	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:423	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:493	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:494	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:495	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:498	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:499	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:501	0 1.0 0.0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer:502	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:71	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:72	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:95	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:96	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:97	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:98	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:133	0 1.0 0.0
org.jfree.chart.event.ChartChangeEvent:134	0 1.0 0.0
org.jfree.chart.event.ChartChangeEventType:57	0 1.0 0.0
org.jfree.chart.event.ChartChangeEventType:61	0 1.0 0.0
org.jfree.chart.event.ChartChangeEventType:65	0 1.0 0.0
org.jfree.chart.event.ChartChangeEventType:76	0 1.0 0.0
org.jfree.chart.event.ChartChangeEventType:77	0 1.0 0.0
org.jfree.chart.event.ChartChangeEventType:78	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:192	0 2.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:193	0 2.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:62	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:66	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:70	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:74	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:78	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:82	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:86	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:90	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:94	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:98	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:102	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:106	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:110	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:114	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:118	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:122	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:126	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:130	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:134	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:138	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:142	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:146	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:150	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:154	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:158	0 4.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:179	0.0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:195	0.0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:199	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:200	0.0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:201	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:204	0.0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:216	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:217	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:220	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:223	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:226	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:229	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:232	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:235	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:238	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:241	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:244	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:247	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:250	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:253	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:256	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:259	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:262	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:265	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:268	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:271	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:272	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:274	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:277	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:280	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:283	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:286	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:289	0 1.0 0.0
org.jfree.chart.labels.ItemLabelAnchor:290	0 1.0 0.0
