org.jfree.data.time.TimePeriodValues:552	1.0 1.0 0.7071067811865475
org.jfree.data.time.TimePeriodValues:314	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:316	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:319	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:321	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:324	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:325	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:330	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:332	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:335	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValue:70	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValue:71	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValue:74	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValue:75	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValue:76	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValue:97	1.0 14.0 0.2581988897471611
org.jfree.data.general.Series:316	1.0 14.0 0.2581988897471611
org.jfree.data.time.TimePeriodValues:91	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:94	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:97	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:100	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:103	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:106	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:114	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:115	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:129	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:130	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:131	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:132	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:133	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:102	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:103	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:111	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:112	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:115	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:116	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:117	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:118	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:119	1.0 16.0 0.24253562503633297
org.jfree.data.general.Series:120	1.0 16.0 0.24253562503633297
org.jfree.data.time.TimePeriodValues:267	0 6.0 0.0
org.jfree.data.time.TimePeriodValues:292	0 6.0 0.0
org.jfree.data.time.TimePeriodValues:266	0 14.0 0.0
org.jfree.data.time.TimePeriodValues:278	0 14.0 0.0
org.jfree.data.time.TimePeriodValues:291	0 14.0 0.0
org.jfree.data.time.TimePeriodValues:327	0 14.0 0.0
org.jfree.data.time.TimePeriodValues:328	0 14.0 0.0
org.jfree.data.time.TimePeriodValues:415	0 5.0 0.0
org.jfree.data.time.TimePeriodValues:416	0 2.0 0.0
org.jfree.data.time.TimePeriodValues:144	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:170	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:193	0 7.0 0.0
org.jfree.data.time.TimePeriodValues:418	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:421	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:424	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:425	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:429	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:433	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:434	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:437	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:442	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:219	0 2.0 0.0
org.jfree.data.time.TimePeriodValues:523	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:542	0 2.0 0.0
org.jfree.data.time.TimePeriodValues:570	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:233	0 3.0 0.0
org.jfree.data.time.TimePeriodValues:387	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:388	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:389	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:390	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:480	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:481	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:498	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:500	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:501	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:502	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:503	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:504	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:506	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:510	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:513	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:438	0 2.0 0.0
org.jfree.data.time.TimePeriodValues:156	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:157	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:158	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:159	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:182	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:183	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:184	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:185	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:422	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:427	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:431	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:435	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:341	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:342	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:343	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:344	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:345	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:346	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:347	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:351	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:400	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:401	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:403	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:404	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:405	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:244	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:532	0 1.0 0.0
org.jfree.data.time.TimePeriodValues:561	0 1.0 0.0
org.jfree.data.time.SimpleTimePeriod:91	0 1.0 0.0
org.jfree.data.time.SimpleTimePeriod:92	0 1.0 0.0
org.jfree.data.time.Year:136	0 1.0 0.0
org.jfree.data.time.Year:271	0 1.0 0.0
org.jfree.data.time.Year:272	0 1.0 0.0
org.jfree.data.time.Year:273	0 1.0 0.0
org.jfree.data.time.Year:274	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:108	0 3.0 0.0
org.jfree.data.time.TimePeriodValue:119	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:120	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:172	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:174	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:178	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:179	0 1.0 0.0
org.jfree.data.time.TimePeriodValue:130	0 2.0 0.0
org.jfree.data.time.TimePeriodValue:133	0 2.0 0.0
org.jfree.data.time.TimePeriodValue:137	0 2.0 0.0
org.jfree.data.time.TimePeriodValue:139	0 2.0 0.0
org.jfree.data.time.TimePeriodValue:143	0 2.0 0.0
org.jfree.data.time.TimePeriodValue:148	0 2.0 0.0
org.jfree.data.general.Series:313	0 14.0 0.0
org.jfree.data.general.Series:314	0 14.0 0.0
org.jfree.data.general.Series:326	0 14.0 0.0
org.jfree.data.general.Series:327	0 14.0 0.0
org.jfree.data.general.Series:334	0 14.0 0.0
org.jfree.data.general.Series:295	0 6.0 0.0
org.jfree.data.general.Series:296	0 6.0 0.0
org.jfree.data.general.Series:305	0 1.0 0.0
org.jfree.data.general.Series:306	0 1.0 0.0
org.jfree.data.general.Series:130	0 5.0 0.0
org.jfree.data.general.Series:158	0 3.0 0.0
org.jfree.data.general.Series:256	0 3.0 0.0
org.jfree.data.general.Series:259	0 3.0 0.0
org.jfree.data.general.Series:262	0 3.0 0.0
org.jfree.data.general.Series:263	0 3.0 0.0
org.jfree.data.general.Series:266	0 3.0 0.0
org.jfree.data.general.Series:269	0 3.0 0.0
org.jfree.data.general.Series:328	0 3.0 0.0
org.jfree.data.general.Series:329	0 3.0 0.0
org.jfree.data.general.Series:142	0 2.0 0.0
org.jfree.data.general.Series:145	0 2.0 0.0
org.jfree.data.general.Series:146	0 2.0 0.0
org.jfree.data.general.Series:147	0 2.0 0.0
org.jfree.data.general.Series:148	0 2.0 0.0
org.jfree.data.general.Series:241	0 1.0 0.0
org.jfree.data.general.Series:242	0 1.0 0.0
org.jfree.data.general.Series:243	0 1.0 0.0
org.jfree.data.general.Series:244	0 1.0 0.0
org.jfree.data.general.Series:264	0 1.0 0.0
org.jfree.data.general.Series:363	0 1.0 0.0
org.jfree.data.general.Series:365	0 1.0 0.0
org.jfree.data.general.SeriesChangeEvent:61	0 14.0 0.0
org.jfree.data.general.SeriesChangeEvent:62	0 14.0 0.0
org.jfree.data.time.Day:83	0 4.0 0.0
org.jfree.data.time.Day:88	0 4.0 0.0
org.jfree.data.time.Day:92	0 4.0 0.0
org.jfree.data.time.Day:96	0 4.0 0.0
org.jfree.data.time.Day:122	0 2.0 0.0
org.jfree.data.time.Day:123	0 2.0 0.0
org.jfree.data.time.Day:124	0 2.0 0.0
org.jfree.data.time.Day:125	0 2.0 0.0
org.jfree.data.time.Day:224	0 4.0 0.0
org.jfree.data.time.Day:238	0 4.0 0.0
org.jfree.data.time.Day:250	0 4.0 0.0
org.jfree.data.time.Day:251	0 4.0 0.0
org.jfree.data.time.Day:252	0 4.0 0.0
org.jfree.data.time.Day:317	0 4.0 0.0
org.jfree.data.time.Day:318	0 4.0 0.0
org.jfree.data.time.Day:319	0 4.0 0.0
org.jfree.data.time.Day:320	0 4.0 0.0
org.jfree.data.time.Day:321	0 4.0 0.0
org.jfree.data.time.Day:322	0 4.0 0.0
org.jfree.data.time.Day:324	0 4.0 0.0
org.jfree.data.time.Day:339	0 4.0 0.0
org.jfree.data.time.Day:340	0 4.0 0.0
org.jfree.data.time.Day:341	0 4.0 0.0
org.jfree.data.time.Day:342	0 4.0 0.0
org.jfree.data.time.Day:343	0 4.0 0.0
org.jfree.data.time.Day:344	0 4.0 0.0
org.jfree.data.time.Day:346	0 4.0 0.0
org.jfree.data.time.Day:112	0 2.0 0.0
org.jfree.data.time.Day:113	0 2.0 0.0
org.jfree.data.time.Day:132	0 2.0 0.0
org.jfree.data.time.Day:133	0 2.0 0.0
org.jfree.data.time.Day:136	0 2.0 0.0
org.jfree.data.time.Day:137	0 2.0 0.0
org.jfree.data.time.Day:138	0 2.0 0.0
org.jfree.data.time.Day:148	0 2.0 0.0
org.jfree.data.time.Day:149	0 2.0 0.0
org.jfree.data.time.Day:157	0 2.0 0.0
org.jfree.data.time.Day:158	0 2.0 0.0
org.jfree.data.time.Day:161	0 2.0 0.0
org.jfree.data.time.Day:164	0 2.0 0.0
org.jfree.data.time.Day:165	0 2.0 0.0
org.jfree.data.time.Day:166	0 2.0 0.0
org.jfree.data.time.Day:167	0 2.0 0.0
org.jfree.data.time.Day:168	0 2.0 0.0
org.jfree.data.time.Day:169	0 2.0 0.0
org.jfree.data.time.Day:170	0 2.0 0.0
org.jfree.data.time.Day:171	0 2.0 0.0
org.jfree.data.time.Day:284	0 2.0 0.0
org.jfree.data.time.Day:285	0 2.0 0.0
org.jfree.data.time.Day:286	0 2.0 0.0
org.jfree.data.time.Day:287	0 2.0 0.0
org.jfree.data.time.Day:361	0 1.0 0.0
org.jfree.data.time.Day:362	0 1.0 0.0
