org.apache.commons.lang.text.StrBuilder:158	2.0 3.0 0.6324555320336759
org.apache.commons.lang.text.StrMatcher:414	2.0 161.0 0.11076975512434226
org.apache.commons.lang.text.StrBuilder:228	2.0 191.0 0.10179731971185753
org.apache.commons.lang.text.StrBuilder:108	0 144.0 0.0
org.apache.commons.lang.text.StrBuilder:233	0 191.0 0.0
org.apache.commons.lang.text.StrBuilder:121	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:122	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:125	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:126	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:128	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:147	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:148	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:182	0 190.0 0.0
org.apache.commons.lang.text.StrBuilder:428	0 12.0 0.0
org.apache.commons.lang.text.StrBuilder:429	0 12.0 0.0
org.apache.commons.lang.text.StrBuilder:430	0 12.0 0.0
org.apache.commons.lang.text.StrBuilder:432	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:469	0 134.0 0.0
org.apache.commons.lang.text.StrBuilder:472	0 134.0 0.0
org.apache.commons.lang.text.StrBuilder:473	0 134.0 0.0
org.apache.commons.lang.text.StrBuilder:474	0 133.0 0.0
org.apache.commons.lang.text.StrBuilder:475	0 133.0 0.0
org.apache.commons.lang.text.StrBuilder:476	0 133.0 0.0
org.apache.commons.lang.text.StrBuilder:477	0 133.0 0.0
org.apache.commons.lang.text.StrBuilder:479	0 134.0 0.0
org.apache.commons.lang.text.StrBuilder:2505	0 98.0 0.0
org.apache.commons.lang.text.StrBuilder:168	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:171	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:172	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:441	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:444	0 10.0 0.0
org.apache.commons.lang.text.StrBuilder:455	0 27.0 0.0
org.apache.commons.lang.text.StrBuilder:456	0 7.0 0.0
org.apache.commons.lang.text.StrBuilder:458	0 27.0 0.0
org.apache.commons.lang.text.StrBuilder:470	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:518	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:519	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:521	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:522	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:523	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:524	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:525	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:526	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:528	0 17.0 0.0
org.apache.commons.lang.text.StrBuilder:442	0 5.0 0.0
org.apache.commons.lang.text.StrBuilder:567	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:570	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:571	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:572	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:573	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:574	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:575	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:577	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:492	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:493	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:495	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:496	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:498	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:499	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:501	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:502	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:503	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:504	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:505	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:507	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:541	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:542	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:544	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:545	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:547	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:548	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:550	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:551	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:552	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:553	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:554	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:556	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:568	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:405	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:408	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:411	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:414	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:415	0 15.0 0.0
org.apache.commons.lang.text.StrBuilder:590	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:591	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:593	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:594	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:596	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:597	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:599	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:600	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:601	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:602	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:603	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:605	0 13.0 0.0
org.apache.commons.lang.text.StrBuilder:616	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:617	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:619	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:620	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:621	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:622	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:623	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:624	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:626	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:639	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:640	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:642	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:643	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:645	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:646	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:648	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:649	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:650	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:651	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:652	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:654	0 30.0 0.0
org.apache.commons.lang.text.StrBuilder:664	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:665	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:666	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:667	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:668	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:669	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:671	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:672	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:673	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:674	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:675	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:676	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:678	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:688	0 55.0 0.0
org.apache.commons.lang.text.StrBuilder:689	0 55.0 0.0
org.apache.commons.lang.text.StrBuilder:690	0 55.0 0.0
org.apache.commons.lang.text.StrBuilder:691	0 55.0 0.0
org.apache.commons.lang.text.StrBuilder:701	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:711	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:721	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:731	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:744	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:756	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:770	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:782	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:796	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:808	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:822	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:834	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:848	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:287	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:288	0 73.0 0.0
org.apache.commons.lang.text.StrBuilder:859	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:881	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:892	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:903	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:914	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1161	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1162	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1163	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1164	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1167	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1187	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1188	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1190	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1191	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1192	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1194	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1196	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1198	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1212	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1231	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1232	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1234	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1235	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1236	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1237	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1240	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1242	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1256	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:928	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:929	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:930	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:933	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:946	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:947	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:948	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:949	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:952	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:965	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:966	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:967	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:970	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:985	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:986	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:987	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:988	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:989	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:990	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:993	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1007	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1008	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1009	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1010	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1011	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1012	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1013	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1017	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1031	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1032	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1033	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1034	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1035	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1036	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1040	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:260	0 56.0 0.0
org.apache.commons.lang.text.StrBuilder:1065	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1066	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1068	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1091	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1092	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1094	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1119	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1120	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1122	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1146	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1147	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1149	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1270	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1271	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1273	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1286	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1287	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1288	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1290	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1291	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1292	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1293	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1294	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1295	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1296	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1298	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1311	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1312	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1313	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1315	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1316	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1317	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1318	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1319	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1320	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1322	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1337	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1338	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1339	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1341	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1342	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1344	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1345	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1347	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1348	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1349	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1350	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1351	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1353	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1365	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1366	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1367	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1368	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1369	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1370	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1371	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1372	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1373	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1375	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1376	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1377	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1378	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1379	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1380	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1381	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1382	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1384	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1396	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1397	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1398	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1399	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1400	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1401	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1413	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1425	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1437	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1449	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:2548	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:2549	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:2551	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:109	0.0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:123	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:218	0 5.0 0.0
org.apache.commons.lang.text.StrBuilder:194	0 4.0 0.0
org.apache.commons.lang.text.StrBuilder:197	0 4.0 0.0
org.apache.commons.lang.text.StrBuilder:199	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:200	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:201	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:202	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:203	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:204	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:205	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:208	0 4.0 0.0
org.apache.commons.lang.text.StrBuilder:242	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:243	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:244	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:245	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:247	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:319	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:322	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:323	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1809	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1810	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:1831	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1832	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:137	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:169	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:195	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:198	0 3.0 0.0
org.apache.commons.lang.text.StrBuilder:229	0 18.0 0.0
org.apache.commons.lang.text.StrBuilder:230	0 18.0 0.0
org.apache.commons.lang.text.StrBuilder:231	0 18.0 0.0
org.apache.commons.lang.text.StrBuilder:272	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:302	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:303	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:305	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:320	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:336	0 7.0 0.0
org.apache.commons.lang.text.StrBuilder:337	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:339	0 7.0 0.0
org.apache.commons.lang.text.StrBuilder:340	0 7.0 0.0
org.apache.commons.lang.text.StrBuilder:1462	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:1463	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:1464	0 16.0 0.0
org.apache.commons.lang.text.StrBuilder:350	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:351	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:353	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:354	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:355	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:369	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:370	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:371	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:372	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:374	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:375	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:376	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:2529	0 87.0 0.0
org.apache.commons.lang.text.StrBuilder:2530	0 6.0 0.0
org.apache.commons.lang.text.StrBuilder:2532	0 87.0 0.0
org.apache.commons.lang.text.StrBuilder:2533	0 5.0 0.0
org.apache.commons.lang.text.StrBuilder:2535	0 87.0 0.0
org.apache.commons.lang.text.StrBuilder:2536	0 7.0 0.0
org.apache.commons.lang.text.StrBuilder:2538	0 87.0 0.0
org.apache.commons.lang.text.StrBuilder:386	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:387	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:388	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:390	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:391	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:406	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:409	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:412	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1476	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1477	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1478	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1479	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1481	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1492	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1493	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1494	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1495	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1496	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1497	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1500	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1501	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1502	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1505	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1515	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1516	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1517	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1518	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1521	0 1.0 0.0
org.apache.commons.lang.text.StrBuilder:1532	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1533	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1534	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1535	0 2.0 0.0
org.apache.commons.lang.text.StrBuilder:1536	0 2.0 0.0
