org.apache.commons.math3.optimization.linear.Relationship:59	1.0 1.0 0.7071067811865475
org.apache.commons.math3.linear.ArrayRealVector:451	1.0 19.0 0.22360679774997896
org.apache.commons.math3.linear.ArrayRealVector:452	1.0 19.0 0.22360679774997896
org.apache.commons.math3.linear.ArrayRealVector:453	1.0 19.0 0.22360679774997896
org.apache.commons.math3.linear.ArrayRealVector:455	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.LinearObjectiveFunction:92	1.0 19.0 0.22360679774997896
org.apache.commons.math3.util.Precision:116	1.0 19.0 0.22360679774997896
org.apache.commons.math3.optimization.linear.SimplexTableau:226	1.0 19.5 0.22086305214969307
org.apache.commons.math3.optimization.linear.SimplexSolver:196	1.0 20.0 0.2182178902359924
org.apache.commons.math3.optimization.linear.SimplexSolver:198	1.0 20.0 0.2182178902359924
org.apache.commons.math3.optimization.linear.SimplexTableau:162	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:215	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:300	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:302	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:311	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:312	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:313	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:314	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:315	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:316	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:328	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:385	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:439	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:440	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:442	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:456	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:458	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:70	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:71	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:72	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:73	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:74	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:75	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:76	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:79	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:90	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:91	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:92	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:93	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:94	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:96	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:97	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:98	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:99	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:101	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:102	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:103	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:104	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:109	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:111	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:125	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:137	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:139	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:140	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:141	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:146	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:147	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:150	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:151	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:152	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:153	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexSolver:156	1.0 21.0 0.21320071635561041
org.apache.commons.math3.util.Precision:92	1.0 21.0 0.21320071635561041
org.apache.commons.math3.util.Precision:309	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:127	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:130	1.0 21.0 0.21320071635561041
org.apache.commons.math3.optimization.linear.SimplexTableau:224	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:155	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:232	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:233	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:234	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:508	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:516	1.0 22.0 0.20851441405707477
org.apache.commons.math3.util.Precision:115	1.0 22.0 0.20851441405707477
org.apache.commons.math3.util.Precision:117	1.0 22.0 0.20851441405707477
org.apache.commons.math3.util.Precision:118	1.0 22.0 0.20851441405707477
org.apache.commons.math3.util.Precision:120	1.0 22.0 0.20851441405707477
org.apache.commons.math3.optimization.linear.SimplexTableau:188	1.0 22.833333333333332 0.2048366225996757
org.apache.commons.math3.optimization.linear.SimplexTableau:382	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexTableau:383	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexTableau:384	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexTableau:388	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexTableau:473	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:51	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:52	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:59	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:60	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:61	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:62	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:169	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:187	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexSolver:195	1.0 23.0 0.20412414523193154
org.apache.commons.math3.util.Precision:89	1.0 23.0 0.20412414523193154
org.apache.commons.math3.util.Precision:90	1.0 23.0 0.20412414523193154
org.apache.commons.math3.util.Precision:91	1.0 23.0 0.20412414523193154
org.apache.commons.math3.util.Precision:94	1.0 23.0 0.20412414523193154
org.apache.commons.math3.util.Precision:265	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:74	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:75	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:76	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:82	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:89	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:96	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:103	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:108	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:109	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:139	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:140	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:141	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:142	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:144	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer:147	1.0 23.0 0.20412414523193154
org.apache.commons.math3.util.FastMath:3020	1.0 23.0 0.20412414523193154
org.apache.commons.math3.optimization.linear.SimplexTableau:465	1.0 24.0 0.2
org.apache.commons.math3.optimization.linear.SimplexTableau:482	1.0 24.0 0.2
org.apache.commons.math3.optimization.linear.SimplexTableau:500	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:63	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:70	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:71	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:301	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:302	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:305	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:306	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:308	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:312	1.0 24.0 0.2
org.apache.commons.math3.util.Precision:314	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:113	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:126	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:139	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:158	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:177	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:196	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:216	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:235	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:254	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:275	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:283	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:286	1.0 24.0 0.2
org.apache.commons.math3.util.FastMath:3002	1.0 24.0 0.2
org.apache.commons.math3.optimization.linear.SimplexTableau:168	1.0 24.5 0.19802950859533489
org.apache.commons.math3.optimization.linear.SimplexTableau:225	1.0 24.5 0.19802950859533489
org.apache.commons.math3.optimization.linear.SimplexTableau:165	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:478	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:483	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:484	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:485	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:489	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:490	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:492	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:514	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:515	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:516	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:517	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:518	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.AbstractRealMatrix:521	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:63	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:64	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:65	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:316	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:317	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:318	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:319	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:320	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:321	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:322	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:323	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:325	1.0 25.0 0.19611613513818404
org.apache.commons.math3.linear.ArrayRealVector:623	1.0 25.0 0.19611613513818404
org.apache.commons.math3.optimization.linear.SimplexTableau:265	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.ArrayRealVector:102	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.ArrayRealVector:103	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.ArrayRealVector:106	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.ArrayRealVector:107	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.ArrayRealVector:763	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.ArrayRealVector:766	1.0 26.0 0.19245008972987526
org.apache.commons.math3.linear.Array2DRowRealMatrix:295	1.0 26.166666666666668 0.19185884381732377
org.apache.commons.math3.linear.Array2DRowRealMatrix:296	1.0 26.166666666666668 0.19185884381732377
org.apache.commons.math3.optimization.linear.Relationship:25	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.Relationship:28	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.Relationship:31	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.Relationship:34	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.Relationship:42	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.Relationship:43	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.Relationship:44	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:84	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:134	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:135	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:136	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:137	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:138	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:139	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:140	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:142	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:144	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:146	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:147	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:148	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:154	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:157	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:158	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:159	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:161	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:164	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:167	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:170	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:171	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:181	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:183	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:184	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:187	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:190	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:191	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:192	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:194	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:195	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:198	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:204	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:205	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:206	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:207	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:208	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:211	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:214	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:220	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:223	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:230	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:238	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:247	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:248	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:249	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:250	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:251	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:260	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:274	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:283	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:284	1.0 27.0 0.1889822365046136
org.apache.commons.math3.optimization.linear.SimplexTableau:285	1.0 27.0 0.1889822365046136
