org.apache.commons.math.analysis.UnivariateRealSolverUtils:179	1.0 0.0 1.0
org.apache.commons.math.special.Gamma:90	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:93	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:95	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:96	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:97	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:99	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:101	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:102	1.0 14.0 0.2581988897471611
org.apache.commons.math.special.Gamma:106	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:51	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:52	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:133	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:134	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:135	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:136	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:137	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:138	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:139	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:140	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:141	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:142	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:143	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:144	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:145	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:146	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:161	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:162	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:165	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:166	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:167	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:168	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:169	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:170	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:172	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.ContinuedFraction:178	1.0 14.0 0.2581988897471611
org.apache.commons.math.distribution.AbstractContinuousDistribution:45	1.0 17.0 0.23570226039551587
org.apache.commons.math.distribution.AbstractContinuousDistribution:46	1.0 17.0 0.23570226039551587
org.apache.commons.math.distribution.AbstractDistribution:38	1.0 17.0 0.23570226039551587
org.apache.commons.math.distribution.AbstractDistribution:39	1.0 17.0 0.23570226039551587
org.apache.commons.math.analysis.UnivariateRealSolverUtils:54	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:55	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:183	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:184	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:187	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:190	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:191	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:192	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:194	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:195	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:196	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:199	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:207	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:230	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:234	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:235	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverUtils:237	0.0 1.0 0.0
org.apache.commons.math.distribution.AbstractContinuousDistribution:104	0.0 1.0 0.0
org.apache.commons.math.distribution.AbstractContinuousDistribution:107	0.0 1.0 0.0
org.apache.commons.math.distribution.AbstractContinuousDistribution:109	0.0 1.0 0.0
org.apache.commons.math.distribution.AbstractContinuousDistribution:72	0.0 1.0 0.0
org.apache.commons.math.distribution.FDistributionImpl:101	0.0 1.0 0.0
org.apache.commons.math.distribution.FDistributionImpl:104	0.0 1.0 0.0
org.apache.commons.math.distribution.FDistributionImpl:159	0.0 1.0 0.0
org.apache.commons.math.distribution.FDistributionImpl:181	0.0 1.0 0.0
org.apache.commons.math.distribution.FDistributionImpl:73	0.0 1.0 0.0
org.apache.commons.math.special.Beta:131	0.0 7.0 0.0
org.apache.commons.math.special.Gamma:120	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:158	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:160	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:162	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:165	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:186	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:233	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:235	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:237	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:243	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:256	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:257	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:260	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:168	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:169	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:170	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:171	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:173	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:174	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:177	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:179	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:182	0.0 2.0 0.0
org.apache.commons.math.special.Gamma:248	0.0 4.0 0.0
org.apache.commons.math.special.Gamma:252	0.0 4.0 0.0
org.apache.commons.math.analysis.BrentSolver:42	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:43	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:128	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:129	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:131	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:133	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:134	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:137	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:138	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:153	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:155	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:165	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:189	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:190	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:192	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:193	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:194	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:196	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:197	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:198	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:199	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:200	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:201	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:203	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:210	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:211	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:213	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:214	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:215	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:217	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:220	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:221	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:223	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:229	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:231	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:232	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:235	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:236	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:237	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:238	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:240	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:241	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:243	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:245	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:250	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:251	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:253	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:254	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:258	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:259	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:261	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:262	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:263	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:264	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:268	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:269	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:270	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:271	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:272	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:273	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:275	0.0 1.0 0.0
org.apache.commons.math.analysis.BrentSolver:276	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactory:44	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactory:45	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactory:52	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactoryImpl:32	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactoryImpl:33	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactoryImpl:45	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverFactoryImpl:65	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:61	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:87	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:89	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:93	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:94	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:95	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:96	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:97	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:98	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:99	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:100	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:101	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:102	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:140	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:141	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:142	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:143	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:149	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:150	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:295	0.0 1.0 0.0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:300	0.0 1.0 0.0
