org.apache.commons.math.optimization.linear.SimplexTableau:339	1.0 2.0 0.5773502691896258
org.apache.commons.math.optimization.linear.SimplexSolver:132	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:133	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:134	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:137	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:146	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:149	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:150	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:171	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:172	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:176	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:188	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexSolver:189	1.0 9.0 0.31622776601683794
org.apache.commons.math.optimization.linear.SimplexTableau:290	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:357	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:358	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:360	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:475	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:42	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:43	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:49	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:50	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:51	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:59	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:60	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:61	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:62	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:63	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:64	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:67	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:77	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:78	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:79	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:80	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:81	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:82	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:83	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:84	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:85	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:89	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:102	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:104	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:105	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:106	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:111	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:112	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:115	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:116	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:117	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:118	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:121	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:167	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:185	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexSolver:187	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:61	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:62	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:63	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:67	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:68	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:86	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:91	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:100	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:101	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:102	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:103	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:105	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:108	1.0 10.0 0.30151134457776363
org.apache.commons.math.util.MathUtils:367	1.0 10.0 0.30151134457776363
org.apache.commons.math.util.MathUtils:368	1.0 10.0 0.30151134457776363
org.apache.commons.math.util.MathUtils:369	1.0 10.0 0.30151134457776363
org.apache.commons.math.util.MathUtils:370	1.0 10.0 0.30151134457776363
org.apache.commons.math.util.MathUtils:372	1.0 10.0 0.30151134457776363
org.apache.commons.math.optimization.linear.SimplexTableau:436	1.0 11.0 0.2886751345948129
org.apache.commons.math.optimization.linear.SimplexTableau:134	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:171	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:178	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:179	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:249	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:250	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:428	1.0 12.0 0.2773500981126146
org.apache.commons.math.optimization.linear.SimplexTableau:273	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:274	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:275	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:276	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:277	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:283	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:374	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:375	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:378	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:385	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:393	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:402	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:420	1.0 13.0 0.2672612419124244
org.apache.commons.math.util.MathUtils:30	1.0 13.0 0.2672612419124244
org.apache.commons.math.util.MathUtils:395	1.0 13.0 0.2672612419124244
org.apache.commons.math.util.MathUtils:411	1.0 13.0 0.2672612419124244
org.apache.commons.math.util.MathUtils:473	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.RealMatrixImpl:354	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.RealMatrixImpl:367	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.RealMatrixImpl:372	1.0 13.0 0.2672612419124244
org.apache.commons.math.linear.RealMatrixImpl:373	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.LinearConstraint:81	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.LinearConstraint:82	1.0 13.0 0.2672612419124244
org.apache.commons.math.optimization.linear.SimplexTableau:104	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:105	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:106	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:107	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:108	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:109	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:110	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:112	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:114	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:115	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:116	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:126	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:127	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:129	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:130	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:133	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:136	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:137	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:138	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:140	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:141	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:144	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:150	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:151	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:152	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:153	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:154	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:157	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:160	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:166	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:169	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:176	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:183	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:190	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:198	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:199	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:200	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:201	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:202	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:211	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:216	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:225	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:234	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:235	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:236	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:237	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:239	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:240	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:248	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:252	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:314	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:315	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorImpl:36	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorImpl:77	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorImpl:78	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorImpl:79	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorImpl:854	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorImpl:1157	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:58	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:59	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:65	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:66	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:67	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:68	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:75	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:83	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:94	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:95	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:96	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:314	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:315	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:320	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:325	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:326	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:330	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:331	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:334	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:335	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:336	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:341	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:343	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:347	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:404	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:410	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:622	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealMatrixImpl:623	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:99	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:100	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:101	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:102	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:103	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:168	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:176	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearConstraint:184	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.AbstractRealMatrix:43	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.AbstractRealMatrix:44	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.AbstractRealMatrix:45	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:94	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:95	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:117	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:118	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:119	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:120	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:121	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:122	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:123	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:124	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:125	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:173	1.0 14.0 0.2581988897471611
org.apache.commons.math.linear.RealVectorFormat:182	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.GoalType:27	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.GoalType:30	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.GoalType:33	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:25	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:28	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:31	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:34	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:42	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:43	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.Relationship:44	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.CompositeFormat:31	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.CompositeFormat:54	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.CompositeFormat:55	1.0 14.0 0.2581988897471611
org.apache.commons.math.util.CompositeFormat:56	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:145	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:161	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:170	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:260	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:261	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:262	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:264	0.0 11.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:490	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:494	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:500	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:501	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:536	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:537	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:538	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:547	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:548	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:549	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:291	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:483	0.0 3.0 0.0
org.apache.commons.math.optimization.RealPointValuePair:86	0.0 8.0 0.0
org.apache.commons.math.linear.RealVectorImpl:96	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:97	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:100	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:103	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:104	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:338	0.0 12.0 0.0
org.apache.commons.math.linear.RealVectorImpl:339	0.0 12.0 0.0
org.apache.commons.math.linear.RealVectorImpl:340	0.0 12.0 0.0
org.apache.commons.math.linear.RealVectorImpl:342	0.0 12.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1152	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1299	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1300	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1304	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1351	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1355	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1361	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1362	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1366	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1370	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1371	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1375	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:59	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:60	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:61	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1206	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1209	0.0 1.0 0.0
org.apache.commons.math.linear.RealVectorImpl:1210	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:108	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:112	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:118	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:119	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:140	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:141	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:142	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:151	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:152	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:153	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:177	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:151	0.0 6.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:190	0.0 6.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:168	0.0 1.0 0.0
