org.apache.commons.math.optimization.RealPointValuePair:68	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.SimplexTableau:328	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:385	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:437	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:438	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:440	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:454	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:456	1.0 20.0 0.2182178902359924
org.apache.commons.math.util.Precision:68	1.0 20.0 0.2182178902359924
org.apache.commons.math.util.Precision:285	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:98	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:101	1.0 20.0 0.2182178902359924
org.apache.commons.math.optimization.linear.SimplexTableau:155	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexTableau:188	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexTableau:232	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexTableau:233	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexTableau:234	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexTableau:506	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexTableau:514	1.0 21.0 0.21320071635561041
org.apache.commons.math.util.Precision:91	1.0 21.0 0.21320071635561041
org.apache.commons.math.util.Precision:93	1.0 21.0 0.21320071635561041
org.apache.commons.math.util.Precision:94	1.0 21.0 0.21320071635561041
org.apache.commons.math.util.Precision:96	1.0 21.0 0.21320071635561041
org.apache.commons.math.optimization.linear.SimplexSolver:51	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:52	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:59	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:60	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:61	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:62	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:169	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:187	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexSolver:191	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexTableau:382	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexTableau:383	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexTableau:384	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexTableau:388	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexTableau:471	1.0 22.0 0.20851441405707477
org.apache.commons.math.util.Precision:65	1.0 22.0 0.20851441405707477
org.apache.commons.math.util.Precision:66	1.0 22.0 0.20851441405707477
org.apache.commons.math.util.Precision:67	1.0 22.0 0.20851441405707477
org.apache.commons.math.util.Precision:70	1.0 22.0 0.20851441405707477
org.apache.commons.math.util.Precision:241	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:73	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:74	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:75	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:79	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:80	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:110	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:111	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:112	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:113	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:115	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer:118	1.0 22.0 0.20851441405707477
org.apache.commons.math.util.FastMath:3023	1.0 22.0 0.20851441405707477
org.apache.commons.math.optimization.linear.SimplexTableau:168	1.0 22.666666666666668 0.2055566129482595
org.apache.commons.math.optimization.linear.SimplexTableau:225	1.0 22.666666666666668 0.2055566129482595
org.apache.commons.math.optimization.linear.SimplexTableau:463	1.0 23.0 0.20412414523193154
org.apache.commons.math.optimization.linear.SimplexTableau:480	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:277	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:278	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:281	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:282	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:284	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:288	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.Precision:290	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:104	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:106	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:115	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:128	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:141	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:160	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:179	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:198	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:218	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:237	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:256	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:277	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:285	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:288	1.0 23.0 0.20412414523193154
org.apache.commons.math.util.FastMath:3005	1.0 23.0 0.20412414523193154
org.apache.commons.math.linear.AbstractRealMatrix:478	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:483	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:484	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:485	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:489	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:490	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:492	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:514	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:515	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:516	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:517	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:518	1.0 24.0 0.2
org.apache.commons.math.linear.AbstractRealMatrix:521	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:62	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:63	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:64	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:315	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:316	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:317	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:318	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:319	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:320	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:321	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:322	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:324	1.0 24.0 0.2
org.apache.commons.math.linear.ArrayRealVector:622	1.0 24.0 0.2
org.apache.commons.math.optimization.linear.SimplexTableau:265	1.0 24.666666666666668 0.19738550848793068
org.apache.commons.math.linear.ArrayRealVector:101	1.0 25.0 0.19611613513818404
org.apache.commons.math.linear.ArrayRealVector:102	1.0 25.0 0.19611613513818404
org.apache.commons.math.linear.ArrayRealVector:105	1.0 25.0 0.19611613513818404
org.apache.commons.math.linear.ArrayRealVector:106	1.0 25.0 0.19611613513818404
org.apache.commons.math.linear.ArrayRealVector:762	1.0 25.0 0.19611613513818404
org.apache.commons.math.linear.ArrayRealVector:765	1.0 25.0 0.19611613513818404
org.apache.commons.math.linear.Array2DRowRealMatrix:294	1.0 25.166666666666668 0.1954905637353224
org.apache.commons.math.linear.Array2DRowRealMatrix:295	1.0 25.166666666666668 0.1954905637353224
org.apache.commons.math.optimization.linear.SimplexTableau:84	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:134	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:135	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:136	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:137	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:138	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:139	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:140	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:142	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:144	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:146	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:147	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:148	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:154	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:157	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:158	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:159	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:161	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:164	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:167	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:170	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:171	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:181	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:183	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:184	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:187	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:190	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:191	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:192	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:194	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:195	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:198	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:204	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:205	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:206	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:207	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:208	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:211	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:214	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:220	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:223	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:230	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:238	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:247	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:248	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:249	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:250	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:251	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:260	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:274	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:283	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:284	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:285	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:286	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:288	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:289	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:374	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:375	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:537	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:545	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.SimplexTableau:553	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:55	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:56	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:57	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:254	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:301	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:302	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:303	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:322	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.Array2DRowRealMatrix:328	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.AbstractRealMatrix:53	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.AbstractRealMatrix:54	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.AbstractRealMatrix:57	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.AbstractRealMatrix:60	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:37	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:41	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:83	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:84	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:85	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:197	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:198	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:199	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:284	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:373	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:374	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:376	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:628	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.ArrayRealVector:732	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:58	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:59	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:65	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:66	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:67	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:68	1.0 26.0 0.19245008972987526
