org.apache.commons.lang3.builder.HashCodeBuilder:174	1.0 0.0 1.0
org.apache.commons.lang3.builder.HashCodeBuilder:588	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.builder.HashCodeBuilder:591	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.builder.HashCodeBuilder:592	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.builder.HashCodeBuilder:593	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.builder.HashCodeBuilder:966	1.0 37.0 0.16222142113076254
org.apache.commons.lang3.builder.HashCodeBuilder:582	1.0 40.0 0.15617376188860607
org.apache.commons.lang3.builder.HashCodeBuilder:549	1.0 43.0 0.15075567228888181
org.apache.commons.lang3.builder.HashCodeBuilder:578	1.0 43.0 0.15075567228888181
org.apache.commons.lang3.builder.HashCodeBuilder:579	1.0 43.0 0.15075567228888181
org.apache.commons.lang3.builder.HashCodeBuilder:104	1.0 44.0 0.14907119849998599
org.apache.commons.lang3.builder.HashCodeBuilder:436	0.0 5.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:580	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:583	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:282	0.0 5.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:357	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:954	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:955	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:856	0.0 4.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:821	0.0 6.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:822	0.0 6.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:783	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:784	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:919	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:920	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:682	0.0 4.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:683	0.0 4.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:646	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:647	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:716	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:749	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:750	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:610	0.0 4.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:611	0.0 4.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:899	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:900	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:902	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:903	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:906	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:862	0.0 10.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:864	0.0 9.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:866	0.0 8.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:868	0.0 7.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:870	0.0 6.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:872	0.0 5.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:874	0.0 4.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:876	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:880	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:835	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:836	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:838	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:839	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:842	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:863	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:797	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:798	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:800	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:801	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:804	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:865	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:933	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:934	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:936	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:937	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:940	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:867	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:696	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:697	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:699	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:700	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:703	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:869	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:662	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:663	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:665	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:666	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:669	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:871	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:729	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:730	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:732	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:733	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:736	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:873	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:763	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:764	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:766	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:767	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:770	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:875	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:624	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:625	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:627	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:628	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:631	0.0 3.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:877	0.0 2.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:510	0.0 1.0 0.0
org.apache.commons.lang3.builder.HashCodeBuilder:979	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1648	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1651	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1657	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1658	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1659	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1660	0.0 1.0 0.0
org.apache.commons.lang3.ArrayUtils:1664	0.0 1.0 0.0
