org.jfree.chart.plot.PiePlot:2613	0 0.0 0
org.jfree.chart.plot.PiePlot:1131	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1158	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1161	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1162	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1167	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1178	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1180	0 3.0 0.0
org.jfree.chart.plot.PiePlot:1340	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1341	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1342	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1343	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1347	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1378	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1379	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1380	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1381	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1382	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1383	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1386	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1387	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1501	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1581	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1763	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1899	0 2.0 0.0
org.jfree.chart.plot.PiePlot:1932	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2053	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2054	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2442	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2443	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2447	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2448	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2450	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2451	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2452	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2453	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2454	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2455	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2456	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2457	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2458	0 1.0 0.0
org.jfree.chart.plot.PiePlot:2461	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2462	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2465	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2466	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2469	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2471	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2472	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2475	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2478	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2480	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2484	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2485	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2486	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2487	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2490	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2491	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2493	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2496	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2498	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2516	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2517	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2518	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2519	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2520	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2522	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2523	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2526	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2527	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2528	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2529	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2530	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2531	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2532	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2534	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2536	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2538	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2544	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2546	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2547	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2550	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2567	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2568	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2569	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2571	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2572	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2575	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2576	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2579	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2580	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2581	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2582	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2583	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2584	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2585	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2586	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2588	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2589	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2595	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2597	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2598	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2602	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2615	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2616	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2617	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2618	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2619	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2620	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2621	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2622	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2623	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2624	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2627	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2628	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2632	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2635	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2636	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2638	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2639	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2640	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2641	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2645	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2646	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2650	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2651	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2652	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2653	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2658	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2659	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2661	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2662	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2666	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2667	0 3.0 0.0
org.jfree.chart.plot.PiePlot:2726	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2727	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2728	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2730	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2731	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2732	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2734	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2736	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2738	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2740	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2741	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2742	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2743	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2744	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2745	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2747	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2748	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2750	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2762	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2763	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2764	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2766	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2767	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2768	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2770	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2772	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2774	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2776	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2777	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2778	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2779	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2780	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2781	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2784	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2785	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2787	0 2.0 0.0
org.jfree.chart.plot.PiePlot:2799	0 1.0 0.0
org.jfree.chart.plot.PiePlot:602	0 1.0 0.0
org.jfree.chart.plot.PiePlot:603	0 1.0 0.0
org.jfree.chart.plot.PiePlot:628	0 1.0 0.0
org.jfree.chart.plot.PiePlot:629	0 1.0 0.0
org.jfree.chart.plot.PiePlot:630	0 1.0 0.0
org.jfree.chart.plot.PiePlot:653	0 1.0 0.0
org.jfree.chart.plot.PiePlot:656	0 1.0 0.0
org.jfree.chart.plot.PiePlot:657	0 1.0 0.0
org.jfree.chart.plot.PiePlot:659	0 1.0 0.0
org.jfree.chart.plot.PiePlot:685	0 1.0 0.0
org.jfree.chart.plot.PiePlot:690	0 1.0 0.0
org.jfree.chart.plot.PiePlot:691	0 1.0 0.0
org.jfree.chart.plot.PiePlot:692	0 1.0 0.0
org.jfree.chart.plot.PiePlot:695	0 1.0 0.0
org.jfree.chart.plot.PiePlot:718	0 1.0 0.0
org.jfree.chart.plot.PiePlot:719	0 1.0 0.0
org.jfree.chart.plot.PiePlot:733	0 1.0 0.0
org.jfree.chart.plot.PiePlot:761	0 2.0 0.0
org.jfree.chart.plot.PiePlot:762	0 2.0 0.0
org.jfree.chart.plot.PiePlot:763	0 2.0 0.0
org.jfree.chart.plot.PiePlot:789	0 2.0 0.0
org.jfree.chart.plot.PiePlot:790	0 2.0 0.0
org.jfree.chart.plot.PiePlot:791	0 2.0 0.0
org.jfree.chart.plot.PiePlot:922	0 1.0 0.0
org.jfree.chart.plot.PiePlot:923	0 1.0 0.0
org.jfree.chart.plot.PiePlot:924	0 1.0 0.0
org.jfree.chart.plot.PiePlot:947	0 2.0 0.0
org.jfree.chart.plot.PiePlot:950	0 1.0 0.0
org.jfree.chart.plot.PiePlot:951	0 1.0 0.0
org.jfree.chart.plot.PiePlot:952	0 1.0 0.0
org.jfree.chart.plot.PiePlot:979	0 1.0 0.0
org.jfree.chart.plot.PiePlot:980	0 1.0 0.0
org.jfree.chart.plot.PiePlot:981	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1085	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1086	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1087	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1109	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1112	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1113	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1114	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1220	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1221	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1222	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1244	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1247	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1248	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1249	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1271	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1272	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1273	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1295	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1296	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1297	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1319	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1320	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1321	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1362	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1365	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1368	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1369	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1370	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1436	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1437	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1438	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1460	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1461	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1462	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1488	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1489	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1490	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1513	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1514	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1515	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1539	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1542	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1543	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1544	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1566	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1569	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1570	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1571	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1593	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1596	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1597	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1598	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1620	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1623	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1624	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1625	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1647	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1648	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1649	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1671	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1672	0 1.0 0.0
org.jfree.chart.plot.PiePlot:1673	0 1.0 0.0
