org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1793	1.0 0.0 1.0
org.jfree.chart.plot.CategoryPlot:317	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:320	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:361	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:368	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:374	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:509	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:584	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:586	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:589	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:590	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:591	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:592	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:594	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:595	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:597	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:599	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:600	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:601	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:605	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:607	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:608	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:610	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:611	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:616	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:617	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:618	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:622	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:624	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:625	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:626	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:631	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:632	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:634	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:635	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:636	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:637	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:639	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:640	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:641	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:643	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:644	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:645	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:647	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:648	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:649	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:651	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:652	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:653	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:654	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:656	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:658	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:659	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:660	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:662	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:663	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:664	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:665	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:667	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:669	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:670	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:671	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:913	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:914	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:946	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:950	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:954	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1013	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1014	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1015	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1019	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1040	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1041	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1042	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1051	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1197	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1198	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1227	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1231	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1232	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1235	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1291	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1292	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1293	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1297	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1320	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1321	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1322	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1324	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1410	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1411	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1412	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1413	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1426	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1429	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1430	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1431	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1433	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1436	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1507	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1508	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1509	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1510	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1523	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1526	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1527	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1528	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1530	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:1534	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2334	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2335	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2336	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2337	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2341	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2345	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2346	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2347	1.0 114.0 0.09325048082403138
org.jfree.chart.plot.CategoryPlot:2350	1.0 114.0 0.09325048082403138
org.jfree.chart.util.SortOrder:59	1.0 114.0 0.09325048082403138
org.jfree.chart.util.SortOrder:63	1.0 114.0 0.09325048082403138
org.jfree.chart.util.SortOrder:74	1.0 114.0 0.09325048082403138
org.jfree.chart.util.SortOrder:75	1.0 114.0 0.09325048082403138
org.jfree.chart.util.SortOrder:76	1.0 114.0 0.09325048082403138
org.jfree.chart.axis.CategoryAnchor:56	1.0 115.0 0.09284766908852593
org.jfree.chart.axis.CategoryAnchor:60	1.0 115.0 0.09284766908852593
org.jfree.chart.axis.CategoryAnchor:64	1.0 115.0 0.09284766908852593
org.jfree.chart.axis.CategoryAnchor:75	1.0 115.0 0.09284766908852593
org.jfree.chart.axis.CategoryAnchor:76	1.0 115.0 0.09284766908852593
org.jfree.chart.axis.CategoryAnchor:77	1.0 115.0 0.09284766908852593
org.jfree.data.KeyedObject:71	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObject:72	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObject:73	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObject:74	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:72	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:73	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:74	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:133	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:136	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:137	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:138	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:145	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:205	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:206	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:211	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:212	1.0 119.0 0.09128709291752768
org.jfree.data.KeyedObjects:214	1.0 119.0 0.09128709291752768
org.jfree.chart.util.DefaultShadowGenerator:78	1.0 147.0 0.08219949365267865
org.jfree.chart.util.DefaultShadowGenerator:79	1.0 147.0 0.08219949365267865
org.jfree.chart.util.DefaultShadowGenerator:91	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:92	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:95	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:96	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:97	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:98	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:99	1.0 148.0 0.08192319205190406
org.jfree.chart.util.DefaultShadowGenerator:100	1.0 148.0 0.08192319205190406
org.jfree.data.general.AbstractDataset:176	1.0 180.0 0.07432941462471664
org.jfree.data.general.AbstractDataset:177	1.0 180.0 0.07432941462471664
org.jfree.data.general.AbstractDataset:189	1.0 180.0 0.07432941462471664
org.jfree.data.general.AbstractDataset:190	1.0 180.0 0.07432941462471664
org.jfree.data.general.AbstractDataset:196	1.0 180.0 0.07432941462471664
org.jfree.data.general.AbstractDataset:95	1.0 195.0 0.07142857142857142
org.jfree.data.general.AbstractDataset:96	1.0 195.0 0.07142857142857142
org.jfree.data.general.AbstractDataset:98	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:61	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:65	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:69	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:73	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:84	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:85	1.0 195.0 0.07142857142857142
org.jfree.chart.axis.AxisLocation:86	1.0 195.0 0.07142857142857142
org.jfree.chart.plot.DatasetRenderingOrder:62	1.0 195.0 0.07142857142857142
org.jfree.chart.plot.DatasetRenderingOrder:69	1.0 195.0 0.07142857142857142
org.jfree.chart.plot.DatasetRenderingOrder:80	1.0 195.0 0.07142857142857142
org.jfree.chart.plot.DatasetRenderingOrder:81	1.0 195.0 0.07142857142857142
org.jfree.chart.plot.DatasetRenderingOrder:82	1.0 195.0 0.07142857142857142
org.jfree.data.general.DatasetGroup:63	1.0 195.0 0.07142857142857142
org.jfree.data.general.DatasetGroup:64	1.0 195.0 0.07142857142857142
org.jfree.data.general.DatasetGroup:65	1.0 195.0 0.07142857142857142
org.jfree.chart.plot.PlotOrientation:57	1.0 200.0 0.07053456158585983
org.jfree.chart.plot.PlotOrientation:61	1.0 200.0 0.07053456158585983
org.jfree.chart.plot.PlotOrientation:72	1.0 200.0 0.07053456158585983
org.jfree.chart.plot.PlotOrientation:73	1.0 200.0 0.07053456158585983
org.jfree.chart.plot.PlotOrientation:74	1.0 200.0 0.07053456158585983
org.jfree.chart.util.ObjectList:85	1.0 202.0 0.07018624063435965
org.jfree.chart.util.ObjectList:95	1.0 203.0 0.07001400420140048
org.jfree.chart.util.ObjectList:96	1.0 203.0 0.07001400420140048
org.jfree.chart.event.ChartChangeEvent:131	1.0 203.0 0.07001400420140048
org.jfree.chart.event.ChartChangeEvent:132	1.0 203.0 0.07001400420140048
org.jfree.chart.util.AbstractObjectList:111	1.0 213.0 0.06835859270246633
org.jfree.chart.plot.Plot:456	1.0 213.0 0.06835859270246633
org.jfree.chart.util.AbstractObjectList:123	1.0 214.0 0.06819943394704735
org.jfree.chart.util.AbstractObjectList:131	1.0 214.0 0.06819943394704735
org.jfree.chart.util.AbstractObjectList:132	1.0 214.0 0.06819943394704735
org.jfree.chart.util.AbstractObjectList:109	1.0 215.0 0.06804138174397717
org.jfree.chart.util.AbstractObjectList:110	1.0 215.0 0.06804138174397717
org.jfree.chart.util.AbstractObjectList:113	1.0 215.0 0.06804138174397717
org.jfree.chart.event.PlotChangeEvent:64	1.0 223.0 0.0668153104781061
org.jfree.chart.event.PlotChangeEvent:65	1.0 223.0 0.0668153104781061
org.jfree.chart.event.PlotChangeEvent:66	1.0 223.0 0.0668153104781061
org.jfree.chart.plot.Plot:203	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:214	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:223	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:277	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:306	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:308	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:309	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:310	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:311	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:312	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:313	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:314	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:315	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:316	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:318	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:319	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:320	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:322	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:324	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:325	1.0 227.0 0.06622661785325219
org.jfree.chart.plot.Plot:327	1.0 227.0 0.06622661785325219
org.jfree.chart.util.ResourceBundleWrapper:122	1.0 229.0 0.0659380473395787
org.jfree.chart.util.ResourceBundleWrapper:128	1.0 229.0 0.0659380473395787
org.jfree.chart.ChartColor:59	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:62	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:65	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:68	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:71	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:74	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:77	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:80	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:83	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:86	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:89	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:92	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:95	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:98	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:101	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:104	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:107	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:110	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:113	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:116	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:119	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:122	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:125	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:128	1.0 230.0 0.0657951694959769
org.jfree.chart.ChartColor:151	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:83	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:87	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:91	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:95	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:100	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:105	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:150	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:156	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:197	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:199	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:200	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:201	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:202	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:203	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:204	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:205	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:289	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:291	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:292	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:293	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:294	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:297	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:299	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:302	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:303	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:304	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:307	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:308	1.0 230.0 0.0657951694959769
org.jfree.chart.plot.DefaultDrawingSupplier:309	1.0 230.0 0.0657951694959769
