org.apache.commons.math.geometry.Vector3D:473	1.0 3.0 0.5
org.apache.commons.math.exception.MathRuntimeException:58	0.0 3.0 0.0
org.apache.commons.math.exception.MathRuntimeException:63	0.0 3.0 0.0
org.apache.commons.math.exception.MathRuntimeException:77	0.0 3.0 0.0
org.apache.commons.math.exception.MathRuntimeException:78	0.0 3.0 0.0
org.apache.commons.math.exception.MathRuntimeException:79	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:55	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:60	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:65	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:70	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:73	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:76	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:85	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:105	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:118	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:128	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:131	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:134	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:137	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:140	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:143	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:146	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:167	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:175	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:178	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:208	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:209	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:210	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:213	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:214	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:217	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:218	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:219	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:220	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:222	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:224	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:225	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:226	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:231	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:232	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:233	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:234	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:238	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:239	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:240	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:244	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:245	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:277	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:987	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:988	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:989	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:990	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:991	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:992	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:994	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:995	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:996	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:997	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:999	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1000	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1002	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1003	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1004	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1007	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1008	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1009	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1012	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1021	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1022	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1023	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1024	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1025	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1030	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1037	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1038	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1040	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1041	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1042	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1043	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1044	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1045	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1046	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1047	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1049	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1057	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1058	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1061	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1062	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1070	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1071	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1073	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1074	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1095	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1096	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1098	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1103	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1104	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1106	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1107	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1111	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1113	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1115	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1118	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1120	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1122	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1130	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1131	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1132	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1135	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1136	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1137	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1139	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1140	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1143	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1144	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1146	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1147	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1148	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1149	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1150	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1151	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1154	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1155	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1156	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1158	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1159	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1160	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1161	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1162	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1163	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1166	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1167	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1168	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1170	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1171	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1172	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1173	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1174	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1175	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1176	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1185	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1186	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1187	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1196	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1197	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1199	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1201	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1202	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1203	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1204	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1207	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1208	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1210	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1213	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1214	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1215	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1217	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1220	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1716	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1717	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1718	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1719	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1721	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1724	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1725	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1726	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1727	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1728	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1729	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1730	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1731	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1734	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1740	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1741	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1743	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1744	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1745	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1746	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1747	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1748	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1749	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1752	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1753	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1754	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1756	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1766	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1767	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1768	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1769	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1770	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1771	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1773	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1774	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1775	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1777	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1778	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1781	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1782	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1784	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1785	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1786	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1789	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1790	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1793	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1794	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1795	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1798	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1809	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1810	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1811	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1812	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1813	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1814	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1816	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1817	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1818	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1820	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1821	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1824	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1825	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1827	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1828	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1829	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1832	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1833	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1836	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1837	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1838	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1841	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1847	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1850	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1851	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1853	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1854	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1855	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1857	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1858	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1859	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1863	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1864	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1865	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1866	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1867	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1868	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1870	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1872	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1873	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1874	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1875	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1878	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1879	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1880	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1883	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1884	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1885	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1886	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1887	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1888	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1889	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1891	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1892	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1893	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1894	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1895	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1896	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1897	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1898	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1901	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1902	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1903	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1904	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1905	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1908	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1909	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1910	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1911	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1912	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1913	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1914	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1919	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1920	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1921	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1922	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1924	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1925	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1927	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1929	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1930	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1932	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1934	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1935	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:1938	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:3064	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:3068	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:3072	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:3076	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:3080	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:3081	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3694	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:3698	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:3702	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:3703	0.0 6.0 0.0
