org.apache.commons.lang.builder.EqualsBuilder:372	1.0 15.0 0.25
org.apache.commons.lang.builder.EqualsBuilder:773	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:776	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:779	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:783	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:787	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:788	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:790	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:804	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:807	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:810	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:814	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:818	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:819	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:821	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:841	0.0 14.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:842	0.0 14.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:195	0 8.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:255	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:256	0 5.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:258	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:265	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:266	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:268	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:269	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:270	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:284	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:286	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:287	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:288	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:289	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:298	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:299	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:320	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:321	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:322	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:323	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:324	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:325	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:330	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:335	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:338	0 10.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:125	0 3.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:259	0 2.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:274	0 2.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:282	0 2.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:272	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:275	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:276	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:278	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:291	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:297	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:350	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:353	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:354	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:369	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:560	0 12.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:563	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:564	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:591	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:594	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:595	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:622	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:625	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:626	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:653	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:656	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:657	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:684	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:687	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:688	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:715	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:718	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:719	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:746	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:749	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:750	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:777	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:780	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:781	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:808	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:811	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:812	0 1.0 0.0
org.apache.commons.lang.builder.EqualsBuilder:171	0 1.0 0.0
