org.apache.commons.math3.util.FastMath:1542	1.0 0.0 1.0
org.apache.commons.math3.random.MersenneTwister:187	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:191	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:192	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:193	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:194	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:195	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:196	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:197	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:198	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:199	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:203	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:205	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:207	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:216	1.0 69.0 0.11952286093343936
org.apache.commons.math3.random.MersenneTwister:217	1.0 69.0 0.11952286093343936
org.apache.commons.math3.dfp.Dfp:202	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:203	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:209	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:212	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:213	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:214	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:216	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:217	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:225	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:226	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:227	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:229	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:232	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:233	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:234	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:235	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:236	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:237	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:240	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:250	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:322	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:323	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:324	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:325	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:326	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:327	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:328	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:334	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:337	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:338	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:339	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:340	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:341	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:343	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:344	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:345	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:346	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:349	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:355	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:361	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:368	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:369	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:370	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:374	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:375	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:398	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:402	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:407	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:410	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:412	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:413	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:416	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:417	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:420	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:421	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:424	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:426	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:432	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:433	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:434	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:435	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:436	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:437	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:439	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:440	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:444	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:445	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:448	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:449	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:450	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:451	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:452	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:455	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:460	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:461	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:462	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:463	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:468	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:470	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:471	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:474	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:475	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:483	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:488	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:493	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:494	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:496	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:497	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:498	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:504	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:505	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:506	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:509	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:510	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:511	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:517	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:518	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:522	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:526	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:528	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:530	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:533	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:597	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:604	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:635	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:642	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:649	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:669	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:670	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:672	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:673	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:674	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:681	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:682	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:684	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:685	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:686	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:697	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:698	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:700	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:702	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:703	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:704	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:707	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:708	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:711	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:713	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:714	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:716	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:717	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:719	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:722	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:723	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:728	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:729	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:732	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:734	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:740	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:741	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:742	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:745	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:756	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:765	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:771	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:781	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:790	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:796	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:879	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:904	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:905	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:906	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:910	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:931	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:935	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:946	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:948	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:951	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:960	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:964	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:968	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:973	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:974	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:975	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:978	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:979	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:984	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:985	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:986	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:989	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:990	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:994	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1231	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1232	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1233	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1236	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1237	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1238	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1239	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1240	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1241	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1244	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1254	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1262	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1293	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1294	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1297	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1300	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1301	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1303	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1304	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1307	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1308	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1309	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1315	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1316	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1319	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1324	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1325	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1326	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1327	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1329	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1333	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1334	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1335	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1337	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1342	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1343	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1344	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1345	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1346	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1348	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1349	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1354	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1355	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1356	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1357	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1358	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1359	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1360	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1365	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1366	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1367	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1369	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1370	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1371	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1372	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1373	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1378	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1379	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1381	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1383	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1388	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1389	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1390	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1393	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1400	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1401	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1402	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1410	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1418	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1419	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1437	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1438	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1454	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1456	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1457	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1458	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1459	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1460	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1463	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1470	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1476	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1482	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1484	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1485	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1488	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1499	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1506	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1509	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1546	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1548	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1549	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1550	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1551	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1552	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1554	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1555	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1557	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1561	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1562	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1563	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1564	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1565	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1570	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1571	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1575	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1576	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1578	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1580	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1584	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1585	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1590	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1591	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1594	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1683	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1686	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1690	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1697	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1700	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1731	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1740	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1741	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1742	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1746	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1747	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1748	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1749	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1754	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1755	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1756	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1757	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1761	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1762	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1766	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1767	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1768	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1770	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1771	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1773	1.0 74.0 0.11547005383792514
org.apache.commons.math3.dfp.Dfp:1776	1.0 74.0 0.11547005383792514
