org.joda.time.Partial:219	1.0 0.0 1.0
org.joda.time.chrono.AssembledChronology:446	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:448	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:449	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:451	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:452	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:454	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:455	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:457	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:458	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:460	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:461	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:463	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:464	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:466	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:467	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:469	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:470	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:472	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:473	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:475	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:476	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:478	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:485	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:486	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:488	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:489	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:491	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:492	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:494	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:495	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:497	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:498	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:500	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:501	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:503	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:504	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:506	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:507	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:509	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:510	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:512	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:513	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:515	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:516	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:518	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:519	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:521	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:522	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:524	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:525	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:527	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:528	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:530	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:531	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:533	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:534	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:536	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:537	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:539	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:540	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:542	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:543	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:545	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:546	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:548	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:549	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:551	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:552	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:555	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:558	1.0 3396.0 0.01715742963897298
org.joda.time.chrono.AssembledChronology:562	1.0 3396.0 0.01715742963897298
org.joda.time.field.UnsupportedDurationField:53	1.0 3397.0 0.017154904816703558
org.joda.time.chrono.AssembledChronology:268	1.0 3397.0 0.017154904816703558
org.joda.time.chrono.GJEraDateTimeField:47	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.GJEraDateTimeField:48	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.GJEraDateTimeField:49	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:164	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:173	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:209	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:218	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:236	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:245	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:254	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:264	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:282	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:291	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:300	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:309	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:318	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:336	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:345	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:354	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:363	1.0 3399.0 0.017149858514250885
org.joda.time.DateTimeFieldType:452	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicMonthOfYearDateTimeField:52	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicMonthOfYearDateTimeField:53	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicMonthOfYearDateTimeField:54	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicMonthOfYearDateTimeField:55	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicMonthOfYearDateTimeField:56	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BaseChronology:660	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicYearDateTimeField:46	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicYearDateTimeField:47	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicYearDateTimeField:48	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.BasicYearDateTimeField:120	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:47	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:48	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:59	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:60	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:74	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:76	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:80	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:82	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:83	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:87	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:88	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:92	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:175	1.0 3399.0 0.017149858514250885
org.joda.time.field.OffsetDateTimeField:184	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:58	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:59	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:72	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:73	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:76	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:77	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:80	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:83	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:84	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:85	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:86	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:87	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:88	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:89	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:90	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:91	1.0 3399.0 0.017149858514250885
org.joda.time.field.DividedDateTimeField:211	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:99	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:100	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:101	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:102	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:103	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:288	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:308	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:319	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:320	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:323	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:327	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:328	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:329	1.0 3399.0 0.017149858514250885
org.joda.time.chrono.AssembledChronology:330	1.0 3399.0 0.017149858514250885
