org.apache.commons.lang.enums.ValuedEnum:183	1.0 4.0 0.4472135954999579
org.apache.commons.lang.enums.Enum:538	0.0 10.0 0.0
org.apache.commons.lang.enums.Enum:540	0.0 9.0 0.0
org.apache.commons.lang.enums.Enum:547	0.0 5.0 0.0
org.apache.commons.lang.enums.Enum:548	0.0 5.0 0.0
org.apache.commons.lang.enums.Enum:580	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:583	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:584	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:587	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:505	0.0 10.0 0.0
org.apache.commons.lang.enums.Enum:581	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:590	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:389	0.0 11.0 0.0
org.apache.commons.lang.enums.Enum:390	0.0 10.0 0.0
org.apache.commons.lang.enums.Enum:393	0.0 10.0 0.0
org.apache.commons.lang.enums.Enum:465	0.0 38.0 0.0
org.apache.commons.lang.enums.Enum:468	0.0 38.0 0.0
org.apache.commons.lang.enums.Enum:471	0.0 33.0 0.0
org.apache.commons.lang.enums.Enum:472	0.0 33.0 0.0
org.apache.commons.lang.enums.Enum:537	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:539	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:560	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:622	0.0 3.0 0.0
org.apache.commons.lang.enums.Enum:623	0.0 3.0 0.0
org.apache.commons.lang.enums.Enum:624	0.0 3.0 0.0
org.apache.commons.lang.enums.Enum:626	0.0 3.0 0.0
org.apache.commons.lang.enums.Enum:432	0.0 26.0 0.0
org.apache.commons.lang.enums.Enum:433	0.0 23.0 0.0
org.apache.commons.lang.enums.Enum:436	0.0 23.0 0.0
org.apache.commons.lang.enums.Enum:454	0.0 3.0 0.0
org.apache.commons.lang.enums.Enum:410	0.0 14.0 0.0
org.apache.commons.lang.enums.Enum:411	0.0 13.0 0.0
org.apache.commons.lang.enums.Enum:414	0.0 13.0 0.0
org.apache.commons.lang.enums.Enum:544	0.0 6.0 0.0
org.apache.commons.lang.enums.Enum:368	0.0 4.0 0.0
org.apache.commons.lang.enums.Enum:369	0.0 4.0 0.0
org.apache.commons.lang.enums.Enum:372	0.0 4.0 0.0
org.apache.commons.lang.enums.Enum:355	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:328	0.0 2.0 0.0
org.apache.commons.lang.enums.Enum:333	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:342	0.0 10.0 0.0
org.apache.commons.lang.enums.Enum:345	0.0 4.0 0.0
org.apache.commons.lang.enums.Enum:487	0.0 8.0 0.0
org.apache.commons.lang.enums.Enum:488	0.0 8.0 0.0
org.apache.commons.lang.enums.Enum:489	0.0 8.0 0.0
org.apache.commons.lang.enums.Enum:490	0.0 8.0 0.0
org.apache.commons.lang.enums.Enum:491	0.0 8.0 0.0
org.apache.commons.lang.enums.Enum:434	0.0 3.0 0.0
org.apache.commons.lang.enums.Enum:466	0.0 4.0 0.0
org.apache.commons.lang.enums.Enum:469	0.0 5.0 0.0
org.apache.commons.lang.enums.Enum:412	0.0 1.0 0.0
org.apache.commons.lang.enums.Enum:391	0.0 1.0 0.0
org.apache.commons.lang.ClassUtils:50	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:60	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:65	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:67	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:68	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:69	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:70	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:71	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:72	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:73	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:74	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:75	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:81	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:83	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:84	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:85	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:86	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:87	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:88	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:89	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:90	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:91	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:128	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:131	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:143	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:146	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:149	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:150	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:151	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:152	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:153	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:154	0.0 6.0 0.0
org.apache.commons.lang.ClassUtils:155	0.0 1.0 0.0
org.apache.commons.lang.ClassUtils:158	0.0 6.0 0.0
