com.google.javascript.rhino.jstype.PrototypeObjectType:131	2.0 2511.0 0.028211017707546523
com.google.javascript.rhino.jstype.VoidType:55	2.0 5775.0 0.01860646258858962
com.google.javascript.rhino.jstype.VoidType:96	2.0 5775.0 0.01860646258858962
com.google.javascript.rhino.jstype.VoidType:101	2.0 5775.0 0.01860646258858962
com.google.javascript.rhino.jstype.JSType:90	2.0 6288.0 0.0178315737905373
com.google.javascript.jscomp.DiagnosticGroup:108	1.0 1833.0 0.016511454667095662
com.google.javascript.jscomp.DiagnosticGroup:48	1.0 1851.0 0.016431019497519374
com.google.javascript.jscomp.DiagnosticGroup:49	1.0 1851.0 0.016431019497519374
com.google.javascript.jscomp.DiagnosticGroup:50	1.0 1851.0 0.016431019497519374
com.google.javascript.jscomp.DiagnosticGroup:58	1.0 1851.0 0.016431019497519374
com.google.javascript.jscomp.DiagnosticGroup:59	1.0 1851.0 0.016431019497519374
com.google.javascript.jscomp.DiagnosticGroup:61	1.0 1851.0 0.016431019497519374
com.google.javascript.jscomp.TypeCheck:358	1.0 2101.0 0.015422992461890894
com.google.javascript.jscomp.TypeCheck:278	1.0 2131.0 0.01531409729579222
com.google.javascript.jscomp.TypeCheck:301	1.0 2131.0 0.01531409729579222
com.google.javascript.jscomp.TypeCheck:369	1.0 2131.0 0.01531409729579222
com.google.javascript.jscomp.TypeCheck:377	1.0 2131.0 0.01531409729579222
com.google.javascript.jscomp.InferJSDocInfo:72	1.0 2137.0 0.0152925937551654
com.google.javascript.jscomp.InferJSDocInfo:78	1.0 2137.0 0.0152925937551654
com.google.javascript.jscomp.TypeInference:176	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:53	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:57	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:58	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:59	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:80	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:95	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:96	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:119	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.TypeInferencePass:122	1.0 2229.0 0.014973818705886995
com.google.javascript.jscomp.MemoizedScopeCreator:39	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:45	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:46	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:47	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:51	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:52	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:53	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:54	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.MemoizedScopeCreator:58	1.0 2231.0 0.01496710850223124
com.google.javascript.jscomp.TypeInference:63	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypeInference:104	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypeInference:130	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:163	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:164	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:190	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:199	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:200	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:205	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:371	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.TypedScopeCreator:402	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.Scope:361	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:394	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:395	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:396	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:397	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:403	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:404	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:407	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:459	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:460	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:462	1.0 2310.0 0.014709063722876272
com.google.javascript.jscomp.DataFlowAnalysis:477	1.0 2310.0 0.014709063722876272
com.google.javascript.rhino.jstype.AllType:120	1.0 2311.0 0.014705882352941176
com.google.javascript.rhino.jstype.JSTypeRegistry:217	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:172	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:173	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:231	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:235	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:236	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:239	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:240	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:245	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:246	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:247	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:255	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.TypedScopeCreator:267	1.0 2312.0 0.014702703046374362
com.google.javascript.jscomp.CodingConvention:315	1.0 2323.0 0.01466786622122144
com.google.javascript.jscomp.CodingConvention:316	1.0 2323.0 0.01466786622122144
com.google.javascript.jscomp.CodingConvention:319	1.0 2323.0 0.01466786622122144
