org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSet:83	1.0 0.8181818181818182 0.7416198487095662
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:287	1.0 5.931818181818182 0.3798187661003169
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:132	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:134	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.FastMath:2456	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:66	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:67	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:68	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:69	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:70	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:137	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:138	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:141	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:142	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:147	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:148	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:149	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Plane:150	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:41	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:44	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:47	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:50	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:53	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:56	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:59	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:63	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:67	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:71	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:95	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:96	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:97	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:98	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:99	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:137	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:138	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:139	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:140	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:141	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:243	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:321	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:322	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:326	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:327	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:328	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:453	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:454	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:462	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:463	1.0 6.0 0.3779644730092272
org.apache.commons.math3.geometry.euclidean.threed.Vector3D:519	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:674	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:675	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:676	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:677	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:678	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:679	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:682	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:683	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:686	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:687	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:688	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:689	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:690	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:691	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:694	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:695	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:698	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:699	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:700	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:704	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:706	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:712	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:754	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:755	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:756	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:757	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:758	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:759	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:762	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:763	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:766	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:767	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:768	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:769	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:770	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:771	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:774	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:775	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:778	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:779	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:780	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:781	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:782	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:783	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:786	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:787	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:790	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:791	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:792	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:795	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:796	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:797	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:801	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:803	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.MathArrays:809	1.0 6.0 0.3779644730092272
org.apache.commons.math3.util.FastMath:2458	1.0 8.0 0.3333333333333333
org.apache.commons.math3.util.FastMath:2459	1.0 8.0 0.3333333333333333
org.apache.commons.math3.util.FastMath:2570	1.0 8.0 0.3333333333333333
org.apache.commons.math3.util.FastMath:2445	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2446	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2447	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2557	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2558	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2560	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2561	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2562	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2564	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:2565	1.0 9.0 0.31622776601683794
org.apache.commons.math3.util.FastMath:361	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:364	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:365	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:366	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2306	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2436	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2439	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2443	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2450	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2455	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2461	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2462	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2463	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2465	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2466	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2467	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2470	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2471	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2472	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2473	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2474	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2477	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2485	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2486	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2487	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2488	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2489	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2490	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2491	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2493	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2494	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2496	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2497	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2498	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2500	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2501	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2502	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2505	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2507	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2508	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2512	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2513	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2516	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2527	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2528	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2529	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2530	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2531	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2532	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2533	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2536	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2538	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2539	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2540	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2543	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2546	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2547	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2548	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2549	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2550	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2552	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2553	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2555	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2569	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2573	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2671	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2672	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2676	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2677	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2680	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2681	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2683	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2685	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2686	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2687	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2689	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2696	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3056	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3057	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3586	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3589	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3590	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3593	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:3596	1.0 10.0 0.30151134457776363
org.apache.commons.math3.util.FastMath:2221	1.0 11.0 0.2886751345948129
org.apache.commons.math3.util.FastMath:2694	1.0 12.454545454545455 0.2726248784031353
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:87	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:88	1.0 14.0 0.2581988897471611
org.apache.commons.math3.util.FastMath:2662	1.0 14.0 0.2581988897471611
org.apache.commons.math3.util.FastMath:2665	1.0 14.0 0.2581988897471611
org.apache.commons.math3.util.FastMath:2666	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:89	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:91	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:101	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:111	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:112	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:115	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:135	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:176	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:179	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:180	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:181	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:182	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:187	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:188	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:192	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:193	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:194	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:195	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:201	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:202	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:211	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:214	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:215	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:217	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:103	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:104	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:105	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:119	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:124	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:128	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:130	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.BSPTree:217	1.0 14.0 0.2581988897471611
org.apache.commons.math3.geometry.partitioning.AbstractRegion:108	1.0 14.659090909090908 0.25270668300275034
org.apache.commons.math3.util.FastMath:2661	1.0 15.0 0.25
org.apache.commons.math3.util.FastMath:3582	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:139	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:143	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:144	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:145	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:149	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:150	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:152	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:158	1.0 15.0 0.25
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:47	1.0 16.068181818181817 0.24205071493772576
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:48	1.0 16.068181818181817 0.24205071493772576
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:94	1.0 16.068181818181817 0.24205071493772576
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:107	1.0 16.068181818181817 0.24205071493772576
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:109	1.0 16.068181818181817 0.24205071493772576
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet:118	1.0 16.068181818181817 0.24205071493772576
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:431	1.0 17.0 0.23570226039551587
org.apache.commons.math3.geometry.partitioning.AbstractRegion:494	1.0 17.0 0.23570226039551587
org.apache.commons.math3.geometry.partitioning.AbstractRegion:495	1.0 17.0 0.23570226039551587
org.apache.commons.math3.geometry.partitioning.AbstractRegion:498	1.0 17.0 0.23570226039551587
org.apache.commons.math3.geometry.partitioning.AbstractRegion:499	1.0 17.0 0.23570226039551587
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:207	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:208	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:213	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:214	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:215	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:219	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:220	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:229	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:230	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:232	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:282	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:417	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:418	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:419	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:423	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:429	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:430	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:433	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:436	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:440	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:448	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:450	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:451	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:452	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:463	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet:469	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.partitioning.utilities.AVLTree:54	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.partitioning.utilities.AVLTree:55	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.partitioning.utilities.AVLTree:56	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.partitioning.utilities.AVLTree:103	1.0 18.0 0.22941573387056174
org.apache.commons.math3.util.FastMath:2149	1.0 18.0 0.22941573387056174
org.apache.commons.math3.util.FastMath:2150	1.0 18.0 0.22941573387056174
org.apache.commons.math3.util.FastMath:2153	1.0 18.0 0.22941573387056174
org.apache.commons.math3.util.FastMath:2601	1.0 18.0 0.22941573387056174
org.apache.commons.math3.util.FastMath:2602	1.0 18.0 0.22941573387056174
org.apache.commons.math3.util.FastMath:2607	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.partitioning.AbstractRegion:308	1.0 18.0 0.22941573387056174
org.apache.commons.math3.geometry.partitioning.AbstractRegion:281	1.0 19.0 0.22360679774997896
org.apache.commons.math3.geometry.partitioning.AbstractRegion:290	1.0 19.0 0.22360679774997896
org.apache.commons.math3.geometry.partitioning.AbstractRegion:292	1.0 19.0 0.22360679774997896
org.apache.commons.math3.geometry.partitioning.AbstractRegion:293	1.0 19.0 0.22360679774997896
org.apache.commons.math3.geometry.partitioning.AbstractRegion:297	1.0 19.0 0.22360679774997896
org.apache.commons.math3.geometry.partitioning.AbstractRegion:298	1.0 19.0 0.22360679774997896
